feature,spearman_ic,p,n
dist_ema9,-0.017,1e-05,67658
ema9_slope,-0.017,1e-05,67657
consec_dir,-0.0169,1e-05,67658
bb_squeeze,-0.0167,1e-05,67658
candle_ret,-0.0161,3e-05,67658
or_position,-0.0154,6e-05,67658
rsi_slope,-0.0143,0.00021,67654
rsi,-0.0138,0.00033,67656
bb_pct,-0.0138,0.00033,67639
body_dir,-0.0138,0.00032,67658
dist_ema20,-0.0138,0.00033,67658
williams_r,-0.0129,0.00077,67645
stoch_k,-0.0129,0.00077,67645
ema_stack_bull,-0.0122,0.00149,67658
dist_ema50,-0.0111,0.00381,67658
dist_hi_20,-0.0099,0.00995,67639
dist_lo_20,-0.0084,0.0293,67639
vwap_dist,-0.0082,0.03377,67658
above_vwap,-0.0073,0.05715,67658
roc_10,-0.0066,0.08587,67648
macd_bull_cross,-0.0048,0.21259,67658
macd_hist,-0.0047,0.22263,67658
dist_ema200,-0.0045,0.2456,67658
lower_wick,-0.0017,0.66778,67652
mfi,-0.0017,0.65314,67634
tod_min,-0.0007,0.86376,67658
bb_width,-0.0005,0.90681,67639
gap_pct,0.0003,0.93968,67657
bb_break_up,0.0013,0.73508,67658
above_ema200,0.0019,0.61991,67658
ema_stack_bear,0.0025,0.51518,67658
atr_pct,0.0028,0.46794,67658
rsi_overbought,0.0045,0.24044,67658
vol_ratio,0.0053,0.16627,67658
upper_wick,0.0057,0.1369,67652
body_pct,0.0062,0.10517,67658
macd_bear_cross,0.0069,0.07197,67658
vol_z,0.0102,0.00805,67639
rsi_oversold,0.0103,0.00766,67658
bb_break_dn,0.0139,0.00029,67658
range_pct,0.0146,0.00015,67652
vol_climax,0.0176,0.0,67658
