setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
bull_flag,long,59,55.9,0.1566,0.2563,1.35,67.8,0.6609,0.9609,2.96,76.3,1.1193,1.6208,3.84,78.0,1.8197,2.8246,5.75,6.559897410354661
double_bottom,long,94,64.9,0.4523,0.5519,3.94,62.8,0.501,0.801,3.48,63.8,0.4216,0.9231,3.14,60.6,-0.1442,0.8608,1.84,2.6078656123834603
marubozu,long,94,48.9,0.0668,0.1664,1.0,59.6,0.1589,0.459,2.06,60.6,0.2337,0.7352,2.49,60.6,-0.6766,0.3283,0.62,1.3730781726059738
bullish_harami,long,105,45.7,-0.148,-0.0483,-0.23,55.2,0.0931,0.3932,1.1,60.0,0.5379,1.0394,2.4,54.3,0.1263,1.1312,2.01,3.307100890205801
inverted_hammer,long,60,51.7,-0.1418,-0.0421,-0.13,56.7,-0.2165,0.0836,0.19,68.3,0.731,1.2325,2.23,66.7,0.7153,1.7202,2.14,3.8673520284220313
hs_bottom,long,26,53.8,0.0902,0.1899,0.75,53.8,0.3181,0.6181,1.47,65.4,0.5972,1.0987,1.96,69.2,0.9925,1.9975,2.04,1.9915179326005172
bullish_engulfing,long,128,47.7,-0.0678,0.0318,0.26,52.3,-0.2001,0.0999,0.45,53.1,-0.3301,0.1714,0.53,60.9,-0.2018,0.8031,1.88,0.0
bear_flag,short,26,46.2,0.1308,0.0312,0.06,42.3,0.3061,0.0061,0.01,50.0,0.6304,0.1289,0.15,50.0,1.259,0.2541,0.2,1.6072109506844456
hammer,long,67,59.7,0.2449,0.3445,1.2,44.8,-0.3446,-0.0446,-0.1,46.3,-0.4236,0.0779,0.15,47.8,-1.3857,-0.3807,-0.53,0.0
dark_cloud_cover,short,50,50.0,0.1712,0.0716,0.34,54.0,0.61,0.31,0.9,50.0,0.5485,0.047,0.12,42.0,0.8523,-0.1526,-0.2,1.9392403474041067
tweezer_bottom,long,142,46.5,-0.1944,-0.0948,-0.61,54.2,-0.33,-0.03,-0.12,50.0,-0.5791,-0.0776,-0.23,52.1,-0.793,0.2119,0.48,0.0
double_top,short,77,49.4,0.2438,0.1442,0.73,49.4,0.092,-0.208,-0.6,54.5,0.2582,-0.2433,-0.49,48.1,-0.0782,-1.0831,-1.41,1.234804213629432
morning_star,long,39,43.6,-0.4742,-0.3746,-1.2,46.2,-0.9817,-0.6816,-1.5,35.9,-1.0397,-0.5382,-0.84,59.0,-0.177,0.828,0.91,0.0
bearish_harami,short,148,50.0,0.1167,0.0171,0.16,48.0,0.273,-0.027,-0.14,44.6,0.2362,-0.2653,-1.01,40.5,0.2726,-0.7324,-1.94,1.281579670613544
marubozu,short,45,46.7,-0.6725,-0.7722,-2.17,42.2,-0.6036,-0.9036,-1.96,35.6,-0.5685,-1.07,-1.92,37.8,-0.9187,-1.9237,-2.62,0.0
bearish_engulfing,short,150,52.0,0.0562,-0.0435,-0.25,44.7,-0.1445,-0.4445,-1.68,37.3,-0.1637,-0.6652,-2.07,40.0,-0.083,-1.0879,-2.42,0.0
shooting_star,short,96,41.7,-0.0658,-0.1654,-1.03,38.5,-0.1338,-0.4338,-1.59,36.5,-0.3177,-0.8192,-2.31,40.6,-0.392,-1.3969,-2.86,0.0
hanging_man,short,109,38.5,-0.1543,-0.2539,-1.83,42.2,-0.0778,-0.3779,-1.66,36.7,-0.2103,-0.7118,-2.32,40.4,-0.6683,-1.6732,-3.99,0.0
tweezer_top,short,304,48.7,0.0833,-0.0164,-0.2,41.8,-0.0555,-0.3555,-2.36,46.4,0.0106,-0.4909,-2.56,39.5,-0.2334,-1.2384,-4.67,0.0857552342556418
evening_star,short,39,48.7,0.0582,-0.0414,-0.21,41.0,-0.7167,-1.0167,-2.02,41.0,-1.3107,-1.8122,-2.68,41.0,-1.8829,-2.8879,-2.77,0.0
