event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,bullish_engulfing,long,3470,2025-03-31,-22.37878972725559
candlestick,bullish_harami,long,2195,2020-03-04,-18.00554808257589
candlestick,bullish_engulfing,long,3468,2025-03-27,-15.845432322347413
candlestick,tweezer_bottom,long,3468,2025-03-27,-15.845432322347413
candlestick,three_white_soldiers,long,3472,2025-04-02,-14.949306048482045
candlestick,bearish_engulfing,short,2322,2020-09-02,-14.764075188441408
candlestick,tweezer_top,short,2186,2020-02-20,-14.655012248001304
structure,double_top,short,2293,2020-07-23,14.448813333136117
candlestick,evening_star,short,1730,2018-04-27,14.070968030619854
candlestick,hammer,long,2208,2020-03-23,13.335115576981774
candlestick,bullish_harami,long,3556,2025-08-04,12.933359726372814
candlestick,tweezer_top,short,719,2014-04-23,12.716535044407436
candlestick,bearish_engulfing,short,3476,2025-04-08,12.672547462914338
structure,hs_top,short,2415,2021-01-15,12.600286573357703
candlestick,bullish_engulfing,long,1731,2018-04-30,12.58018228002658
structure,double_top,short,3555,2025-08-01,12.254168986372495
candlestick,shooting_star,short,2766,2022-06-08,-12.097869926357474
candlestick,bearish_harami,short,2766,2022-06-08,-12.097869926357474
structure,double_top,short,2706,2022-03-14,12.083397156447269
candlestick,inverted_hammer,long,2706,2022-03-14,12.083397156447269
structure,double_top,short,2706,2022-03-14,12.083397156447269
candlestick,marubozu,short,2873,2022-11-09,11.75206248783777
candlestick,tweezer_bottom,long,1221,2016-04-20,-11.481373786715794
candlestick,hanging_man,short,1918,2019-01-28,11.439532485551254
candlestick,bearish_harami,short,1918,2019-01-28,11.439532485551254
candlestick,inverted_hammer,long,3475,2025-04-07,11.396446550556027
candlestick,marubozu,short,1890,2018-12-14,-11.27024074087564
candlestick,bullish_harami,long,2416,2021-01-19,11.131968648757434
candlestick,tweezer_bottom,long,2416,2021-01-19,11.131968648757434
candlestick,piercing,long,1050,2015-08-14,-11.072780647865608
candlestick,morning_star,long,466,2013-04-22,11.064291407099965
candlestick,bearish_engulfing,short,3269,2024-06-10,10.962095435068289
candlestick,tweezer_top,short,3269,2024-06-10,10.962095435068289
candlestick,hammer,long,361,2012-11-16,10.820951640298112
candlestick,bearish_engulfing,short,2867,2022-11-01,-10.474609637315838
candlestick,bullish_harami,long,715,2014-04-16,10.198266352755232
structure,double_top,short,1320,2016-09-09,10.132846752587673
candlestick,evening_star,short,2004,2019-05-31,10.001710044147378
candlestick,bullish_harami,long,1677,2018-02-09,9.871492922384363
structure,bull_flag,long,188,2012-03-12,9.775362994685354
candlestick,tweezer_bottom,long,2707,2022-03-15,9.749184817204446
candlestick,inverted_hammer,long,1225,2016-04-26,-9.736460164141288
candlestick,tweezer_top,short,562,2013-09-06,-9.654370757027904
candlestick,tweezer_top,short,3265,2024-06-04,9.63210734901258
candlestick,hammer,long,714,2014-04-15,9.616573726934636
candlestick,evening_star,short,714,2014-04-15,9.616573726934636
candlestick,marubozu,short,911,2015-01-27,9.54736872568978
candlestick,bearish_harami,short,2309,2020-08-14,9.529401328822303
candlestick,tweezer_bottom,long,404,2013-01-22,-9.497395256380877
candlestick,tweezer_bottom,long,1224,2016-04-25,-9.421394512150762
candlestick,morning_star,long,163,2012-02-03,9.33693461291221
candlestick,bullish_engulfing,long,2762,2022-06-02,-9.311554266179023
candlestick,tweezer_bottom,long,842,2014-10-16,9.308122673623211
candlestick,inverted_hammer,long,842,2014-10-16,9.308122673623211
candlestick,tweezer_top,short,3267,2024-06-06,9.260597573673598
structure,bull_flag,long,23,2011-07-15,9.2020227513056
candlestick,hammer,long,1867,2018-11-09,-9.101579938009632
candlestick,evening_star,short,2336,2020-09-23,9.027257207808335
candlestick,bearish_harami,short,2866,2022-10-31,-9.025692362345996
candlestick,shooting_star,short,3242,2024-05-01,9.019494387009932
candlestick,shooting_star,short,2236,2020-05-01,8.973605626374146
structure,bear_flag,short,2753,2022-05-19,8.94793792500475
candlestick,bullish_engulfing,long,2765,2022-06-07,-8.930141509332321
candlestick,bearish_engulfing,short,2310,2020-08-17,8.91520968744562
candlestick,bullish_harami,long,1795,2018-07-31,8.912716018842348
candlestick,tweezer_top,short,3053,2023-08-01,-8.905474216344057
candlestick,inverted_hammer,long,2466,2021-03-31,8.882520129827746
structure,bear_flag,short,1868,2018-11-12,-8.853068240979951
candlestick,hanging_man,short,1418,2017-01-31,8.80922533698379
candlestick,bearish_harami,short,1418,2017-01-31,8.80922533698379
candlestick,tweezer_bottom,long,655,2014-01-21,-8.800341519843059
candlestick,bullish_harami,long,1871,2018-11-15,-8.771750809096059
candlestick,hammer,long,1667,2018-01-26,-8.757500725751127
candlestick,bullish_harami,long,1667,2018-01-26,-8.757500725751127
candlestick,bullish_harami,long,1132,2015-12-10,-8.728587027178824
candlestick,evening_star,short,2465,2021-03-30,8.723935739246006
candlestick,hanging_man,short,2069,2019-09-03,8.697131577571138
candlestick,marubozu,long,83,2011-10-10,8.598031084019128
candlestick,tweezer_top,short,3282,2024-06-28,8.574683305136958
candlestick,evening_star,short,3282,2024-06-28,8.574683305136958
candlestick,hammer,long,1882,2018-12-03,-8.505573313351547
candlestick,hanging_man,short,3052,2023-07-31,-8.475436067769996
candlestick,tweezer_bottom,long,2895,2022-12-12,-8.4365713737778
candlestick,three_black_crows,short,1727,2018-04-24,8.365045218232332
structure,double_top,short,1727,2018-04-24,8.365045218232332
candlestick,marubozu,short,1057,2015-08-25,8.289954358216335
candlestick,tweezer_top,short,1602,2017-10-23,8.241016371956853
candlestick,bearish_harami,short,2182,2020-02-13,-8.215594804862974
candlestick,three_white_soldiers,long,2711,2022-03-21,8.211392810562204
candlestick,tweezer_top,short,1507,2017-06-08,-8.206981592283476
candlestick,bullish_harami,long,2754,2022-05-20,8.176466530584452
candlestick,bullish_engulfing,long,3077,2023-09-05,-8.16551949581807
candlestick,tweezer_top,short,658,2014-01-24,-8.156468989949756
structure,bull_flag,long,2308,2020-08-13,8.138423125377
structure,double_top,short,2379,2020-11-23,8.107161599155962
candlestick,tweezer_top,short,161,2012-02-01,8.106275818131712
candlestick,shooting_star,short,2312,2020-08-19,8.03967397364093
candlestick,hammer,long,2672,2022-01-24,8.037375254061395
candlestick,inverted_hammer,long,1869,2018-11-13,-8.037245638885901
candlestick,dark_cloud_cover,short,2855,2022-10-14,7.9997049247139005
candlestick,marubozu,short,2855,2022-10-14,7.9997049247139005
candlestick,tweezer_bottom,long,1861,2018-11-01,-7.9875798319212326
candlestick,morning_star,long,80,2011-10-05,7.978848636783585
candlestick,bullish_engulfing,long,80,2011-10-05,7.978848636783585
candlestick,bearish_engulfing,short,2233,2020-04-28,7.915148026912172
structure,bear_flag,short,2449,2021-03-08,7.915090268273271
candlestick,marubozu,short,2449,2021-03-08,7.915090268273271
candlestick,bullish_harami,long,236,2012-05-18,7.898107950971983
candlestick,bearish_engulfing,short,353,2012-11-06,-7.887101763521824
candlestick,tweezer_top,short,367,2012-11-27,-7.864495598303341
candlestick,tweezer_bottom,long,506,2013-06-18,-7.805074716365761
candlestick,evening_star,short,1914,2019-01-22,7.795170717777205
candlestick,marubozu,short,153,2012-01-20,7.782540063535451
candlestick,bearish_engulfing,short,1870,2018-11-14,-7.7676710538407345
candlestick,bearish_engulfing,short,3496,2025-05-07,7.745221374900478
candlestick,bullish_engulfing,long,1321,2016-09-12,7.71054349883562
candlestick,tweezer_bottom,long,3679,2026-01-29,7.681584494215567
candlestick,bearish_harami,short,1723,2018-04-18,-7.65856691276012
candlestick,tweezer_top,short,1543,2017-07-31,7.631282478020028
candlestick,hammer,long,348,2012-10-26,-7.615891609645257
candlestick,hanging_man,short,73,2011-09-26,-7.6072180237192475
candlestick,bearish_engulfing,short,2333,2020-09-18,7.600152587895854
candlestick,tweezer_bottom,long,659,2014-01-27,-7.576750050155823
candlestick,bullish_harami,long,659,2014-01-27,-7.576750050155823
candlestick,bullish_harami,long,3436,2025-02-10,7.564244095052908
candlestick,hammer,long,3422,2025-01-21,7.509881991798332
candlestick,evening_star,short,919,2015-02-06,7.483394856673168
candlestick,tweezer_top,short,919,2015-02-06,7.483394856673168
candlestick,tweezer_top,short,1604,2017-10-25,7.4803380054370106
structure,double_top,short,841,2014-10-15,7.47385774769544
structure,double_top,short,841,2014-10-15,7.47385774769544
candlestick,tweezer_top,short,3435,2025-02-07,7.397968623055699
candlestick,bullish_engulfing,long,3197,2024-02-27,-7.39747544457107
candlestick,bearish_engulfing,short,3588,2025-09-18,7.3902814318989
candlestick,tweezer_bottom,long,2624,2021-11-12,7.353822505059897
candlestick,shooting_star,short,3239,2024-04-26,7.330185137867618
structure,double_bottom,long,1721,2018-04-16,-7.325676456753459
candlestick,tweezer_top,short,3684,2026-02-05,-7.295859017661615
candlestick,bullish_harami,long,1888,2018-12-12,-7.25606376675692
candlestick,bullish_engulfing,long,2626,2021-11-16,7.245034729408113
candlestick,bearish_harami,short,540,2013-08-06,7.146695207899071
candlestick,tweezer_top,short,540,2013-08-06,7.146695207899071
candlestick,bullish_harami,long,352,2012-11-05,-7.136258320841812
candlestick,bullish_harami,long,1025,2015-07-10,7.130117319889227
structure,bear_flag,short,1902,2019-01-03,7.103165251641777
candlestick,bearish_harami,short,1792,2018-07-26,7.095411308851441
candlestick,inverted_hammer,long,3677,2026-01-27,7.054633521411047
candlestick,tweezer_bottom,long,2434,2021-02-12,-7.025186414909225
structure,double_top,short,3055,2023-08-03,-6.99900874141768
candlestick,marubozu,long,294,2012-08-10,6.988904624370311
candlestick,bullish_harami,long,2856,2022-10-17,6.972819619709971
candlestick,bullish_harami,long,3497,2025-05-08,6.97249918004003
structure,bull_flag,long,3492,2025-05-01,-6.933249595497613
candlestick,marubozu,short,507,2013-06-19,-6.907807770575926
candlestick,bullish_engulfing,long,2256,2020-06-01,6.878975830666463
structure,bull_flag,long,2256,2020-06-01,6.878975830666463
structure,hs_bottom,long,1606,2017-10-27,6.869056570754503
candlestick,piercing,long,2266,2020-06-15,6.863176540177253
candlestick,tweezer_top,short,1416,2017-01-27,6.8388655568644845
candlestick,bullish_harami,long,505,2013-06-17,-6.798603216745377
candlestick,tweezer_bottom,long,891,2014-12-26,-6.7812929839486875
candlestick,tweezer_bottom,long,1671,2018-02-01,-6.776728573078578
structure,hs_bottom,long,2468,2021-04-05,6.775211315743307
structure,double_bottom,long,2468,2021-04-05,6.775211315743307
candlestick,bullish_harami,long,2380,2020-11-24,6.7465523973204835
candlestick,bearish_engulfing,short,2909,2023-01-03,6.732234603729906
candlestick,marubozu,short,2622,2021-11-10,6.726606997978664
candlestick,bullish_harami,long,3583,2025-09-11,6.725210321609346
candlestick,shooting_star,short,1601,2017-10-20,6.700800781250001
candlestick,bullish_harami,long,131,2011-12-16,6.695189360448395
candlestick,bullish_harami,long,3483,2025-04-17,6.680883311781656
candlestick,bullish_harami,long,262,2012-06-26,6.627269847485071
structure,double_top,short,1055,2015-08-21,6.618759321679319
structure,bear_flag,short,1055,2015-08-21,6.618759321679319
candlestick,marubozu,long,2211,2020-03-26,-6.589536688755422
candlestick,bearish_harami,short,1129,2015-12-07,-6.58606780176165
structure,double_bottom,long,1031,2015-07-20,-6.579851282560824
candlestick,bearish_harami,short,2154,2020-01-03,6.566250633837687
candlestick,tweezer_top,short,183,2012-03-05,6.553374256112248
candlestick,bearish_engulfing,short,183,2012-03-05,6.553374256112248
candlestick,bullish_harami,long,3115,2023-10-27,6.544997281500982
candlestick,bearish_harami,short,1483,2017-05-04,6.531090837332957
candlestick,inverted_hammer,long,1238,2016-05-13,6.5289481675672
candlestick,tweezer_top,short,1479,2017-04-28,6.51583780581047
structure,bear_flag,short,2437,2021-02-18,-6.514535610407409
