feature,type,rise_rate,drop_rate,base_rate,rise_lift,drop_lift,me_score,p_value,effect_size,n_rise,n_drop,direction,rise_mean,drop_mean,cliff_delta,fdr_pass
consec_dir,continuous,,,,,,1214.982,0.0,0.9984,21165344,24694159,rise_higher,1.6065,-1.3777,0.9984,True
rsi_reclaim50,binary,14.88,1.669,7.767,1.916,0.215,8.914,0.0,0.2461,21165344,24694159,rise,,,,True
above_bb_upper,binary,17.126,2.981,9.509,1.801,0.313,5.745,0.0,0.2404,21165344,24694159,rise,,,,True
macd_bull_cross,binary,8.651,1.678,4.896,1.767,0.343,5.156,0.0,0.1611,21165344,24694159,rise,,,,True
rsi_slope,continuous,,,,,,4.629,0.0,0.6447,21161655,24686881,rise_higher,4.7523,-4.0173,0.6447,True
macd_hist_rising,binary,77.972,26.087,50.033,1.558,0.521,2.989,0.0,0.5173,21165344,24694159,rise,,,,True
dist_ema9_pct,continuous,,,,,,2.943,0.0,0.4927,21165344,24694159,rise_higher,0.3675,-0.2849,0.4927,True
rsi_above70,binary,13.932,4.885,9.061,1.538,0.539,2.852,0.0,0.1571,21165344,24694159,rise,,,,True
bb_pct,continuous,,,,,,2.439,0.0,0.4184,21150288,24660571,rise_higher,0.6497,0.372,0.4184,True
above_ema9,binary,72.582,30.456,49.898,1.455,0.61,2.383,0.0,0.42,21165344,24694159,rise,,,,True
above_all_emas,binary,52.952,23.884,37.3,1.42,0.64,2.217,0.0,0.2996,21165344,24694159,rise,,,,True
vwap_dist_pct,continuous,,,,,,2.172,0.0,0.3694,21165344,24694159,rise_higher,0.3475,-0.332,0.3694,True
dist_ema20_pct,continuous,,,,,,2.037,0.0,0.3414,21165344,24694159,rise_higher,0.4292,-0.3021,0.3414,True
rsi,continuous,,,,,,1.998,0.0,0.3329,21162965,24691023,rise_higher,54.5168,46.0158,0.3329,True
above_vwap,binary,66.466,33.299,48.606,1.367,0.685,1.996,0.0,0.3308,21165344,24694159,rise,,,,True
body_to_range,continuous,,,,,,1.964,0.0,0.3253,20939175,20988170,rise_higher,0.8939,0.8834,0.3253,True
above_ema20,binary,65.199,36.59,49.794,1.309,0.735,1.782,0.0,0.2852,21165344,24694159,rise,,,,True
rsi_above50,binary,62.841,38.454,49.709,1.264,0.774,1.634,0.0,0.2431,21165344,24694159,rise,,,,True
above_ema50,binary,58.908,41.575,49.574,1.188,0.839,1.417,0.0,0.1728,21165344,24694159,rise,,,,True
upper_dom,binary,22.405,15.977,18.943,1.183,0.843,1.402,0.0,0.0818,21165344,24694159,rise,,,,True
macd_hist,continuous,,,,,,1.381,0.0,0.1599,21165344,24694159,rise_higher,0.0124,-0.0112,0.1599,True
body_pct,continuous,,,,,,1.355,0.0,0.1506,21165344,24694159,rise_higher,0.4513,0.3782,0.1506,True
macd_above_sig,binary,57.447,44.042,50.229,1.144,0.877,1.304,0.0,0.1337,21165344,24694159,rise,,,,True
