session,feature,rise_mean,drop_mean,effect_size,p_value,n_rise,n_drop
lunch,consec_dir,1.7374,-1.6029,0.9995,0.0,86164,93551
lunch,rsi_reclaim50,0.1602,0.0416,0.1186,0.0,86164,93551
lunch,above_bb_upper,0.3748,0.1109,0.2639,0.0,86164,93551
lunch,macd_bull_cross,0.1097,0.0325,0.0771,0.0,86164,93551
lunch,rsi_slope,6.4486,-5.441,0.4827,0.0,86153,93535
lunch,below_all_emas,0.294,0.5456,0.2515,0.0,86164,93551
lunch,rsi_below30,0.1015,0.2538,0.1523,0.0,86164,93551
lunch,macd_bear_cross,0.0272,0.099,0.0718,0.0,86164,93551
lunch,below_bb_lower,0.1036,0.3361,0.2324,0.0,86164,93551
lunch,rsi_lose50,0.0324,0.1499,0.1175,0.0,86164,93551
other,consec_dir,1.581,-1.3434,0.998,0.0,682713,809125
other,rsi_reclaim50,0.1533,0.0148,0.1384,0.0,682713,809125
other,above_bb_upper,0.1613,0.0227,0.1386,0.0,682713,809125
other,macd_bull_cross,0.0866,0.0152,0.0714,0.0,682713,809125
other,rsi_slope,4.6848,-3.9591,0.67,0.0,682597,808887
other,below_all_emas,0.2093,0.513,0.3037,0.0,682713,809125
other,rsi_below30,0.0364,0.1171,0.0807,0.0,682713,809125
other,macd_bear_cross,0.0117,0.0781,0.0664,0.0,682713,809125
other,below_bb_lower,0.0178,0.1446,0.1268,0.0,682713,809125
other,rsi_lose50,0.0094,0.1369,0.1275,0.0,682713,809125
power_hour,consec_dir,1.6349,-1.4275,0.9988,0.0,153804,174643
power_hour,rsi_reclaim50,0.1191,0.0125,0.1067,0.0,153804,174643
power_hour,above_bb_upper,0.0974,0.0189,0.0785,0.0,153804,174643
power_hour,macd_bull_cross,0.0737,0.0154,0.0583,0.0,153804,174643
power_hour,rsi_slope,4.0137,-3.5485,0.6571,0.0,153777,174590
power_hour,below_all_emas,0.2281,0.4953,0.2673,0.0,153804,174643
power_hour,rsi_below30,0.0484,0.1261,0.0777,0.0,153804,174643
power_hour,macd_bear_cross,0.0116,0.0687,0.0572,0.0,153804,174643
power_hour,below_bb_lower,0.0115,0.0936,0.0821,0.0,153804,174643
power_hour,rsi_lose50,0.0071,0.1118,0.1046,0.0,153804,174643
