date,ic,n,fold
2014-07-02,-0.0865530885205277,172,1
2014-07-03,-0.028980033164938045,172,1
2014-07-07,-0.06825962199580832,172,1
2014-07-08,0.10162308005218541,172,1
2014-07-09,-0.08685284545427462,172,1
2014-07-10,-0.018931250051984254,172,1
2014-07-11,-0.16084947253348142,172,1
2014-07-14,-0.09470551295504001,172,1
2014-07-15,-0.056571986920601336,172,1
2014-07-16,-0.020993654044308006,172,1
2014-07-17,0.07802377608848796,172,1
2014-07-18,-0.004840731819532,172,1
2014-07-21,0.05910540920621658,172,1
2014-07-22,0.0769499628307412,172,1
2014-07-23,0.18988972506758453,172,1
2014-07-24,0.16290619056695424,172,1
2014-07-25,0.22029923300513476,172,1
2014-07-28,0.2708135438275391,172,1
2014-07-29,0.21490966091813135,172,1
2014-07-30,0.22893815630220424,172,1
2014-07-31,0.08220024545345708,172,1
2014-08-01,0.01834977062078521,172,1
2014-08-04,0.00904823169338056,172,1
2014-08-05,-0.10457561815047564,172,1
2014-08-06,-0.06810630744837552,172,1
2014-08-07,0.004149683410793587,172,1
2014-08-08,0.10577704881054892,172,1
2014-08-11,0.2215471771865977,172,1
2014-08-12,0.2690306397468443,172,1
2014-08-13,0.19997547154449996,172,1
2014-08-14,0.14264643680443906,172,1
2014-08-15,0.15590221994616654,172,1
2014-08-18,-0.06261465530045784,172,1
2014-08-19,-0.017795346613863883,172,1
2014-08-20,-0.12014404157358424,172,1
2014-08-21,-0.0981498450875594,172,1
2014-08-22,-0.12905165870878404,172,1
2014-08-25,-0.08825067721816574,172,1
2014-08-26,-0.14433717149891556,172,1
2014-08-27,-0.1514831962273418,172,1
2014-08-28,-0.09824804294920751,172,1
2014-08-29,-0.013244198940163123,172,1
2014-09-02,-0.12410296503650478,172,1
2014-09-03,0.009776882949123596,172,1
2014-09-04,0.0028339658885923446,172,1
2014-09-05,-0.04986953907632952,172,1
2014-09-08,-0.06633745280116367,172,1
2014-09-09,-0.09226405990326084,172,1
2014-09-10,-0.23679590766020003,172,1
2014-09-11,-0.3028610462376338,172,1
2014-09-12,-0.33311191324656164,172,1
2014-09-15,-0.2338620321374235,172,1
2014-09-16,-0.20640071818853206,172,1
2014-09-17,-0.10539039340579313,172,1
2014-09-18,-0.0381114137249845,172,1
2014-09-19,-0.011896725246713587,172,1
2014-09-22,0.10972352672008934,172,1
2014-09-23,0.08108200428369293,172,1
2014-09-24,-0.0010574303351975707,172,1
2014-09-25,0.10283572762542813,172,1
2014-09-26,0.012364098331661435,172,1
2014-09-29,0.03565651067460075,172,1
2014-09-30,-0.03235491472136384,172,1
2014-10-01,0.10630155018194866,172,1
2014-10-02,0.03816054410398954,172,1
2014-10-03,-0.14214655995392844,172,1
2014-10-06,-0.0925361960423478,172,1
2014-10-07,-0.14709701113906729,172,1
2014-10-08,-0.07239458647266929,172,1
2014-10-09,-0.15058630168204035,172,1
2014-10-10,0.017976648321193164,172,1
2014-10-13,0.11254806845818159,172,1
2014-10-14,0.18420165121440757,172,1
2014-10-15,0.06199520054720188,172,1
2014-10-16,0.23004524051215233,172,1
2014-10-17,0.1719987076683598,172,1
2014-10-20,0.12281600035153067,172,1
2014-10-21,-0.01295074078018418,172,1
2014-10-22,0.1880762165588619,172,1
2014-10-23,-0.014295741965974267,172,1
2014-10-24,0.059866722902152066,172,1
2014-10-27,0.18827034526317463,172,1
2014-10-28,-0.3101452146330441,172,1
2014-10-29,-0.29775768910349204,172,1
2014-10-30,-0.04787692681160378,172,1
2014-10-31,-0.14302169864817676,172,1
2014-11-03,-0.12419333041176728,172,1
2014-11-04,0.17512694670875828,172,1
2014-11-05,0.15161213228225112,172,1
2014-11-06,-0.13293788821826374,172,1
2014-11-07,0.016570709654635273,173,1
2014-11-10,-0.046605482581816314,173,1
2014-11-11,0.012398276477642462,173,1
2014-11-12,0.03881250431676947,173,1
2014-11-13,0.1622284135522386,173,1
2014-11-14,0.15505345042456004,173,1
2014-11-17,0.27002814077851334,173,1
2014-11-18,0.10143001000064034,173,1
2014-11-19,0.06831899280866477,173,1
2014-11-20,-0.01670413904049257,173,1
2014-11-21,-0.13543243896296805,173,1
2014-11-24,-0.1872092022671223,173,1
2014-11-25,-0.19708278181973693,173,1
