setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
double_bottom,long,3463,48.4,-0.0049,-0.0036,-0.93,51.3,-0.0041,-0.0001,-0.02,50.7,0.0063,0.0143,1.68,51.8,0.0137,0.0298,2.49,0.1879640329079742
bullish_harami,long,2451,51.3,-0.0033,-0.002,-0.46,50.2,-0.0046,-0.0007,-0.11,51.2,0.005,0.013,1.45,51.8,0.0118,0.0279,2.15,0.12673939245554242
inverted_hammer,long,1715,53.4,0.0061,0.0074,1.84,53.2,0.0132,0.0172,2.47,52.4,0.0055,0.0135,1.29,51.7,-0.0035,0.0125,0.86,0.11935099354425166
tweezer_bottom,long,16020,50.0,0.0001,0.0014,1.0,50.6,-0.0006,0.0033,1.35,51.0,-0.0055,0.0024,0.69,50.9,-0.0187,-0.0026,-0.51,0.0
three_black_crows,short,236,46.6,0.0036,0.0022,0.26,51.3,0.0205,0.0166,0.99,49.6,0.0194,0.0114,0.47,50.4,-0.0266,-0.0426,-1.12,0.14782211368858178
hammer,long,1867,49.1,-0.0023,-0.001,-0.25,49.2,-0.0071,-0.0032,-0.4,50.8,-0.0061,0.0019,0.16,49.7,-0.0271,-0.011,-0.73,0.0
marubozu,long,3594,47.0,-0.0085,-0.0072,-2.57,48.9,-0.0075,-0.0036,-0.68,49.2,-0.0078,0.0002,0.02,49.8,-0.0134,0.0027,0.25,0.0
bullish_engulfing,long,3795,48.6,-0.0038,-0.0025,-0.93,50.9,-0.0001,0.0039,0.77,50.3,-0.0079,0.0001,0.01,52.0,0.0008,0.0169,1.59,0.0
shooting_star,short,1893,48.0,0.0041,0.0028,0.62,47.7,0.0025,-0.0014,-0.2,46.2,0.0051,-0.0028,-0.26,47.6,-0.0078,-0.0239,-1.7,0.10251501005667414
evening_star,short,565,47.8,-0.0093,-0.0106,-1.67,45.3,-0.0138,-0.0177,-1.43,47.1,0.0031,-0.0048,-0.27,46.2,-0.0286,-0.0446,-1.49,0.03470618079895857
three_white_soldiers,long,214,48.1,-0.0058,-0.0045,-0.46,48.6,-0.0074,-0.0034,-0.21,49.5,-0.0148,-0.0068,-0.29,51.9,0.0422,0.0583,1.45,0.0
piercing,long,424,50.0,0.0088,0.0101,0.53,43.9,-0.0103,-0.0063,-0.29,47.9,-0.0183,-0.0103,-0.35,49.5,-0.0356,-0.0196,-0.55,0.0
dark_cloud_cover,short,473,45.0,-0.0029,-0.0042,-0.72,45.7,-0.0009,-0.0049,-0.34,45.5,-0.0074,-0.0154,-0.85,45.0,-0.0266,-0.0427,-1.67,0.0
bearish_engulfing,short,3887,46.1,-0.0057,-0.007,-2.45,47.5,-0.0088,-0.0127,-2.22,48.1,-0.0004,-0.0083,-1.04,48.4,-0.0037,-0.0198,-1.83,0.0
bearish_harami,short,2611,49.5,0.0034,0.002,0.58,46.9,-0.005,-0.0089,-1.51,46.0,-0.0033,-0.0113,-1.2,46.2,-0.0184,-0.0345,-2.82,0.0
double_top,short,3190,47.3,0.0,-0.0013,-0.32,48.0,-0.0007,-0.0046,-0.7,45.9,-0.0084,-0.0164,-1.72,46.4,-0.0028,-0.0188,-1.5,0.0
tweezer_top,short,16891,47.6,-0.0013,-0.0026,-1.87,47.9,-0.0008,-0.0047,-1.92,47.8,0.0009,-0.0071,-2.06,47.6,-0.0084,-0.0245,-5.29,0.05591110647840909
morning_star,long,589,50.3,-0.0081,-0.0068,-0.9,46.9,-0.0372,-0.0332,-2.45,45.5,-0.045,-0.037,-2.08,47.9,-0.0487,-0.0327,-1.35,0.0
hanging_man,short,1975,48.6,0.0015,0.0002,0.05,50.0,-0.0063,-0.0103,-1.7,49.7,-0.0136,-0.0216,-2.18,48.8,-0.0012,-0.0173,-1.23,0.0
marubozu,short,3194,44.3,-0.0073,-0.0086,-2.88,46.8,-0.0122,-0.0162,-2.9,44.3,-0.0247,-0.0327,-4.44,45.3,-0.023,-0.039,-3.82,0.0
