feature,spearman_ic,p,n
lower_wick,-0.0422,0.00948,3776
dist_ema200,-0.029,0.07448,3776
atr_pct,-0.0281,0.08407,3776
above_ema200,-0.0081,0.61757,3776
vol_climax,0.0037,0.8199,3776
body_dir,0.0041,0.79974,3776
candle_ret,0.0041,0.80003,3776
consec_dir,0.0058,0.72221,3776
bb_squeeze,0.0065,0.69021,3776
dist_ema50,0.0065,0.69139,3776
bb_break_dn,0.0072,0.65833,3776
rsi_slope,0.0076,0.63945,3772
ema_stack_bull,0.0079,0.62649,3776
macd_bear_cross,0.0083,0.60877,3776
bb_break_up,0.011,0.50111,3776
cc_ret,0.0129,0.42908,3775
range_pct,0.014,0.39008,3776
upper_wick,0.0155,0.34223,3776
roc_10,0.0177,0.27679,3766
gap_pct,0.0177,0.2774,3775
body_pct,0.0186,0.25335,3776
ema9_slope,0.0232,0.15395,3775
dist_ema9,0.0233,0.15147,3776
mfi,0.0243,0.13644,3763
bb_width,0.025,0.12535,3757
williams_r,0.0253,0.12006,3763
stoch_k,0.0253,0.12006,3763
dist_ema20,0.027,0.09702,3776
macd_bull_cross,0.0299,0.06654,3776
rsi,0.031,0.05711,3774
dist_lo_20,0.0318,0.05106,3757
ema_stack_bear,0.0323,0.04705,3776
bb_pct,0.0343,0.03568,3757
vol_ratio,0.0346,0.03343,3776
vol_z,0.0354,0.03003,3757
dist_hi_20,0.0358,0.02827,3757
macd_hist,0.0414,0.01087,3776
rsi_overbought,0.0546,0.00079,3776
rsi_oversold,0.0601,0.00022,3776
