setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
double_bottom,long,5154,50.2,0.0082,0.0079,1.77,49.5,0.0138,0.013,1.83,50.8,0.0262,0.0246,2.58,51.6,0.0414,0.038,3.0,0.9555143433945092
inverted_hammer,long,2571,51.5,0.005,0.0047,0.63,51.9,0.0136,0.0128,1.24,51.9,0.0115,0.0098,0.7,51.2,0.0188,0.0154,0.83,0.30263296759399827
shooting_star,short,2637,48.1,-0.0106,-0.0103,-2.32,49.6,-0.0054,-0.0045,-0.56,49.1,0.0032,0.0048,0.41,48.4,-0.0156,-0.0122,-0.73,0.08068383551418463
bullish_harami,long,3585,49.8,-0.0028,-0.0031,-0.7,50.7,0.0003,-0.0005,-0.07,50.5,0.0033,0.0016,0.15,51.2,0.0224,0.0189,1.22,0.09978147005456474
hanging_man,short,2852,50.3,0.0023,0.0025,0.45,49.9,-0.0033,-0.0025,-0.3,50.7,-0.0001,0.0016,0.14,47.8,-0.0139,-0.0105,-0.66,0.0
piercing,long,731,45.6,-0.0121,-0.0124,-1.63,48.8,-0.0049,-0.0057,-0.44,50.1,0.0023,0.0006,0.03,47.6,-0.0514,-0.0548,-1.85,0.031154748546409424
evening_star,short,968,47.3,-0.0036,-0.0033,-0.51,48.1,-0.0041,-0.0033,-0.28,49.4,-0.0018,-0.0001,-0.01,49.0,0.0083,0.0118,0.46,0.0
morning_star,long,974,51.5,0.0069,0.0066,1.03,48.9,0.0006,-0.0002,-0.02,49.5,-0.0017,-0.0034,-0.21,50.5,0.0222,0.0187,0.8,0.0
three_white_soldiers,long,389,50.4,-0.002,-0.0023,-0.21,52.4,0.0126,0.0118,0.72,50.1,-0.0058,-0.0075,-0.25,48.8,-0.0084,-0.0118,-0.28,0.0
hammer,long,2700,49.1,0.0035,0.0032,0.68,50.4,0.0057,0.0049,0.51,50.3,-0.0027,-0.0044,-0.35,49.4,-0.0378,-0.0412,-1.06,0.0
three_black_crows,short,336,45.5,-0.013,-0.0127,-1.05,46.1,-0.0093,-0.0085,-0.33,48.8,-0.017,-0.0153,-0.48,53.6,0.0015,0.0049,0.11,0.0
bearish_harami,short,3627,49.4,0.0037,0.004,1.03,50.0,-0.0042,-0.0034,-0.47,49.5,-0.01,-0.0083,-0.84,48.9,-0.0272,-0.0237,-1.67,0.0
marubozu,short,8708,47.3,-0.0073,-0.007,-3.14,48.3,-0.0091,-0.0083,-2.18,48.6,-0.007,-0.0053,-0.86,49.7,0.005,0.0085,0.61,0.0
double_top,short,5055,46.6,-0.0092,-0.009,-2.25,48.1,-0.0114,-0.0105,-1.46,48.3,-0.0123,-0.0106,-1.11,48.5,-0.008,-0.0045,-0.2,0.0
tweezer_top,short,24492,48.0,-0.0049,-0.0046,-3.22,48.3,-0.008,-0.0071,-2.76,48.4,-0.0079,-0.0062,-1.14,48.3,-0.0138,-0.0104,-1.2,0.0
bullish_engulfing,long,5139,49.0,0.0003,0.0001,0.02,49.9,-0.0049,-0.0058,-0.9,49.1,-0.0084,-0.0101,-1.14,50.3,-0.0089,-0.0124,-1.03,0.0
bearish_engulfing,short,5187,47.4,-0.0107,-0.0104,-3.01,48.1,-0.0152,-0.0144,-2.33,48.9,-0.0161,-0.0144,-1.61,48.7,-0.0226,-0.0191,-1.51,0.0
marubozu,long,9281,49.1,-0.0007,-0.0009,-0.4,48.5,-0.0046,-0.0054,-1.5,48.8,-0.0197,-0.0214,-1.85,49.5,-0.0149,-0.0183,-1.4,0.0
tweezer_bottom,long,23769,49.3,-0.0011,-0.0014,-0.89,49.5,-0.0088,-0.0096,-1.53,49.7,-0.0164,-0.0181,-2.03,50.2,-0.0175,-0.0209,-1.98,0.0
dark_cloud_cover,short,738,47.8,-0.0133,-0.013,-1.6,47.0,-0.0345,-0.0337,-2.43,47.0,-0.0427,-0.041,-2.23,49.9,-0.0047,-0.0012,-0.04,0.0
