feature,spearman_ic,p,n
consec_dir,-0.0136,1e-05,104864
cc_ret,-0.0134,1e-05,104863
body_dir,-0.0132,2e-05,104864
candle_ret,-0.0131,2e-05,104864
rsi_slope,-0.0117,0.00015,104861
ema_stack_bear,-0.0071,0.02166,104864
bb_break_dn,-0.0061,0.04874,104864
dist_ema9,-0.0056,0.06932,104864
ema9_slope,-0.0056,0.06929,104863
gap_pct,-0.0028,0.37129,104863
stoch_k,-0.0026,0.40743,104851
williams_r,-0.0026,0.40743,104851
dist_hi_20,-0.0022,0.47749,104845
mfi,-0.0017,0.57883,104821
bb_squeeze,-0.0014,0.64904,104864
above_vwap,-0.0008,0.80373,104864
rsi_overbought,-0.0007,0.81364,104864
dist_ema20,-0.0005,0.86882,104864
macd_hist,-0.0003,0.93146,104864
macd_bull_cross,0.0002,0.93621,104864
or_position,0.0006,0.85046,104864
body_pct,0.0007,0.82623,104864
roc_10,0.0011,0.71235,104854
bb_pct,0.0013,0.66853,104845
rsi_oversold,0.0014,0.64458,104864
atr_pct,0.0015,0.63431,104864
rsi,0.002,0.51797,104863
vwap_dist,0.0025,0.41879,104864
bb_break_up,0.0026,0.39141,104864
macd_bear_cross,0.0028,0.35931,104864
upper_wick,0.0032,0.31361,102099
vol_z,0.0036,0.24177,104845
vol_ratio,0.0037,0.22815,104864
bb_width,0.0039,0.2112,104845
dist_ema50,0.0046,0.14023,104864
lower_wick,0.005,0.11277,102099
vol_climax,0.0053,0.08747,104864
range_pct,0.0061,0.05232,102099
tod_min,0.0075,0.01524,104864
dist_lo_20,0.0075,0.01529,104845
dist_ema200,0.0086,0.00528,104864
ema_stack_bull,0.0098,0.00144,104864
above_ema200,0.0128,3e-05,104864
