setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
bullish_harami,long,113,54.0,0.1177,0.2236,1.12,58.4,0.3115,0.6291,1.89,61.1,0.7309,1.2601,3.53,66.4,1.075,2.1295,3.9,4.747209454036459
double_bottom,long,120,55.0,0.433,0.5389,2.54,63.3,0.6345,0.9522,3.23,60.8,0.7266,1.2559,3.14,58.3,0.1939,1.2484,2.1,4.839378557044365
hammer,long,79,50.6,-0.3857,-0.2798,-1.31,58.2,0.7031,1.0207,3.1,64.6,1.1195,1.6488,2.97,65.8,0.5035,1.558,2.06,6.427915538019381
hs_bottom,long,32,65.6,0.2656,0.3715,1.43,71.9,1.1732,1.4908,3.4,68.8,0.9949,1.5241,2.21,59.4,0.4544,1.5089,1.67,3.8720669534601386
morning_star,long,31,61.3,0.4669,0.5728,1.79,64.5,0.9084,1.226,2.17,71.0,0.931,1.4603,2.06,71.0,2.0281,3.0826,3.31,3.6803479214742727
bullish_engulfing,long,105,57.1,0.13,0.236,1.27,52.4,-0.0017,0.3159,0.84,57.1,0.0359,0.5651,1.21,60.0,0.0832,1.1377,1.78,0.21005121905632923
bull_flag,long,57,63.2,0.1978,0.3037,1.16,52.6,0.0912,0.4089,1.09,63.2,-0.037,0.4922,1.08,56.1,-0.3416,0.7129,1.09,0.0
hs_top,short,28,60.7,0.4324,0.3265,0.69,53.6,1.0608,0.7432,1.18,57.1,1.2471,0.7179,0.89,35.7,0.5515,-0.503,-0.38,3.7680477973527204
inverted_hammer,long,41,61.0,0.3787,0.4846,1.45,56.1,0.7811,1.0988,1.84,43.9,0.0246,0.5539,0.81,68.3,1.2538,2.3083,1.92,0.0691498998897323
tweezer_bottom,long,117,52.1,-0.2087,-0.1028,-0.46,52.1,-0.0185,0.2992,0.95,53.8,-0.2576,0.2716,0.72,61.5,-0.1264,0.9281,1.49,0.0
bearish_harami,short,145,53.1,0.1654,0.0595,0.5,50.3,0.3313,0.0136,0.06,49.7,0.5921,0.0628,0.18,49.0,1.1259,0.0714,0.15,3.5435245906011503
marubozu,long,73,53.4,0.0515,0.1574,0.78,54.8,-0.2011,0.1166,0.34,52.1,-0.4691,0.0602,0.13,58.9,-0.323,0.7315,1.04,0.0
evening_star,short,34,50.0,0.212,0.1061,0.42,61.8,0.3059,-0.0117,-0.02,44.1,0.6049,0.0756,0.13,47.1,0.6343,-0.4202,-0.44,1.5554699753256378
double_top,short,70,44.3,-0.0905,-0.1964,-0.83,44.3,0.4378,0.1202,0.29,51.4,0.47,-0.0592,-0.1,50.0,0.4286,-0.6259,-0.78,2.0212032921010197
hanging_man,short,103,54.4,0.3175,0.2116,1.05,44.7,0.3788,0.0611,0.22,49.5,0.4038,-0.1254,-0.32,44.7,0.5134,-0.5411,-0.89,2.028570594922198
tweezer_top,short,289,49.8,0.1017,-0.0042,-0.04,47.8,0.0995,-0.2181,-1.22,47.8,0.4044,-0.1249,-0.57,42.2,0.322,-0.7325,-2.25,3.2861543999999996
dark_cloud_cover,short,28,46.4,0.0056,-0.1003,-0.28,46.4,0.2608,-0.0569,-0.1,42.9,-0.1876,-0.7168,-1.2,35.7,0.0681,-0.9864,-0.82,0.0
shooting_star,short,84,50.0,0.0522,-0.0537,-0.25,41.7,-0.1947,-0.5123,-1.41,46.4,-0.0447,-0.574,-1.31,39.3,0.4378,-0.6167,-1.07,0.0
marubozu,short,62,45.2,-0.4084,-0.5143,-1.4,46.8,-0.5656,-0.8832,-1.64,32.3,-0.9634,-1.4926,-2.45,35.5,-0.9929,-2.0474,-2.08,0.0
bearish_engulfing,short,164,50.6,0.0578,-0.0481,-0.26,48.2,-0.1331,-0.4508,-1.56,45.7,-0.5366,-1.0658,-3.09,37.8,-0.675,-1.7295,-4.01,0.0
