event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,bullish_engulfing,long,2862,2022-10-25,-23.61525380421164
candlestick,bearish_engulfing,short,912,2015-01-28,23.026550686450307
candlestick,hammer,long,217,2012-04-23,22.20569718083447
candlestick,shooting_star,short,2798,2022-07-26,21.52252176580383
candlestick,tweezer_top,short,2217,2020-04-03,19.759363484419563
candlestick,bearish_harami,short,2217,2020-04-03,19.759363484419563
candlestick,hanging_man,short,89,2011-10-18,-18.648516666541536
candlestick,marubozu,short,2911,2023-01-05,18.046197671254063
candlestick,bearish_harami,short,910,2015-01-26,17.402958108917332
candlestick,tweezer_bottom,long,591,2013-10-17,16.932139828290136
structure,double_bottom,long,3725,2026-04-07,16.24643075895432
structure,hs_top,short,2733,2022-04-21,-16.19362803379496
structure,bear_flag,short,2733,2022-04-21,-16.19362803379496
candlestick,bullish_engulfing,long,2924,2023-01-25,16.18646152247009
structure,bull_flag,long,2218,2020-04-06,15.523206598282874
structure,hs_bottom,long,2218,2020-04-06,15.523206598282874
candlestick,morning_star,long,2277,2020-06-30,15.36200757049064
candlestick,bearish_harami,short,2763,2022-06-03,-15.267675143557021
candlestick,hanging_man,short,2800,2022-07-28,15.145571195079652
candlestick,hanging_man,short,2276,2020-06-29,14.95049167893364
candlestick,bullish_engulfing,long,3681,2026-02-02,-14.817253459495095
candlestick,tweezer_top,short,3682,2026-02-03,-14.474894808865471
candlestick,tweezer_bottom,long,1853,2018-10-22,-14.468220135905819
candlestick,tweezer_top,short,2766,2022-06-08,-14.45782851868676
candlestick,shooting_star,short,783,2014-07-24,-14.374949605063259
structure,double_bottom,long,220,2012-04-26,14.286438614645428
candlestick,evening_star,short,3113,2023-10-25,13.740841929679345
structure,bear_flag,short,3113,2023-10-25,13.740841929679345
candlestick,hammer,long,2755,2022-05-23,13.134430121315438
candlestick,tweezer_bottom,long,1603,2017-10-24,13.093555033743204
candlestick,bullish_harami,long,1603,2017-10-24,13.093555033743204
candlestick,hanging_man,short,3679,2026-01-29,-12.993831530416866
structure,hs_bottom,long,107,2011-11-11,-12.94448245961372
candlestick,bullish_harami,long,2675,2022-01-27,12.891951871666517
candlestick,inverted_hammer,long,2675,2022-01-27,12.891951871666517
candlestick,three_black_crows,short,2869,2022-11-03,12.866738489482458
structure,double_bottom,long,3726,2026-04-08,12.858755682821327
structure,double_bottom,long,3726,2026-04-08,12.858755682821327
candlestick,tweezer_top,short,3680,2026-01-30,-12.778939173034857
candlestick,bullish_engulfing,long,2762,2022-06-02,-12.637139263088187
candlestick,bearish_harami,short,782,2014-07-23,-12.606800395167452
candlestick,bearish_engulfing,short,2186,2020-02-20,-12.509868498448961
structure,double_top,short,2865,2022-10-28,-12.455279399174689
structure,double_bottom,long,1144,2015-12-29,-12.39679534001964
candlestick,shooting_star,short,1888,2018-12-12,-12.185466461007417
candlestick,marubozu,long,660,2014-01-28,-12.164389724853976
structure,double_top,short,2169,2020-01-27,12.105514100112925
structure,bear_flag,short,2855,2022-10-14,12.086059854561903
candlestick,bearish_engulfing,short,2855,2022-10-14,12.086059854561903
candlestick,tweezer_top,short,1145,2015-12-30,-11.902994072706392
candlestick,bearish_harami,short,1145,2015-12-30,-11.902994072706392
candlestick,bearish_engulfing,short,2910,2023-01-04,11.898047129478371
candlestick,hanging_man,short,2322,2020-09-02,-11.75805434824408
structure,double_top,short,1895,2018-12-21,11.737631014341456
candlestick,hammer,long,1162,2016-01-26,-11.672351860950494
candlestick,bullish_engulfing,long,2912,2023-01-06,11.582250242362672
candlestick,hammer,long,1898,2018-12-27,11.485045835663081
candlestick,hammer,long,79,2011-10-04,11.43999885110294
candlestick,bearish_harami,short,2696,2022-02-28,-11.427562163991016
