feature,spearman_ic,p,n
dist_lo_20,-0.0743,1e-05,3757
dist_ema20,-0.0611,0.00017,3776
roc_10,-0.0602,0.00022,3766
mfi,-0.0597,0.00025,3760
rsi,-0.0586,0.00031,3774
dist_ema50,-0.0553,0.00068,3776
ema9_slope,-0.0538,0.00094,3775
dist_ema9,-0.0538,0.00094,3776
stoch_k,-0.0532,0.00109,3763
williams_r,-0.0532,0.00109,3763
macd_hist,-0.0499,0.00217,3776
bb_width,-0.0477,0.00345,3757
dist_ema200,-0.0452,0.00543,3776
bb_pct,-0.0427,0.00885,3757
consec_dir,-0.0324,0.0468,3776
above_ema200,-0.0303,0.06254,3776
cc_ret,-0.0272,0.09523,3775
candle_ret,-0.0272,0.09466,3776
body_dir,-0.0267,0.10077,3776
vol_climax,-0.0238,0.14292,3776
ema_stack_bull,-0.0203,0.21125,3776
dist_hi_20,-0.0197,0.22759,3757
rsi_slope,-0.0194,0.23437,3772
rsi_overbought,-0.0159,0.33006,3776
gap_pct,-0.0105,0.51787,3775
bb_break_up,-0.0093,0.56574,3776
body_pct,-0.0072,0.66014,3776
vol_z,-0.0068,0.67606,3757
range_pct,-0.0034,0.8366,3776
vol_ratio,-0.003,0.85405,3776
lower_wick,-0.0009,0.95693,3776
upper_wick,0.0056,0.73124,3776
macd_bull_cross,0.0086,0.59779,3776
atr_pct,0.0091,0.57463,3776
bb_break_dn,0.0182,0.26472,3776
macd_bear_cross,0.0277,0.08917,3776
bb_squeeze,0.0321,0.04885,3776
ema_stack_bear,0.0403,0.01327,3776
rsi_oversold,0.0523,0.0013,3776
