setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
bullish_harami,long,3306,49.4,0.0024,0.0031,0.64,51.1,0.0113,0.0133,1.72,51.0,0.017,0.0209,2.12,52.1,0.0247,0.0326,2.43,0.498506151817608
hammer,long,2644,49.1,-0.0037,-0.0031,-0.66,51.3,0.0065,0.0084,1.06,53.2,0.0179,0.0218,1.98,53.4,-0.0041,0.0038,0.1,0.48966085738698784
morning_star,long,923,53.0,0.0071,0.0077,1.32,51.8,-0.0004,0.0015,0.12,51.9,0.0238,0.0277,1.32,52.9,0.0058,0.0137,0.49,0.3752711390279301
marubozu,short,9436,48.8,-0.0015,-0.0022,-0.94,48.7,0.0075,0.0055,0.51,48.1,0.0215,0.0175,0.96,47.3,0.018,0.0101,0.53,1.0045637498690663
inverted_hammer,long,2358,49.5,0.0001,0.0008,0.17,52.5,0.0096,0.0116,1.29,52.4,0.0034,0.0074,0.62,53.0,0.0105,0.0184,1.11,0.0865131458477843
dark_cloud_cover,short,763,45.9,-0.0034,-0.004,-0.65,45.3,0.112,0.11,0.88,45.2,0.0788,0.0749,0.59,44.3,0.0628,0.0549,0.43,0.983845540167195
hanging_man,short,2802,49.5,-0.0007,-0.0014,-0.34,48.8,0.0037,0.0017,0.26,48.1,0.0066,0.0027,0.25,48.2,-0.0044,-0.0123,-0.84,0.16804402583347022
evening_star,short,918,49.1,0.0092,0.0085,1.3,49.9,0.0042,0.0022,0.14,48.4,0.0054,0.0014,0.07,49.9,0.0052,-0.0027,-0.1,0.07918819832070938
tweezer_bottom,long,22291,49.8,-0.0023,-0.0016,-0.36,50.7,-0.0021,-0.0002,-0.02,51.5,-0.0037,0.0002,0.03,52.1,-0.0022,0.0057,0.52,0.0
shooting_star,short,2617,48.6,0.0011,0.0004,0.1,48.0,-0.002,-0.004,-0.54,49.2,0.0029,-0.0011,-0.1,49.6,0.0055,-0.0024,-0.16,0.07299026862589288
double_bottom,long,5195,50.0,-0.0098,-0.0091,-0.49,49.9,-0.0095,-0.0075,-0.39,50.9,-0.0097,-0.0057,-0.28,50.2,-0.0163,-0.0084,-0.39,0.0
three_white_soldiers,long,343,45.5,-0.0099,-0.0093,-0.89,44.9,-0.0105,-0.0085,-0.23,48.4,-0.0148,-0.0108,-0.28,43.4,-0.0784,-0.0705,-1.36,0.0
piercing,long,716,45.7,-0.0109,-0.0103,-1.44,46.5,-0.0194,-0.0174,-1.35,47.6,-0.0098,-0.0059,-0.3,48.7,-0.0215,-0.0136,-0.52,0.0
marubozu,long,10258,49.0,-0.0123,-0.0117,-1.24,50.0,-0.0082,-0.0062,-0.63,50.2,-0.0108,-0.0068,-0.64,50.5,-0.0192,-0.0113,-0.74,0.0
tweezer_top,short,23516,48.6,-0.0005,-0.0012,-0.84,48.8,-0.0002,-0.0022,-0.86,48.5,0.0002,-0.0038,-0.68,48.6,-0.0064,-0.0143,-2.17,0.014874879629765076
three_black_crows,short,298,50.0,0.0141,0.0134,0.81,49.7,0.0076,0.0057,0.25,44.3,-0.0169,-0.0209,-0.69,47.3,-0.0754,-0.0833,-1.9,0.0
bullish_engulfing,long,4647,49.2,-0.0046,-0.004,-1.25,49.3,-0.0067,-0.0048,-0.79,49.9,-0.0127,-0.0087,-0.98,50.9,0.0041,0.012,0.98,0.0
bearish_harami,short,3513,48.6,-0.0022,-0.0029,-0.73,48.8,-0.0063,-0.0082,-1.32,48.4,-0.0069,-0.0108,-1.16,48.8,-0.0055,-0.0134,-1.01,0.0
bearish_engulfing,short,4714,47.8,-0.0048,-0.0055,-1.8,47.7,0.0003,-0.0017,-0.29,47.8,-0.0089,-0.0129,-1.51,47.7,-0.0191,-0.027,-2.33,0.0
double_top,short,4851,49.4,-0.0,-0.0007,-0.16,48.3,-0.0047,-0.0067,-0.9,48.0,-0.0119,-0.0159,-1.66,48.7,-0.0128,-0.0207,-1.65,0.0
