feature,spearman_ic,p,n
dist_lo_20,-0.0183,0.0,101902
mfi,-0.0183,0.0,101879
williams_r,-0.0169,0.0,101908
stoch_k,-0.0169,0.0,101908
dist_ema20,-0.016,0.0,101921
or_position,-0.0157,0.0,101921
rsi,-0.0157,0.0,101920
bb_pct,-0.0156,0.0,101902
vwap_dist,-0.015,0.0,101921
dist_ema9,-0.0142,1e-05,101921
ema9_slope,-0.0142,1e-05,101920
above_vwap,-0.0132,3e-05,101921
consec_dir,-0.0121,0.00012,101921
dist_ema50,-0.0115,0.00023,101921
cc_ret,-0.0114,0.00027,101920
bb_width,-0.0109,0.00052,101902
roc_10,-0.0106,0.00071,101911
candle_ret,-0.0103,0.001,101921
macd_hist,-0.0093,0.00306,101921
body_dir,-0.0091,0.00357,101921
ema_stack_bull,-0.0087,0.00574,101921
rsi_slope,-0.0082,0.00889,101918
dist_hi_20,-0.008,0.01074,101902
dist_ema200,-0.0075,0.01676,101921
atr_pct,-0.0054,0.08196,101921
macd_bull_cross,-0.0045,0.15436,101921
rsi_overbought,-0.0018,0.55562,101921
above_ema200,-0.0016,0.62028,101921
rsi_oversold,-0.0007,0.82241,101921
body_pct,0.0001,0.97355,101921
bb_break_up,0.0002,0.94189,101921
gap_pct,0.0004,0.90887,101920
upper_wick,0.0021,0.51731,96955
lower_wick,0.0023,0.47078,96955
macd_bear_cross,0.0025,0.42585,101921
range_pct,0.0026,0.41496,96955
ema_stack_bear,0.0042,0.18141,101921
bb_squeeze,0.0052,0.0988,101921
vol_climax,0.0067,0.03354,101921
vol_z,0.0093,0.0029,101902
bb_break_dn,0.0098,0.00183,101921
tod_min,0.01,0.00145,101921
vol_ratio,0.0106,0.0007,101921
