setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
tweezer_bottom,long,144,63.2,0.2205,0.3233,2.77,59.0,0.3377,0.645,2.79,56.9,0.1779,0.6917,2.14,58.3,0.3685,1.4003,3.12,1.2147012
bullish_harami,long,118,60.2,-0.0154,0.0875,0.54,59.3,-0.0744,0.2329,0.81,60.2,0.1841,0.6979,2.1,56.8,-0.0568,0.975,1.74,1.2039024088348358
bullish_engulfing,long,144,49.3,-0.1023,0.0005,0.0,52.8,-0.1697,0.1376,0.6,59.0,0.1154,0.6292,2.05,57.6,-0.2275,0.8043,1.97,0.817032
hammer,long,70,52.9,-0.1113,-0.0085,-0.03,55.7,0.2307,0.5379,1.43,60.0,0.4146,0.9284,1.93,57.1,0.3731,1.4049,2.25,2.0812754820061663
inverted_hammer,long,60,61.7,0.3684,0.4713,1.5,65.0,-0.2929,0.0144,0.04,68.3,0.1624,0.6762,1.42,68.3,0.6622,1.694,2.3,0.8591764287492993
hs_bottom,long,32,62.5,0.4008,0.5036,2.25,68.8,0.5278,0.8351,1.81,62.5,0.1368,0.6506,1.24,65.6,0.3665,1.3983,1.93,0.48366103833159857
double_bottom,long,131,57.3,0.2246,0.3274,2.09,56.5,0.0608,0.3681,1.57,57.3,-0.1476,0.3662,1.03,59.5,0.0619,1.0937,2.46,0.0
morning_star,long,44,38.6,-0.3661,-0.2633,-1.03,54.5,-0.1418,0.1654,0.48,45.5,-0.2032,0.3106,0.77,56.8,-0.3771,0.6547,1.13,0.0
bull_flag,long,52,46.2,0.0193,0.1222,0.59,51.9,-0.2481,0.0592,0.2,51.9,-0.2722,0.2417,0.53,53.8,-0.264,0.7678,1.04,0.0
marubozu,long,71,56.3,-0.0263,0.0765,0.47,60.6,-0.0404,0.2669,0.78,56.3,-0.522,-0.0082,-0.02,59.2,-0.1388,0.8931,1.54,0.0
dark_cloud_cover,short,29,41.4,-0.3139,-0.4167,-1.16,44.8,-0.5262,-0.8334,-1.26,48.3,0.4591,-0.0547,-0.06,62.1,2.1352,1.1034,1.16,1.1941349857074828
hs_top,short,29,48.3,-0.2794,-0.3822,-0.83,55.2,0.371,0.0638,0.13,51.7,0.2684,-0.2454,-0.37,31.0,-0.9154,-1.9472,-1.84,0.7472605470994438
evening_star,short,41,51.2,-0.4028,-0.5056,-1.24,53.7,0.085,-0.2223,-0.4,56.1,0.2128,-0.3011,-0.42,41.5,0.1866,-0.8452,-0.93,0.7644100939641235
hanging_man,short,110,50.9,-0.0039,-0.1067,-0.8,43.6,0.2661,-0.0412,-0.16,45.5,0.3831,-0.1307,-0.42,40.0,1.0402,0.0083,0.02,1.828183947289632
shooting_star,short,80,41.2,-0.0831,-0.1859,-1.27,52.5,0.22,-0.0873,-0.27,45.0,0.0531,-0.4607,-1.16,42.5,0.2745,-0.7574,-1.38,0.21372337728942994
bearish_harami,short,147,37.4,-0.1651,-0.2679,-1.72,45.6,-0.0821,-0.3893,-1.48,45.6,-0.0318,-0.5456,-1.66,38.1,0.0251,-1.0068,-2.57,0.0
bearish_engulfing,short,149,51.7,-0.0055,-0.1083,-0.74,45.6,0.0604,-0.2469,-1.21,45.0,-0.0855,-0.5993,-2.05,36.2,-0.2761,-1.3079,-3.22,0.0
tweezer_top,short,348,49.4,-0.0193,-0.1221,-1.52,47.4,0.1453,-0.162,-1.22,42.8,0.1461,-0.3677,-2.13,39.1,0.1407,-0.8912,-3.87,1.1664969481857723
marubozu,short,45,42.2,-0.1751,-0.2779,-0.71,37.8,-0.8529,-1.1602,-2.59,37.8,-0.7957,-1.3095,-2.38,33.3,-1.4828,-2.5146,-2.56,0.0
double_top,short,101,46.5,-0.2397,-0.3425,-1.87,37.6,-0.2565,-0.5638,-1.76,38.6,-0.5462,-1.0601,-2.47,38.6,-0.9595,-1.9913,-3.35,0.0
