event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,marubozu,short,1024,2015-07-09,28.453130982898966
structure,double_bottom,long,1026,2015-07-13,21.622100036436887
candlestick,bullish_harami,long,2195,2020-03-04,-19.54618136002458
candlestick,three_white_soldiers,long,589,2013-10-15,16.938584306912034
candlestick,bearish_engulfing,short,22,2011-07-14,16.880925234469704
candlestick,evening_star,short,22,2011-07-14,16.880925234469704
structure,double_bottom,long,2862,2022-10-25,-16.759189867568523
structure,double_top,short,2361,2020-10-28,16.66004624297773
candlestick,marubozu,short,2869,2022-11-03,15.557956741525203
candlestick,bearish_harami,short,1028,2015-07-15,15.543872317517435
candlestick,tweezer_bottom,long,588,2013-10-14,14.939898270911723
candlestick,three_white_soldiers,long,588,2013-10-14,14.939898270911723
candlestick,tweezer_top,short,1670,2018-01-31,-14.761208895896472
candlestick,bearish_harami,short,591,2013-10-17,14.222700731742247
candlestick,tweezer_top,short,591,2013-10-17,14.222700731742247
structure,double_bottom,long,590,2013-10-16,14.199969259341083
candlestick,bearish_harami,short,3740,2026-04-28,13.797246822016247
candlestick,tweezer_top,short,2185,2020-02-19,-13.766422358463416
candlestick,shooting_star,short,21,2011-07-13,12.768927734192884
candlestick,tweezer_bottom,long,42,2011-08-11,-12.667888352859816
candlestick,evening_star,short,2873,2022-11-09,12.643152718863012
candlestick,tweezer_bottom,long,3394,2024-12-06,12.563674720813777
candlestick,piercing,long,3394,2024-12-06,12.563674720813777
candlestick,three_white_soldiers,long,3575,2025-08-29,12.549904072665404
structure,double_top,short,2798,2022-07-26,12.435731865785128
structure,double_top,short,2798,2022-07-26,12.435731865785128
candlestick,hanging_man,short,3572,2025-08-26,12.146376236480146
candlestick,bearish_harami,short,3572,2025-08-26,12.146376236480146
structure,bear_flag,short,2863,2022-10-26,-12.114189363773757
candlestick,hanging_man,short,2861,2022-10-24,-11.753800055531158
candlestick,tweezer_top,short,2186,2020-02-20,-11.716624021575285
structure,bull_flag,long,3738,2026-04-24,11.280489777009896
candlestick,bullish_engulfing,long,3738,2026-04-24,11.280489777009896
candlestick,inverted_hammer,long,116,2011-11-25,11.127885161256172
candlestick,marubozu,long,2995,2023-05-08,10.893575075488673
candlestick,bullish_engulfing,long,10,2011-06-27,10.886495133270783
candlestick,tweezer_bottom,long,80,2011-10-05,10.75689022611665
structure,bull_flag,long,3571,2025-08-25,10.633602371732021
candlestick,bullish_harami,long,2992,2023-05-03,10.58722668152834
candlestick,hammer,long,3046,2023-07-21,10.581573848402872
candlestick,bullish_harami,long,3046,2023-07-21,10.581573848402872
candlestick,hanging_man,short,1667,2018-01-26,-10.540097880028416
candlestick,tweezer_bottom,long,2994,2023-05-05,10.362794802530065
candlestick,bullish_engulfing,long,1050,2015-08-14,-10.336968539273615
candlestick,bullish_engulfing,long,151,2012-01-18,-10.240002928715404
candlestick,bullish_engulfing,long,3233,2024-04-18,10.217295687878384
candlestick,shooting_star,short,2466,2021-03-31,10.09202458753396
candlestick,bullish_engulfing,long,3392,2024-12-04,10.087751384553348
candlestick,tweezer_bottom,long,3392,2024-12-04,10.087751384553348
candlestick,dark_cloud_cover,short,3393,2024-12-05,9.951348468088812
structure,double_bottom,long,2997,2023-05-10,9.914990452845359
structure,double_bottom,long,2958,2023-03-15,9.874100305382171
