feature,spearman_ic,p,n
williams_r,-0.0793,0.0,3763
stoch_k,-0.0793,0.0,3763
ema9_slope,-0.073,1e-05,3775
dist_ema9,-0.0729,1e-05,3776
rsi,-0.0719,1e-05,3774
bb_pct,-0.0717,1e-05,3757
dist_ema20,-0.0712,1e-05,3776
dist_ema200,-0.0659,5e-05,3776
dist_ema50,-0.0651,6e-05,3776
roc_10,-0.0639,9e-05,3766
dist_hi_20,-0.0638,9e-05,3757
rsi_overbought,-0.0612,0.00017,3776
mfi,-0.0557,0.00063,3763
macd_hist,-0.0539,0.00092,3776
dist_lo_20,-0.0509,0.0018,3757
rsi_slope,-0.0498,0.00222,3772
consec_dir,-0.0455,0.00518,3776
candle_ret,-0.0366,0.02453,3776
cc_ret,-0.0363,0.02579,3775
body_dir,-0.0313,0.05435,3776
above_ema200,-0.0292,0.07238,3776
ema_stack_bull,-0.0289,0.07531,3776
vol_climax,-0.0239,0.14228,3776
bb_break_up,-0.0205,0.20876,3776
bb_width,-0.0112,0.49396,3757
lower_wick,-0.011,0.49864,3776
gap_pct,-0.0023,0.88688,3775
vol_z,0.002,0.9031,3757
body_pct,0.0098,0.54915,3776
macd_bear_cross,0.0125,0.44248,3776
vol_ratio,0.0127,0.4361,3776
upper_wick,0.0223,0.16977,3776
macd_bull_cross,0.0281,0.08434,3776
atr_pct,0.0333,0.04058,3776
range_pct,0.0343,0.03532,3776
ema_stack_bear,0.0381,0.01915,3776
bb_break_dn,0.0422,0.00942,3776
bb_squeeze,0.0449,0.00577,3776
rsi_oversold,0.0977,0.0,3776
