setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
hammer,long,2757,49.4,0.0033,0.0044,0.99,50.1,0.01,0.0132,1.94,50.8,0.0103,0.0167,1.87,53.0,0.0094,0.0222,1.81,0.2747383717435917
double_bottom,long,5565,50.4,0.0071,0.0082,3.08,48.9,0.0008,0.004,0.8,50.5,0.0058,0.0122,1.81,52.9,0.013,0.0258,2.79,0.21850025895865657
piercing,long,961,48.3,0.0011,0.0022,0.45,51.3,0.0109,0.0141,1.63,51.4,0.0157,0.0221,1.79,53.3,0.0312,0.044,2.28,0.2501638
tweezer_bottom,long,23510,49.4,-0.0023,-0.0012,-1.06,50.1,-0.0024,0.0008,0.38,50.7,-0.0036,0.0028,0.94,51.7,-0.0035,0.0093,2.22,0.0
marubozu,long,12733,48.5,-0.004,-0.0029,-2.3,49.2,-0.006,-0.0028,-1.32,50.0,-0.0039,0.0025,0.78,51.8,-0.0038,0.0091,2.01,0.0
three_white_soldiers,long,405,46.7,-0.0102,-0.0091,-0.85,48.4,-0.0152,-0.012,-0.7,50.6,0.0053,0.0117,0.57,49.9,-0.0078,0.0051,0.18,0.05397018391853042
bullish_harami,long,3658,50.9,0.0008,0.0018,0.67,51.0,0.0059,0.0091,1.72,51.4,-0.0027,0.0037,0.51,53.1,0.0003,0.0131,1.3,0.0
bullish_engulfing,long,4721,48.4,-0.0011,0.0,0.0,50.0,-0.0042,-0.001,-0.2,50.4,-0.0036,0.0028,0.4,51.7,0.0011,0.0139,1.4,0.0
inverted_hammer,long,2624,51.4,-0.0034,-0.0024,-0.69,50.8,-0.0033,-0.0001,-0.01,50.9,-0.0081,-0.0017,-0.21,52.5,-0.0263,-0.0135,-1.11,0.0
dark_cloud_cover,short,968,50.0,0.0095,0.0084,1.37,49.1,0.0038,0.0006,0.07,46.8,0.0031,-0.0033,-0.23,47.0,0.0066,-0.0063,-0.31,0.0451383027983995
double_top,short,5115,48.1,0.0018,0.0008,0.24,47.2,-0.0041,-0.0072,-1.35,49.2,0.0037,-0.0027,-0.36,47.2,0.0015,-0.0113,-1.14,0.1301936029857074
evening_star,short,993,48.7,0.0006,-0.0005,-0.09,48.8,0.0004,-0.0028,-0.29,46.0,-0.001,-0.0074,-0.58,45.5,-0.0101,-0.0229,-1.26,0.0
three_black_crows,short,365,50.7,0.0109,0.0098,1.23,51.5,0.006,0.0028,0.2,47.1,-0.0076,-0.014,-0.7,45.8,0.0007,-0.0121,-0.42,0.0
morning_star,long,910,45.7,-0.0121,-0.0111,-1.83,48.9,-0.0196,-0.0164,-1.54,49.7,-0.0262,-0.0198,-1.39,50.8,-0.0264,-0.0135,-0.7,0.0
bearish_harami,short,3950,48.1,-0.0015,-0.0025,-0.85,48.0,-0.0086,-0.0118,-2.31,47.9,-0.0048,-0.0112,-1.46,47.4,-0.0015,-0.0143,-1.38,0.0
hanging_man,short,3102,49.6,0.0013,0.0002,0.08,49.0,-0.0054,-0.0086,-1.62,48.6,-0.0058,-0.0122,-1.65,47.9,0.0022,-0.0106,-0.98,0.0
bearish_engulfing,short,4600,47.3,-0.0041,-0.0052,-2.0,47.5,-0.0028,-0.006,-1.26,47.0,-0.0048,-0.0112,-1.67,47.5,-0.0004,-0.0133,-1.4,0.0
marubozu,short,11778,46.6,-0.0036,-0.0047,-3.63,46.7,-0.005,-0.0082,-3.5,47.0,-0.0005,-0.0069,-2.03,46.7,0.0032,-0.0096,-1.88,0.0
shooting_star,short,2979,47.6,-0.0041,-0.0052,-1.43,47.1,-0.0111,-0.0143,-2.67,46.8,-0.0186,-0.025,-3.12,46.3,-0.0232,-0.036,-3.16,0.0
tweezer_top,short,25611,47.7,-0.0019,-0.003,-2.92,47.5,-0.0051,-0.0083,-4.49,47.2,-0.0078,-0.0141,-5.39,46.6,-0.0088,-0.0216,-5.7,0.0
