event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_drop,drop,65457,2024-05-20 15:45:00,-1.1715686274509738,6.05891355974512,9,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-0.15872228560092336
move,significant_drop,drop,102227,2026-04-21 19:40:00,-0.5324521153490387,3.1501240856311052,9,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.5x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,0.23968936352116313
move,significant_rise,rise,58690,2024-01-12 14:30:00,1.176402910806217,3.443411696588494,8,MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 4 up-bars in a row,-2.223106663634294
move,significant_drop,drop,33433,2022-09-21 18:00:00,-1.0644306382239166,4.484243638366891,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.9046197084138426
move,significant_rise,rise,14062,2021-09-22 18:00:00,0.6344933666602635,4.973114681829752,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.8x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,-0.10189784740797132
move,significant_drop,drop,43502,2023-03-29 19:00:00,-0.6844812251053721,3.995129264851335,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.6580484385951242
move,significant_drop,drop,103245,2026-05-11 13:30:00,-0.6487889491821218,3.060573023487198,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.7629699192312182
move,significant_rise,rise,77851,2025-01-14 20:55:00,0.5444719840721527,2.9550921095922056,8,MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 4 up-bars in a row,1.0628409779753583
move,significant_rise,rise,26987,2022-05-24 13:40:00,1.1046650242390532,3.1607953476872925,8,MACD bullish cross; MACD histogram positive; elevated volume (1.6x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 4 up-bars in a row,-1.902216632604938
move,significant_drop,drop,102387,2026-04-24 13:30:00,-0.7343736805180741,3.4348411356100415,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.6x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.41928139111904017
