feature,spearman_ic,p,n
or_position,-0.0143,0.0,105396
atr_pct,-0.0139,1e-05,105396
candle_ret,-0.0106,0.00058,105396
bb_width,-0.0104,0.00071,105377
cc_ret,-0.0095,0.00208,105395
rsi_slope,-0.009,0.00335,105393
dist_ema200,-0.0077,0.01278,105396
body_dir,-0.0068,0.02744,105396
dist_ema50,-0.0065,0.03414,105396
ema_stack_bull,-0.0064,0.03925,105396
consec_dir,-0.0062,0.04446,105396
ema_stack_bear,-0.0044,0.14932,105396
dist_ema9,-0.0041,0.18787,105396
dist_lo_20,-0.0041,0.1826,105377
ema9_slope,-0.0041,0.18773,105395
above_ema200,-0.0038,0.22337,105396
rsi_overbought,-0.0036,0.24155,105396
rsi,-0.0032,0.29598,105395
dist_ema20,-0.0025,0.41858,105396
lower_wick,-0.0019,0.53115,103339
bb_break_up,-0.0017,0.57858,105396
rsi_oversold,-0.0011,0.71824,105396
williams_r,-0.001,0.75374,105383
stoch_k,-0.001,0.75374,105383
gap_pct,-0.0005,0.88269,105395
macd_bull_cross,-0.0002,0.95389,105396
vwap_dist,-0.0001,0.98326,105396
bb_break_dn,0.0014,0.65621,105396
body_pct,0.0016,0.59825,105396
bb_pct,0.0017,0.57119,105377
roc_10,0.0031,0.30958,105386
mfi,0.0037,0.22487,105344
above_vwap,0.0039,0.20068,105396
range_pct,0.004,0.19603,103339
dist_hi_20,0.0043,0.15951,105377
upper_wick,0.005,0.10635,103339
macd_bear_cross,0.0052,0.08867,105396
bb_squeeze,0.008,0.00918,105396
macd_hist,0.0081,0.00841,105396
vol_z,0.0126,4e-05,105377
vol_climax,0.0129,3e-05,105396
vol_ratio,0.0148,0.0,105396
tod_min,0.0167,0.0,105396
