setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
double_bottom,long,125,60.0,0.1133,0.1834,1.57,63.2,0.3556,0.5631,2.79,60.0,0.3719,0.7158,2.63,64.0,0.7129,1.3977,3.71,2.4947810424965153
tweezer_bottom,long,143,44.8,-0.2286,-0.1585,-1.07,56.6,0.2648,0.4723,2.27,58.0,0.4007,0.7446,2.6,58.7,0.5028,1.1876,2.91,2.779171546261223
inverted_hammer,long,71,49.3,-0.2814,-0.2113,-1.19,53.5,0.3208,0.5283,1.36,62.0,0.899,1.2428,2.58,63.4,1.3843,2.0691,3.57,4.696567360573039
hs_bottom,long,26,53.8,0.3313,0.4014,1.42,50.0,0.1594,0.3669,0.76,65.4,1.0332,1.3771,2.55,69.2,1.5463,2.2311,3.39,3.445472752784418
piercing,long,30,56.7,0.2007,0.2708,0.87,60.0,0.4361,0.6436,1.07,66.7,1.351,1.6949,2.03,73.3,2.1027,2.7875,2.91,4.935621078513828
hs_top,short,26,57.7,0.2343,0.1642,0.49,61.5,0.8752,0.6677,1.16,57.7,1.4756,1.1317,1.47,50.0,0.301,-0.3838,-0.49,4.341413313086585
bullish_engulfing,long,132,44.7,-0.2349,-0.1648,-1.21,54.5,-0.1195,0.088,0.45,53.0,-0.1907,0.1532,0.49,56.8,0.0886,0.7734,2.06,0.0
bullish_harami,long,108,51.9,0.0325,0.1027,0.51,53.7,-0.0559,0.1516,0.4,57.4,-0.1637,0.1801,0.41,64.8,0.4528,1.1376,1.86,0.0
morning_star,long,40,47.5,-0.1181,-0.048,-0.17,55.0,-0.1119,0.0956,0.24,55.0,-0.1971,0.1468,0.31,52.5,-0.5148,0.17,0.29,0.0
bearish_harami,short,159,51.6,0.0906,0.0205,0.18,47.2,0.4978,0.2903,1.3,42.1,0.4092,0.0653,0.25,44.0,0.7092,0.0244,0.06,2.17228239754415
bull_flag,long,40,40.0,-0.3863,-0.3161,-1.67,62.5,-0.2123,-0.0048,-0.01,50.0,-0.3718,-0.0279,-0.07,42.5,-0.9344,-0.2496,-0.52,0.0
hammer,long,75,54.7,-0.1928,-0.1227,-0.5,58.7,-0.2014,0.0061,0.01,53.3,-0.5659,-0.222,-0.44,54.7,-0.4704,0.2144,0.32,0.0
shooting_star,short,98,46.9,-0.0207,-0.0908,-0.68,45.9,-0.0341,-0.2416,-0.98,50.0,0.1547,-0.1891,-0.56,44.9,0.3786,-0.3062,-0.67,0.7657259333469123
double_top,short,110,51.8,0.4681,0.398,2.43,48.2,0.4375,0.23,0.8,37.3,0.1333,-0.2105,-0.62,36.4,0.1165,-0.5683,-1.04,0.5214771985898329
marubozu,short,54,48.1,-0.0189,-0.0891,-0.27,44.4,0.0537,-0.1538,-0.34,44.4,-0.0704,-0.4142,-0.77,51.9,0.2994,-0.3854,-0.54,0.0
marubozu,long,69,42.0,-0.3993,-0.3292,-2.23,43.5,-0.3597,-0.1521,-0.59,52.2,-0.639,-0.2951,-0.83,55.1,0.2277,0.9125,1.87,0.0
dark_cloud_cover,short,26,50.0,0.0659,-0.0042,-0.01,57.7,0.0571,-0.1504,-0.22,38.5,-0.4419,-0.7858,-0.95,38.5,-0.4717,-1.1565,-1.04,0.0
hanging_man,short,110,50.0,-0.0152,-0.0854,-0.68,38.2,-0.0689,-0.2764,-1.21,40.9,0.0742,-0.2697,-0.96,43.6,0.4614,-0.2234,-0.51,0.3182904116249813
tweezer_top,short,320,44.4,-0.0421,-0.1123,-1.37,41.2,0.0643,-0.1432,-1.09,42.5,0.1191,-0.2247,-1.41,47.5,0.5305,-0.1543,-0.62,0.9054733668087649
bearish_engulfing,short,142,50.7,-0.0116,-0.0818,-0.62,40.8,-0.0661,-0.2736,-1.25,44.4,-0.1678,-0.5117,-1.78,41.5,-0.3426,-1.0274,-2.57,0.0
