event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,bullish_harami,long,2195,2020-03-04,-26.533162976409862
candlestick,hammer,long,2195,2020-03-04,-26.533162976409862
candlestick,hammer,long,2192,2020-02-28,-19.52458707241124
candlestick,tweezer_bottom,long,116,2011-11-25,17.66151285163225
candlestick,inverted_hammer,long,116,2011-11-25,17.66151285163225
candlestick,hammer,long,2199,2020-03-10,-16.693146045708183
candlestick,bearish_harami,short,2186,2020-02-20,-15.550224764428789
candlestick,bearish_harami,short,90,2011-10-19,14.790699093840843
candlestick,shooting_star,short,90,2011-10-19,14.790699093840843
structure,double_top,short,226,2012-05-04,-14.275446908916543
structure,bear_flag,short,2852,2022-10-11,14.27030520047701
candlestick,tweezer_top,short,2368,2020-11-06,13.927742904814929
candlestick,tweezer_top,short,2666,2022-01-13,-13.838197331349017
structure,double_bottom,long,1361,2016-11-07,13.56611867421032
candlestick,bearish_engulfing,short,2754,2022-05-20,12.689619783838582
candlestick,tweezer_bottom,long,3449,2025-02-28,-12.253917787153235
candlestick,bullish_engulfing,long,2216,2020-04-02,12.204319557151628
candlestick,bearish_engulfing,short,1359,2016-11-03,12.152684296244113
candlestick,piercing,long,2853,2022-10-12,12.0837723861721
candlestick,tweezer_bottom,long,1051,2015-08-17,-11.987659591590338
candlestick,marubozu,long,2854,2022-10-13,11.758252068575956
candlestick,piercing,long,3470,2025-03-31,-11.58989302114751
candlestick,dark_cloud_cover,short,2406,2021-01-04,11.400650004761173
candlestick,marubozu,long,1050,2015-08-14,-11.253497508225564
candlestick,inverted_hammer,long,2365,2020-11-03,10.995063064052088
candlestick,marubozu,short,49,2011-08-22,10.924877409604749
structure,bear_flag,short,49,2011-08-22,10.924877409604749
candlestick,shooting_star,short,1146,2015-12-31,-10.904130064136368
candlestick,tweezer_top,short,2763,2022-06-03,-10.886605254809814
candlestick,bearish_harami,short,2763,2022-06-03,-10.886605254809814
candlestick,bullish_harami,long,65,2011-09-14,-10.762191650627686
candlestick,bearish_engulfing,short,57,2011-09-01,-10.688708401277157
candlestick,bullish_harami,long,3452,2025-03-05,-10.471910494064948
candlestick,bullish_engulfing,long,2836,2022-09-19,-10.418081251241325
structure,double_top,short,1174,2016-02-11,10.363670683300194
structure,bear_flag,short,1174,2016-02-11,10.363670683300194
candlestick,shooting_star,short,2855,2022-10-14,10.063849776339834
candlestick,bullish_harami,long,1148,2016-01-05,-10.026674149610717
candlestick,tweezer_bottom,long,1148,2016-01-05,-10.026674149610717
candlestick,bullish_harami,long,2190,2020-02-26,-10.004736441889907
structure,double_bottom,long,1882,2018-12-03,-9.996437485967629
candlestick,shooting_star,short,2228,2020-04-21,9.893315279813281
candlestick,bullish_engulfing,long,1881,2018-11-30,-9.731090437313398
candlestick,bullish_engulfing,long,79,2011-10-04,9.715798122339459
candlestick,tweezer_top,short,3416,2025-01-10,9.655231639453135
candlestick,bearish_harami,short,55,2011-08-30,-9.579068861870805
candlestick,tweezer_top,short,55,2011-08-30,-9.579068861870805
candlestick,inverted_hammer,long,2706,2022-03-14,9.564413554099893
candlestick,bullish_harami,long,2706,2022-03-14,9.564413554099893
structure,hs_top,short,110,2011-11-16,-9.5011116503245
structure,double_top,short,3371,2024-11-04,8.999908494475857
candlestick,hanging_man,short,1968,2019-04-09,8.992085494613118
candlestick,hanging_man,short,2978,2023-04-13,8.95417264989639
structure,hs_top,short,3451,2025-03-04,-8.931071370036214
structure,bear_flag,short,3451,2025-03-04,-8.931071370036214
candlestick,bearish_engulfing,short,2424,2021-01-29,8.914277907770598
candlestick,bullish_harami,long,3372,2024-11-05,8.8807610642063
candlestick,tweezer_bottom,long,836,2014-10-08,-8.807946292095405
candlestick,inverted_hammer,long,1214,2016-04-11,8.797248908534506
candlestick,bearish_harami,short,2835,2022-09-16,-8.78886296088013
candlestick,hanging_man,short,2835,2022-09-16,-8.78886296088013
candlestick,piercing,long,3475,2025-04-07,8.715725717506052
