feature,spearman_ic,p,n
mfi,-0.0773,0.0,3756
rsi,-0.0624,0.00013,3775
dist_hi_20,-0.0549,0.00077,3757
dist_ema20,-0.0542,0.00086,3776
dist_ema50,-0.054,0.00089,3776
ema_stack_bull,-0.0497,0.00227,3776
bb_pct,-0.0486,0.00288,3757
dist_ema200,-0.0485,0.00289,3776
dist_lo_20,-0.0455,0.00531,3757
stoch_k,-0.0407,0.01245,3763
williams_r,-0.0407,0.01245,3763
roc_10,-0.0349,0.03205,3766
ema9_slope,-0.0287,0.07825,3775
dist_ema9,-0.0285,0.0796,3776
above_ema200,-0.0233,0.15169,3776
lower_wick,-0.0211,0.19426,3776
vol_climax,-0.0206,0.20628,3776
candle_ret,-0.019,0.24309,3776
cc_ret,-0.0165,0.30944,3775
macd_hist,-0.0161,0.32363,3776
consec_dir,-0.0148,0.36332,3776
rsi_overbought,-0.0062,0.70451,3776
macd_bear_cross,-0.0053,0.74504,3776
body_dir,-0.004,0.80664,3776
gap_pct,-0.003,0.85288,3775
bb_squeeze,0.0021,0.89908,3776
rsi_oversold,0.006,0.71105,3776
bb_break_up,0.006,0.7124,3776
bb_width,0.0063,0.70165,3757
body_pct,0.0077,0.63521,3776
bb_break_dn,0.0111,0.49701,3776
rsi_slope,0.0113,0.48717,3773
vol_ratio,0.0121,0.45839,3776
range_pct,0.0163,0.31615,3776
vol_z,0.0173,0.28786,3757
upper_wick,0.0269,0.09853,3776
macd_bull_cross,0.0293,0.07169,3776
atr_pct,0.0397,0.01469,3776
ema_stack_bear,0.071,1e-05,3776
