feature,spearman_ic,p,n
or_position,-0.0137,1e-05,106567
consec_dir,-0.0112,0.00026,106567
lower_wick,-0.0108,0.00042,105879
body_dir,-0.0098,0.00142,106567
candle_ret,-0.0086,0.00507,106567
vwap_dist,-0.0085,0.00545,106567
rsi,-0.0075,0.01452,106566
bb_pct,-0.0074,0.01578,106548
dist_ema50,-0.0074,0.01502,106567
mfi,-0.0073,0.0172,106529
dist_ema9,-0.0071,0.02068,106567
ema9_slope,-0.0071,0.02067,106566
dist_ema20,-0.0068,0.02654,106567
macd_hist,-0.0067,0.02845,106567
cc_ret,-0.0062,0.04135,106566
above_vwap,-0.006,0.04903,106567
ema_stack_bull,-0.0059,0.05287,106567
bb_squeeze,-0.0056,0.06772,106567
rsi_slope,-0.0055,0.0701,106564
roc_10,-0.0047,0.12379,106557
stoch_k,-0.0047,0.12315,106554
williams_r,-0.0047,0.12315,106554
dist_lo_20,-0.0046,0.13682,106548
dist_hi_20,-0.004,0.19504,106548
atr_pct,-0.0031,0.31646,106567
bb_width,-0.0025,0.42113,106548
macd_bear_cross,-0.0013,0.66599,106567
gap_pct,-0.0012,0.68467,106566
above_ema200,-0.0007,0.80719,106567
dist_ema200,-0.0002,0.93521,106567
macd_bull_cross,-0.0,0.99652,106567
rsi_overbought,0.0001,0.97577,106567
upper_wick,0.0001,0.98055,105879
tod_min,0.001,0.74132,106567
bb_break_up,0.0024,0.43599,106567
range_pct,0.0026,0.40154,105879
rsi_oversold,0.0027,0.37734,106567
body_pct,0.0046,0.12903,106567
vol_z,0.0059,0.05525,106548
vol_ratio,0.0066,0.03194,106567
ema_stack_bear,0.0075,0.0146,106567
bb_break_dn,0.0102,0.00086,106567
vol_climax,0.015,0.0,106567
