setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
hammer,long,59,62.7,0.3443,0.4505,1.34,61.0,1.1364,1.4634,2.74,66.1,1.1559,1.7026,2.38,64.4,1.3052,2.4151,2.24,5.868778640544434
inverted_hammer,long,53,66.0,0.6023,0.7085,2.05,64.2,0.8725,1.1995,2.2,75.5,0.9028,1.4495,1.89,71.7,1.2871,2.397,2.03,4.962224822072051
bull_flag,long,51,49.0,-0.0292,0.077,0.29,54.9,0.0901,0.4171,0.89,64.7,0.5558,1.1024,1.7,62.7,1.4468,2.5567,2.41,2.568076230617923
evening_star,short,41,53.7,-0.0183,-0.1244,-0.33,46.3,0.4155,0.0885,0.21,51.2,1.0499,0.5032,0.9,46.3,1.4999,0.39,0.37,3.441991750082943
bullish_harami,long,118,52.5,-0.2179,-0.1117,-0.5,49.2,0.1058,0.4328,1.04,58.5,-0.154,0.3927,0.75,55.1,-0.513,0.5969,0.77,0.0
bullish_engulfing,long,131,50.4,-0.2873,-0.1811,-1.06,52.7,-0.3516,-0.0246,-0.07,58.8,-0.3437,0.203,0.46,55.0,-0.6151,0.4948,0.69,0.0
hs_top,short,25,52.0,0.293,0.1868,0.66,40.0,-0.0188,-0.3458,-0.49,56.0,0.7747,0.228,0.26,52.0,1.3401,0.2302,0.19,2.16916
double_bottom,long,96,54.2,-0.042,0.0642,0.41,52.1,-0.4227,-0.0957,-0.27,52.1,-0.4451,0.1016,0.23,57.3,-1.6828,-0.573,-1.01,0.0
tweezer_bottom,long,113,57.5,0.1594,0.2656,1.01,47.8,-0.1459,0.1811,0.43,51.3,-0.4367,0.11,0.23,54.0,-0.255,0.8549,1.24,0.0
morning_star,long,36,50.0,-0.1439,-0.0377,-0.13,44.4,-0.4758,-0.1488,-0.25,55.6,-0.5282,0.0185,0.03,52.8,-1.3801,-0.2703,-0.21,0.0
bear_flag,short,27,37.0,0.6512,0.545,0.77,44.4,0.5112,0.1841,0.17,48.1,0.5365,-0.0102,-0.01,44.4,1.8127,0.7028,0.41,1.340900907670194
marubozu,long,77,49.4,-0.0661,0.0401,0.24,50.6,-0.311,0.0161,0.05,53.2,-0.6562,-0.1095,-0.24,51.9,-1.4922,-0.3823,-0.54,0.0
dark_cloud_cover,short,36,52.8,0.2009,0.0947,0.2,47.2,0.127,-0.2,-0.27,44.4,0.0695,-0.4772,-0.56,44.4,-0.5369,-1.6467,-1.65,0.18514800000000003
hanging_man,short,100,60.0,0.1833,0.0771,0.43,54.0,0.3642,0.0372,0.14,48.0,0.1543,-0.3924,-1.06,38.0,-0.5759,-1.6858,-2.55,0.74064
shooting_star,short,87,48.3,0.2504,0.1442,0.38,40.2,0.0027,-0.3243,-0.6,39.1,-0.3005,-0.8472,-1.29,44.8,-0.5033,-1.6132,-2.08,0.0
bearish_harami,short,145,43.4,-0.1889,-0.2951,-1.64,39.3,-0.237,-0.564,-1.83,40.0,-0.1163,-0.663,-1.72,39.3,-0.0899,-1.1998,-1.98,0.0
marubozu,short,47,36.2,-0.5119,-0.6181,-1.31,48.9,-0.7062,-1.0332,-1.44,46.8,-0.9527,-1.4994,-1.89,40.4,-0.3826,-1.4925,-1.32,0.0
double_top,short,80,37.5,0.047,-0.0592,-0.27,46.2,0.2377,-0.0893,-0.2,38.8,-0.4499,-0.9966,-1.89,40.0,0.1865,-0.9233,-1.09,0.0
bearish_engulfing,short,146,47.9,0.0859,-0.0202,-0.14,41.8,-0.2054,-0.5324,-1.85,46.6,-0.3032,-0.8499,-2.13,46.6,0.4222,-0.6877,-1.16,0.0
tweezer_top,short,269,46.8,-0.0744,-0.1806,-1.42,42.8,-0.0288,-0.3558,-1.79,44.2,-0.1211,-0.6678,-2.44,44.6,0.4765,-0.6333,-1.61,0.0
