event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,tweezer_bottom,long,46,2012-07-25,-31.697338748105814
candlestick,bullish_engulfing,long,46,2012-07-25,-31.697338748105814
candlestick,shooting_star,short,2627,2022-10-26,-31.5128650085027
candlestick,bearish_engulfing,short,291,2013-07-18,29.908319041575538
candlestick,tweezer_top,short,291,2013-07-18,29.908319041575538
candlestick,bullish_harami,long,2622,2022-10-19,-26.488024031992264
candlestick,inverted_hammer,long,2623,2022-10-20,-24.57994535931183
structure,bear_flag,short,47,2012-07-26,-21.45251451414148
candlestick,tweezer_bottom,long,3437,2026-01-21,20.449943078266415
candlestick,bullish_harami,long,2439,2022-01-27,-19.532315859818013
candlestick,bullish_harami,long,1959,2020-03-04,-19.446179784284194
structure,bear_flag,short,1961,2020-03-06,-19.371584593551994
candlestick,bearish_engulfing,short,2438,2022-01-26,-19.30217881189538
structure,double_top,short,2438,2022-01-26,-19.30217881189538
candlestick,shooting_star,short,127,2012-11-20,18.268394994225524
candlestick,shooting_star,short,2530,2022-06-08,-18.19060434473534
candlestick,dark_cloud_cover,short,925,2016-01-25,18.142457567834644
candlestick,shooting_star,short,15,2012-06-11,18.141427534275607
candlestick,tweezer_top,short,3381,2025-10-29,-17.65801262342208
candlestick,hanging_man,short,124,2012-11-15,17.004963666170113
candlestick,tweezer_top,short,124,2012-11-15,17.004963666170113
candlestick,bearish_harami,short,124,2012-11-15,17.004963666170113
candlestick,marubozu,short,927,2016-01-27,16.98253195743048
candlestick,hammer,long,3489,2026-04-07,16.78637185392447
candlestick,tweezer_top,short,1550,2018-07-18,-15.810090756122703
candlestick,bearish_harami,short,1550,2018-07-18,-15.810090756122703
candlestick,hammer,long,926,2016-01-26,15.7694747082505
candlestick,bullish_harami,long,926,2016-01-26,15.7694747082505
candlestick,bullish_harami,long,2528,2022-06-06,-15.711713911176803
candlestick,hammer,long,922,2016-01-20,15.64388169044744
structure,bear_flag,short,106,2012-10-18,15.595369142314139
candlestick,shooting_star,short,297,2013-07-26,15.230816115318943
candlestick,bearish_harami,short,297,2013-07-26,15.230816115318943
structure,double_bottom,long,128,2012-11-21,15.131580392079357
candlestick,bullish_engulfing,long,121,2012-11-12,15.09716359102339
candlestick,three_black_crows,short,2498,2022-04-22,14.676011179667414
candlestick,bullish_engulfing,long,3241,2025-04-09,-14.38960782123557
candlestick,tweezer_bottom,long,3241,2025-04-09,-14.38960782123557
candlestick,bearish_harami,short,156,2013-01-03,14.22397835966372
candlestick,bullish_harami,long,3484,2026-03-30,14.176512423120032
candlestick,marubozu,short,332,2013-09-16,13.97318907537424
candlestick,three_black_crows,short,332,2013-09-16,13.97318907537424
candlestick,bearish_harami,short,2527,2022-06-03,-13.900830507468712
candlestick,hanging_man,short,1653,2018-12-13,-13.833527562576453
candlestick,tweezer_bottom,long,2061,2020-07-29,13.712549365084836
candlestick,bullish_harami,long,2061,2020-07-29,13.712549365084836
structure,double_bottom,long,3378,2025-10-24,-13.631557150403106
candlestick,bearish_harami,short,2595,2022-09-12,-13.535753709282691
candlestick,bearish_harami,short,1464,2018-03-15,-13.309040106315233
candlestick,tweezer_top,short,542,2014-07-17,13.22089789961321
candlestick,bearish_engulfing,short,2178,2021-01-14,13.177825458560344
candlestick,tweezer_bottom,long,814,2015-08-14,-13.058676202251842
candlestick,evening_star,short,3231,2025-03-26,-12.988966560029795
structure,double_top,short,422,2014-01-24,12.910925033598412
candlestick,shooting_star,short,2747,2023-04-20,12.789223758994355
candlestick,tweezer_top,short,2747,2023-04-20,12.789223758994355
candlestick,tweezer_top,short,1949,2020-02-19,-12.754611610893521
candlestick,hanging_man,short,1949,2020-02-19,-12.754611610893521
structure,double_bottom,long,2594,2022-09-09,-12.491865436870468
candlestick,marubozu,long,2594,2022-09-09,-12.491865436870468
candlestick,inverted_hammer,long,2670,2022-12-28,12.454593654906828
candlestick,hanging_man,short,2749,2023-04-24,12.430101528066055
candlestick,tweezer_top,short,2749,2023-04-24,12.430101528066055
structure,bull_flag,long,1993,2020-04-22,12.305249113880224
candlestick,bearish_engulfing,short,390,2013-12-06,12.24447833695109
candlestick,bullish_harami,long,2179,2021-01-15,12.209574756562642
candlestick,bullish_harami,long,2552,2022-07-12,12.139395814772305
candlestick,bullish_engulfing,long,3251,2025-04-24,11.979741572249068
candlestick,tweezer_bottom,long,3251,2025-04-24,11.979741572249068
candlestick,bullish_engulfing,long,1956,2020-02-28,-11.934327986190269
candlestick,bearish_harami,short,931,2016-02-02,-11.87505500206961
structure,bull_flag,long,172,2013-01-28,-11.795508737500905
structure,double_top,short,1466,2018-03-19,-11.787202495169288
candlestick,piercing,long,2720,2023-03-13,11.7523551591663
candlestick,bullish_engulfing,long,2526,2022-06-02,-11.71175360286128
candlestick,tweezer_top,short,3377,2025-10-23,-11.668940655866827
candlestick,shooting_star,short,2076,2020-08-19,11.664574168849523
candlestick,bullish_harami,long,2997,2024-04-18,-11.660020062054437
candlestick,inverted_hammer,long,2997,2024-04-18,-11.660020062054437
candlestick,hammer,long,349,2013-10-09,11.63138459154315
candlestick,shooting_star,short,312,2013-08-16,11.48866804522494
candlestick,tweezer_top,short,393,2013-12-11,11.482377574524683
structure,double_top,short,2039,2020-06-26,11.467974162028877
candlestick,marubozu,short,2039,2020-06-26,11.467974162028877
structure,double_top,short,2039,2020-06-26,11.467974162028877
candlestick,bullish_engulfing,long,2684,2023-01-19,11.450614980220172
structure,bull_flag,long,335,2013-09-19,11.439761175723225
candlestick,dark_cloud_cover,short,59,2012-08-13,-11.296298569285455
candlestick,bearish_harami,short,3242,2025-04-10,-11.28154951474317
candlestick,morning_star,long,2471,2022-03-15,11.159718830806305
candlestick,tweezer_bottom,long,2471,2022-03-15,11.159718830806305
candlestick,hammer,long,2471,2022-03-15,11.159718830806305
candlestick,bullish_harami,long,107,2012-10-19,11.105266370271382
candlestick,marubozu,short,2493,2022-04-14,-11.033394229102253
candlestick,tweezer_bottom,long,232,2013-04-24,10.953652378962625
candlestick,bullish_engulfing,long,2576,2022-08-15,-10.934821629740576
candlestick,shooting_star,short,2226,2021-03-25,10.823711876565074
candlestick,three_white_soldiers,long,3204,2025-02-14,-10.747008123963667
structure,bull_flag,long,296,2013-07-25,10.739227477188422
candlestick,bullish_harami,long,2999,2024-04-22,-10.703090192165144
candlestick,bearish_engulfing,short,2996,2024-04-17,-10.682560072545092
structure,double_top,short,2532,2022-06-10,-10.54850116754892
candlestick,marubozu,short,2532,2022-06-10,-10.54850116754892
candlestick,dark_cloud_cover,short,3001,2024-04-24,-10.500508069750508
candlestick,bearish_engulfing,short,49,2012-07-30,-10.496761750400646
candlestick,hanging_man,short,421,2014-01-23,10.489137408922673
candlestick,bearish_harami,short,2770,2023-05-23,10.48471236218529
candlestick,morning_star,long,2448,2022-02-09,-10.469824692298626
candlestick,bullish_harami,long,461,2014-03-21,-10.41046461584511
structure,bull_flag,long,3443,2026-01-29,-10.408903555425379
candlestick,bearish_engulfing,short,81,2012-09-13,10.381466059507806
candlestick,shooting_star,short,81,2012-09-13,10.381466059507806
candlestick,tweezer_top,short,1950,2020-02-20,-10.303849576699806
candlestick,bearish_harami,short,389,2013-12-05,10.302026327092848
candlestick,tweezer_top,short,3316,2025-07-29,10.284284319196429
candlestick,bearish_engulfing,short,3316,2025-07-29,10.284284319196429
