event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_rise,rise,3050,2024-07-05,5.533613507285117,2.365975200969142,6,MACD bullish cross; MACD histogram positive; elevated volume (1.8x); bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,-8.103197136295577
move,significant_rise,rise,123,2012-11-14,11.243782019851798,2.477956737612456,5,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; 3 up-bars in a row,7.334523009311546
move,significant_drop,drop,3482,2026-03-26,-6.000105202317469,1.6738993911509457,5,MACD histogram negative; elevated volume (2.5x); bearish EMA stack (9<20<50); below 200-EMA (downtrend); 11 down-bars in a row,4.653549060600977
move,significant_rise,rise,299,2013-07-30,5.5539956731811495,1.6237889882540655,5,MACD histogram positive; elevated volume (2.7x); bullish EMA stack (9>20>50); above 200-EMA (uptrend); 8 up-bars in a row,3.295237386586763
move,significant_rise,rise,2081,2020-08-26,7.010564669756822,2.2737936732063737,5,MACD histogram positive; elevated volume (2.4x); bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,-4.2084855354554085
move,significant_drop,drop,39,2012-07-16,-7.377049180327869,1.3066956797687728,4,MACD bearish cross; MACD histogram negative; bearish EMA stack (9<20<50); below 200-EMA (downtrend),0.7079673024405421
move,significant_rise,rise,2067,2020-08-06,6.5210431781955664,2.0986912312600405,4,MACD histogram positive; elevated volume (2.1x); bullish EMA stack (9>20>50); above 200-EMA (uptrend),-1.5229224078378454
move,significant_drop,drop,1659,2018-12-21,-6.327312752099185,1.3690684308737042,4,MACD histogram negative; elevated volume (2.0x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),8.587431764391102
move,significant_drop,drop,50,2012-07-31,-7.103130916341015,0.9204935731079628,4,MACD histogram negative; elevated volume (2.2x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),-4.560109686168656
move,significant_rise,rise,365,2013-10-31,6.467343610960412,1.6379381336719667,4,RSI reclaimed 50; elevated volume (2.8x); bullish EMA stack (9>20>50); above 200-EMA (uptrend),-5.337582860073316
