feature,spearman_ic,p,n
macd_hist,-0.0703,3e-05,3540
roc_10,-0.0611,0.00028,3530
vol_climax,-0.0566,0.00076,3540
stoch_k,-0.056,0.00088,3527
williams_r,-0.056,0.00088,3527
bb_pct,-0.0559,0.00091,3521
ema9_slope,-0.0469,0.00524,3539
dist_ema9,-0.0468,0.00538,3540
bb_break_up,-0.0444,0.00826,3540
mfi,-0.0394,0.01936,3527
dist_ema20,-0.036,0.03231,3540
dist_hi_20,-0.0359,0.03321,3521
rsi_overbought,-0.0344,0.04052,3540
rsi_slope,-0.0342,0.0422,3537
rsi,-0.0298,0.07669,3539
lower_wick,-0.0294,0.0807,3540
cc_ret,-0.0285,0.09048,3539
candle_ret,-0.0254,0.13034,3540
body_dir,-0.0169,0.31592,3540
consec_dir,-0.0165,0.32655,3540
dist_ema200,-0.0149,0.37486,3540
macd_bear_cross,-0.0116,0.49029,3540
dist_ema50,-0.0112,0.50558,3540
dist_lo_20,-0.0068,0.68643,3521
ema_stack_bear,-0.0039,0.81449,3540
macd_bull_cross,0.0055,0.74529,3540
upper_wick,0.0058,0.72821,3540
vol_z,0.0061,0.716,3521
above_ema200,0.0075,0.65457,3540
rsi_oversold,0.0078,0.64409,3540
gap_pct,0.0082,0.62582,3539
vol_ratio,0.0139,0.40789,3540
range_pct,0.0146,0.38385,3540
bb_break_dn,0.0165,0.32685,3540
body_pct,0.018,0.28537,3540
bb_squeeze,0.0217,0.19586,3540
ema_stack_bull,0.0234,0.16465,3540
bb_width,0.0266,0.11484,3521
atr_pct,0.0308,0.06716,3540
