setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
hanging_man,short,1940,51.6,0.0096,0.0088,2.06,50.8,0.0192,0.0169,2.49,50.9,0.0307,0.0259,2.85,50.9,0.0156,0.006,0.45,0.6882671198587073
inverted_hammer,long,1773,52.0,0.0089,0.0097,2.64,53.1,0.0158,0.0182,2.52,51.2,0.0175,0.0223,2.2,51.3,0.0092,0.0188,1.35,0.37727877862397724
evening_star,short,643,47.4,0.0043,0.0035,0.58,50.5,0.0146,0.0122,1.07,50.5,0.0347,0.0299,1.83,52.1,0.0601,0.0505,1.81,0.44435118160836484
double_bottom,long,3388,50.7,0.0006,0.0014,0.23,52.4,0.0161,0.0185,2.16,50.0,0.015,0.0198,1.8,51.0,0.031,0.0406,3.11,0.43654896632565743
three_black_crows,short,253,46.2,0.003,0.0022,0.28,54.2,0.0228,0.0204,1.39,51.0,0.0249,0.0201,1.04,53.4,0.0312,0.0216,0.72,0.20198996027773258
dark_cloud_cover,short,611,48.4,-0.0073,-0.0081,-1.55,46.6,-0.0094,-0.0117,-1.15,47.3,0.0129,0.0081,0.49,50.1,0.0129,0.0033,0.16,0.15082434785468157
bullish_harami,long,2462,49.9,-0.0048,-0.004,-1.04,50.1,-0.0059,-0.0036,-0.61,50.8,-0.0028,0.0019,0.24,51.2,-0.0124,-0.0028,-0.24,0.0
hammer,long,1969,48.1,-0.0081,-0.0073,-1.66,50.1,-0.0057,-0.0033,-0.51,52.6,-0.0037,0.0011,0.12,52.3,-0.0148,-0.0051,-0.39,0.0
bullish_engulfing,long,3449,49.1,0.0035,0.0042,1.35,50.0,-0.0039,-0.0015,-0.23,49.9,-0.006,-0.0012,-0.13,50.5,-0.0031,0.0066,0.53,0.0
bearish_engulfing,short,3436,45.8,-0.0066,-0.0074,-2.42,47.4,-0.0066,-0.009,-1.79,48.5,0.0037,-0.0011,-0.15,48.4,0.0135,0.0038,0.37,0.10518893068664592
marubozu,long,5599,48.5,-0.0051,-0.0043,-2.08,49.9,-0.0051,-0.0027,-0.78,48.9,-0.006,-0.0012,-0.24,50.1,-0.0061,0.0036,0.51,0.0
bearish_harami,short,2426,47.7,-0.0016,-0.0024,-0.69,46.7,0.0032,0.0009,0.15,48.3,0.0024,-0.0024,-0.3,47.9,0.0006,-0.009,-0.79,0.05709574849881556
three_white_soldiers,long,297,48.8,0.0157,0.0165,0.74,50.5,-0.0086,-0.0062,-0.25,49.2,-0.0186,-0.0138,-0.51,48.1,0.0192,0.0288,0.82,0.0
morning_star,long,642,43.6,-0.0075,-0.0067,-1.27,48.0,0.0007,0.0031,0.28,50.3,-0.0161,-0.0113,-0.52,51.1,-0.0123,-0.0027,-0.09,0.0
piercing,long,586,50.3,0.0006,0.0014,0.25,49.1,-0.0133,-0.0109,-0.92,49.3,-0.0165,-0.0117,-0.64,49.3,-0.058,-0.0484,-1.6,0.0
tweezer_bottom,long,16114,49.5,-0.0008,-0.0001,-0.04,50.1,-0.0051,-0.0027,-1.08,50.4,-0.0078,-0.003,-0.85,50.3,-0.0151,-0.0055,-1.06,0.0
double_top,short,3295,47.2,-0.0008,-0.0016,-0.46,46.9,-0.0007,-0.0031,-0.49,48.0,-0.0036,-0.0084,-1.03,49.3,-0.004,-0.0136,-1.18,0.0
shooting_star,short,1807,47.7,-0.0029,-0.0037,-0.39,48.6,-0.0047,-0.0071,-0.65,47.9,-0.0172,-0.0219,-1.69,47.9,-0.0156,-0.0253,-1.43,0.0
marubozu,short,5055,45.8,-0.0062,-0.007,-3.82,47.4,-0.0041,-0.0065,-2.01,46.8,-0.0075,-0.0123,-2.52,46.8,-0.0058,-0.0154,-2.16,0.0
tweezer_top,short,16618,47.4,-0.0021,-0.0029,-2.32,48.0,-0.0038,-0.0061,-2.84,47.9,-0.0056,-0.0104,-3.26,47.4,-0.0133,-0.0229,-4.97,0.0
