feature,spearman_ic,p,n
candle_ret,-0.0192,0.0,67603
rsi_slope,-0.0172,1e-05,67599
cc_ret,-0.0164,2e-05,67602
consec_dir,-0.0161,3e-05,67603
body_dir,-0.0151,9e-05,67603
or_position,-0.0093,0.01541,67603
mfi,-0.0089,0.02095,67571
bb_squeeze,-0.0082,0.03354,67603
ema9_slope,-0.0072,0.06191,67602
dist_ema9,-0.0072,0.06196,67603
above_vwap,-0.0057,0.13931,67603
ema_stack_bull,-0.0047,0.21798,67603
macd_bull_cross,-0.003,0.43743,67603
bb_break_up,-0.003,0.42999,67603
vwap_dist,-0.003,0.43072,67603
bb_width,-0.0029,0.44757,67584
lower_wick,-0.0026,0.4975,67370
ema_stack_bear,-0.0024,0.53921,67603
rsi,-0.0022,0.56193,67601
atr_pct,-0.0021,0.5894,67603
dist_ema20,-0.0019,0.61738,67603
bb_pct,-0.0017,0.66075,67584
dist_ema50,-0.0011,0.76586,67603
rsi_oversold,-0.0003,0.94558,67603
gap_pct,0.0003,0.9318,67602
rsi_overbought,0.0003,0.93588,67603
williams_r,0.0008,0.83302,67590
stoch_k,0.0008,0.83302,67590
dist_lo_20,0.0014,0.71074,67584
dist_ema200,0.0014,0.72482,67603
dist_hi_20,0.0017,0.65141,67584
above_ema200,0.002,0.60801,67603
body_pct,0.0023,0.54481,67603
tod_min,0.0037,0.33005,67603
range_pct,0.0044,0.25404,67370
roc_10,0.0066,0.08541,67593
upper_wick,0.0074,0.05627,67370
macd_bear_cross,0.0095,0.01364,67603
vol_ratio,0.0096,0.01293,67603
macd_hist,0.0102,0.00808,67603
bb_break_dn,0.0108,0.00498,67603
vol_climax,0.0109,0.00472,67603
vol_z,0.0127,0.00096,67584
