setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
hammer,long,78,55.1,0.0436,0.1283,0.6,74.4,0.6336,0.8854,2.79,71.8,0.7112,1.1293,2.64,62.8,-0.0274,0.8051,1.53,4.509864499599038
bullish_harami,long,110,50.9,0.0111,0.0958,0.58,63.6,0.1803,0.4322,1.4,65.5,0.3568,0.7749,2.32,61.8,-0.0076,0.8249,1.87,2.451108230527571
tweezer_bottom,long,184,56.0,0.103,0.1877,1.63,59.8,0.0491,0.3009,1.52,61.4,0.1544,0.5725,2.25,65.8,0.0738,0.9062,2.67,1.2859514682564968
inverted_hammer,long,58,56.9,0.3208,0.4055,1.51,62.1,0.5272,0.779,1.81,67.2,0.6432,1.0613,2.19,69.0,1.1744,2.0068,2.91,3.2917686558568
bull_flag,long,30,56.7,0.1267,0.2114,0.93,53.3,-0.1566,0.0952,0.32,63.3,0.0388,0.4569,1.07,53.3,-0.68,0.1525,0.24,0.1345228510134988
bearish_harami,short,170,51.8,0.2157,0.131,1.0,48.8,0.4534,0.2016,1.09,47.6,0.6586,0.2405,0.96,41.2,0.2557,-0.5768,-1.6,4.087456462271275
evening_star,short,41,43.9,-0.1813,-0.2661,-0.78,51.2,0.1724,-0.0794,-0.15,51.2,0.7362,0.3181,0.45,39.0,-0.0227,-0.8552,-0.99,2.4135577925622083
bullish_engulfing,long,133,45.1,-0.1032,-0.0185,-0.16,55.6,-0.2098,0.042,0.18,58.6,-0.2915,0.1266,0.45,57.1,-0.3356,0.4969,1.38,0.0
double_bottom,long,130,51.5,0.0457,0.1304,0.88,49.2,-0.1521,0.0997,0.44,56.9,-0.3816,0.0366,0.13,59.2,-0.5073,0.3252,0.79,0.0
marubozu,long,73,47.9,0.0756,0.1604,0.93,50.7,-0.2285,0.0233,0.09,50.7,-0.4037,0.0144,0.04,64.4,-0.3996,0.4328,0.83,0.0
morning_star,long,41,39.0,-0.2139,-0.1292,-0.82,56.1,-0.5841,-0.3323,-1.03,56.1,-0.5987,-0.1805,-0.38,53.7,-0.6632,0.1693,0.27,0.0
hanging_man,short,139,43.2,-0.0437,-0.1285,-0.97,41.7,0.1218,-0.13,-0.56,40.3,0.1284,-0.2897,-0.99,36.7,0.1496,-0.6829,-1.79,0.6100669106766567
shooting_star,short,85,54.1,0.1017,0.017,0.11,44.7,-0.053,-0.3048,-1.16,49.4,0.059,-0.3591,-1.06,37.6,-0.2779,-1.1103,-2.47,0.2687128427522585
double_top,short,95,45.3,0.0645,-0.0203,-0.1,36.8,-0.1119,-0.3637,-1.2,37.9,-0.208,-0.6261,-1.63,38.9,0.0013,-0.8311,-1.8,0.0
marubozu,short,48,35.4,-0.1628,-0.2475,-0.93,43.8,-0.4651,-0.7169,-1.94,39.6,-0.6425,-1.0606,-2.04,29.2,-1.3124,-2.1449,-3.69,0.0
dark_cloud_cover,short,38,31.6,-0.1928,-0.2775,-1.5,39.5,-0.3559,-0.6077,-1.7,36.8,-0.5664,-0.9845,-2.17,44.7,-0.6081,-1.4406,-2.36,0.0
tweezer_top,short,378,42.9,-0.0207,-0.1054,-1.48,43.9,0.0636,-0.1882,-1.44,39.4,0.0225,-0.3957,-2.42,35.4,-0.2108,-1.0432,-4.85,0.17235529887415704
bearish_engulfing,short,144,43.8,-0.0707,-0.1554,-1.33,40.3,-0.3256,-0.5774,-2.61,36.8,-0.6172,-1.0353,-4.06,36.1,-0.6222,-1.4546,-3.95,0.0
