event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,bullish_harami,long,2195,2020-03-04,-18.463796499380656
candlestick,tweezer_top,short,3678,2026-01-28,-18.262979997784825
candlestick,hanging_man,short,3678,2026-01-28,-18.262979997784825
candlestick,evening_star,short,2207,2020-03-20,16.658164257218626
candlestick,hammer,long,2197,2020-03-06,-16.184940254906856
candlestick,tweezer_top,short,2185,2020-02-19,-15.538234885300803
structure,double_top,short,2869,2022-11-03,15.337223155356622
candlestick,marubozu,short,2869,2022-11-03,15.337223155356622
candlestick,tweezer_top,short,969,2015-04-21,15.05629004582289
candlestick,inverted_hammer,long,3486,2025-04-23,13.62482364705871
candlestick,bearish_harami,short,966,2015-04-16,13.543641141220618
candlestick,hammer,long,3727,2026-04-09,13.3272576847738
candlestick,bearish_engulfing,short,1097,2015-10-21,13.050846923394172
candlestick,bearish_harami,short,2217,2020-04-03,12.916852941996268
candlestick,hammer,long,2199,2020-03-10,-12.751680652467801
candlestick,hanging_man,short,909,2015-01-23,-12.505302008723513
structure,double_bottom,long,971,2015-04-23,12.275033862699592
candlestick,tweezer_top,short,526,2013-07-17,-12.17124254204839
candlestick,bearish_engulfing,short,526,2013-07-17,-12.17124254204839
candlestick,evening_star,short,2186,2020-02-20,-12.151612560791698
structure,double_bottom,long,524,2013-07-15,-12.026537722791199
structure,hs_bottom,long,522,2013-07-11,-12.020171401654931
candlestick,tweezer_bottom,long,2205,2020-03-18,11.189463957847485
candlestick,hanging_man,short,3489,2025-04-28,10.77564001990711
candlestick,tweezer_top,short,3489,2025-04-28,10.77564001990711
candlestick,bearish_harami,short,33,2011-07-29,-10.65693473338294
candlestick,morning_star,long,1670,2018-01-31,-10.52520763620388
structure,double_top,short,2986,2023-04-25,10.52210407954027
candlestick,marubozu,long,2721,2022-04-04,-10.44861527591923
candlestick,tweezer_top,short,464,2013-04-18,10.420284489751463
candlestick,bearish_harami,short,2212,2020-03-27,10.40080670783312
candlestick,tweezer_bottom,long,3729,2026-04-13,10.35200693352524
candlestick,hammer,long,1165,2016-01-29,-10.310401687136244
candlestick,bearish_harami,short,2763,2022-06-03,-10.280718330608616
candlestick,hanging_man,short,523,2013-07-12,-10.260723395827211
candlestick,bearish_harami,short,523,2013-07-12,-10.260723395827211
candlestick,evening_star,short,2927,2023-01-30,10.238552246435566
structure,double_top,short,2005,2019-06-03,10.230315537608766
candlestick,inverted_hammer,long,78,2011-10-03,10.06929981334732
candlestick,evening_star,short,3764,2026-06-02,-9.958988568165376
candlestick,tweezer_top,short,1166,2016-02-01,-9.925060128024896
candlestick,shooting_star,short,35,2011-08-02,-9.701487119916292
candlestick,hanging_man,short,1220,2016-04-19,-9.664835648038531
candlestick,bullish_engulfing,long,2321,2020-09-01,-9.636119480606325
candlestick,inverted_hammer,long,2203,2020-03-16,9.54068700608515
candlestick,shooting_star,short,465,2013-04-19,9.539805538858335
structure,hs_top,short,2955,2023-03-10,9.509640370365233
candlestick,bearish_harami,short,2766,2022-06-08,-9.407936872481534
candlestick,tweezer_top,short,2766,2022-06-08,-9.407936872481534
structure,bear_flag,short,49,2011-08-22,9.382819194958874
candlestick,hanging_man,short,547,2013-08-15,9.311100972717776
candlestick,bullish_harami,long,2362,2020-10-29,9.280969073225343
structure,hs_top,short,2415,2021-01-15,9.254647777770602
candlestick,tweezer_bottom,long,2870,2022-11-04,9.106104032561825
candlestick,tweezer_top,short,2764,2022-06-06,-9.026974700218023
structure,double_bottom,long,1219,2016-04-18,-8.891251397742666
candlestick,bearish_engulfing,short,138,2011-12-28,8.86909737642789
candlestick,tweezer_top,short,138,2011-12-28,8.86909737642789
candlestick,tweezer_bottom,long,1876,2018-11-23,8.751330813789995
candlestick,bullish_engulfing,long,836,2014-10-08,-8.636163331021791
candlestick,tweezer_bottom,long,836,2014-10-08,-8.636163331021791
structure,double_bottom,long,3762,2026-05-29,-8.550995210345178
candlestick,marubozu,long,3762,2026-05-29,-8.550995210345178
structure,double_bottom,long,3762,2026-05-29,-8.550995210345178
structure,hs_top,short,3037,2023-07-10,8.335594967721702
candlestick,marubozu,short,2219,2020-04-07,8.287960938098635
structure,double_bottom,long,553,2013-08-23,-8.258995220815535
candlestick,marubozu,short,1676,2018-02-08,8.222559331980607
candlestick,tweezer_bottom,long,2820,2022-08-25,-8.172855673692075
candlestick,tweezer_top,short,2312,2020-08-19,8.049597104657467
candlestick,bearish_engulfing,short,2312,2020-08-19,8.049597104657467
candlestick,shooting_star,short,1840,2018-10-03,-8.040283627731117
candlestick,tweezer_top,short,1840,2018-10-03,-8.040283627731117
candlestick,tweezer_bottom,long,842,2014-10-16,7.931678185582247
candlestick,piercing,long,2762,2022-06-02,-7.862911404658905
candlestick,hammer,long,2363,2020-10-30,7.8628923163741495
candlestick,bullish_engulfing,long,2956,2023-03-13,7.8213613553737265
candlestick,tweezer_top,short,1839,2018-10-02,-7.8072060309518205
candlestick,bearish_harami,short,1839,2018-10-02,-7.8072060309518205
candlestick,inverted_hammer,long,3474,2025-04-04,7.772899484591821
structure,double_bottom,long,1144,2015-12-29,-7.745360083479473
candlestick,bullish_engulfing,long,905,2015-01-16,-7.742218211730376
candlestick,bullish_harami,long,1081,2015-09-29,7.734808279403752
candlestick,evening_star,short,2873,2022-11-09,7.647765618034665
candlestick,tweezer_top,short,3016,2023-06-07,7.644257791900659
candlestick,bullish_engulfing,long,2765,2022-06-07,-7.611011190151949
structure,hs_top,short,2911,2023-01-05,7.610992917439867
candlestick,bearish_harami,short,2815,2022-08-18,-7.60933799775375
candlestick,marubozu,long,50,2011-08-23,7.605182525630577
candlestick,tweezer_bottom,long,2416,2021-01-19,7.604874916564514
candlestick,bullish_engulfing,long,1600,2017-10-19,7.572832266922057
structure,double_top,short,2294,2020-07-24,7.570784899817676
candlestick,marubozu,short,2233,2020-04-28,7.496611454308817
candlestick,hanging_man,short,599,2013-10-29,7.488738212644669
candlestick,tweezer_top,short,599,2013-10-29,7.488738212644669
candlestick,tweezer_top,short,2722,2022-04-05,-7.481989642400114
candlestick,bearish_harami,short,2722,2022-04-05,-7.481989642400114
structure,hs_top,short,3418,2025-01-14,7.467456642200185
candlestick,hammer,long,3418,2025-01-14,7.467456642200185
structure,double_top,short,3679,2026-01-29,-7.464817843497692
candlestick,evening_star,short,3679,2026-01-29,-7.464817843497692
candlestick,bearish_harami,short,3425,2025-01-24,-7.46295192385271
candlestick,tweezer_top,short,3425,2025-01-24,-7.46295192385271
candlestick,tweezer_top,short,3117,2023-10-31,7.4206701790781056
candlestick,hanging_man,short,3117,2023-10-31,7.4206701790781056
candlestick,shooting_star,short,2983,2023-04-20,7.392270629098824
candlestick,bullish_harami,long,548,2013-08-16,7.389944481758369
candlestick,shooting_star,short,2849,2022-10-06,-7.386845586726393
candlestick,bearish_harami,short,2849,2022-10-06,-7.386845586726393
candlestick,tweezer_top,short,2849,2022-10-06,-7.386845586726393
candlestick,bearish_engulfing,short,3330,2024-09-06,7.378636601978316
candlestick,evening_star,short,2343,2020-10-02,7.376687169592717
structure,double_bottom,long,466,2013-04-22,7.362953473994573
candlestick,tweezer_top,short,108,2011-11-14,-7.361731302334927
candlestick,bearish_harami,short,108,2011-11-14,-7.361731302334927
structure,double_top,short,2736,2022-04-26,7.312563717104695
candlestick,morning_star,long,2937,2023-02-13,-7.301346116252488
candlestick,bullish_harami,long,356,2012-11-09,-7.2840804267327055
candlestick,inverted_hammer,long,356,2012-11-09,-7.2840804267327055
candlestick,tweezer_top,short,2345,2020-10-06,7.26045198502088
candlestick,hammer,long,3331,2024-09-09,7.253769246582436
candlestick,bullish_harami,long,3331,2024-09-09,7.253769246582436
candlestick,tweezer_top,short,140,2011-12-30,7.241915001606111
candlestick,bearish_harami,short,140,2011-12-30,7.241915001606111
structure,double_bottom,long,66,2011-09-15,-7.150797782670095
candlestick,marubozu,short,347,2012-10-25,7.101870549448459
candlestick,piercing,long,3629,2025-11-14,-7.091613390408587
candlestick,tweezer_bottom,long,3301,2024-07-26,-7.082558350060103
candlestick,tweezer_top,short,1145,2015-12-30,-7.068015352818165
candlestick,piercing,long,2192,2020-02-28,-7.030430081995862
candlestick,marubozu,long,2316,2020-08-25,7.012515632733983
candlestick,bullish_engulfing,long,2316,2020-08-25,7.012515632733983
candlestick,tweezer_bottom,long,2667,2022-01-14,-6.998717317318066
structure,double_bottom,long,3423,2025-01-22,-6.9946259791170045
candlestick,inverted_hammer,long,2665,2022-01-12,-6.987774845909094
candlestick,shooting_star,short,2182,2020-02-13,-6.978393585378408
candlestick,evening_star,short,2236,2020-05-01,6.971414136646441
candlestick,shooting_star,short,2236,2020-05-01,6.971414136646441
candlestick,tweezer_top,short,1888,2018-12-12,-6.9398602564645975
candlestick,tweezer_top,short,1973,2019-04-16,6.938807225593376
candlestick,bearish_engulfing,short,1973,2019-04-16,6.938807225593376
candlestick,hanging_man,short,2984,2023-04-21,6.928886868812864
candlestick,bearish_harami,short,467,2013-04-23,6.928107231388127
candlestick,bullish_engulfing,long,267,2012-07-03,-6.924580794103143
candlestick,tweezer_bottom,long,2724,2022-04-07,-6.918408083528062
candlestick,tweezer_top,short,772,2014-07-09,6.863452690245103
candlestick,bullish_harami,long,2912,2023-01-06,6.855472337991449
candlestick,bearish_engulfing,short,2705,2022-03-11,6.8161516187598705
candlestick,tweezer_bottom,long,3710,2026-03-16,-6.803355705005249
candlestick,bullish_harami,long,3710,2026-03-16,-6.803355705005249
candlestick,tweezer_bottom,long,3038,2023-07-11,6.80060915828413
candlestick,hammer,long,3038,2023-07-11,6.80060915828413
structure,hs_top,short,110,2011-11-16,-6.789414953906106
candlestick,dark_cloud_cover,short,2796,2022-07-22,6.7790848851945436
candlestick,tweezer_top,short,2796,2022-07-22,6.7790848851945436
candlestick,bullish_harami,long,2006,2019-06-04,6.763560882888673
candlestick,bullish_engulfing,long,2608,2021-10-21,6.712570696369552
candlestick,bearish_engulfing,short,601,2013-10-31,6.693021581749522
candlestick,tweezer_top,short,601,2013-10-31,6.693021581749522
candlestick,bullish_engulfing,long,2313,2020-08-20,6.678162787200054
candlestick,bearish_engulfing,short,2194,2020-03-03,-6.613573635230617
candlestick,marubozu,long,2643,2021-12-10,-6.606528965460898
candlestick,bullish_engulfing,long,2216,2020-04-02,6.601829423321733
candlestick,hammer,long,1346,2016-10-17,6.58860604218167
candlestick,tweezer_top,short,2609,2021-10-22,6.537065343409123
candlestick,bearish_harami,short,2609,2021-10-22,6.537065343409123
structure,double_bottom,long,2417,2021-01-20,6.503519914440865
candlestick,tweezer_top,short,2767,2022-06-09,-6.473059441564873
candlestick,hanging_man,short,2257,2020-06-02,6.451783267270504
candlestick,bearish_harami,short,1671,2018-02-01,-6.45024580231548
candlestick,hammer,long,36,2011-08-03,-6.426447018325922
candlestick,bullish_harami,long,36,2011-08-03,-6.426447018325922
candlestick,hammer,long,3627,2025-11-12,-6.399425017654748
candlestick,tweezer_top,short,2938,2023-02-14,-6.393066207454712
candlestick,bullish_engulfing,long,79,2011-10-04,6.393050205721172
candlestick,marubozu,long,79,2011-10-04,6.393050205721172
candlestick,hanging_man,short,2464,2021-03-29,6.231928269422831
candlestick,tweezer_top,short,2464,2021-03-29,6.231928269422831
candlestick,bearish_engulfing,short,251,2012-06-11,6.228377744527873
candlestick,tweezer_top,short,1873,2018-11-19,6.212961029780089
candlestick,tweezer_top,short,34,2011-08-01,-6.1972882496834725
candlestick,hanging_man,short,34,2011-08-01,-6.1972882496834725
candlestick,evening_star,short,3628,2025-11-13,-6.193250988202808
candlestick,bearish_harami,short,470,2013-04-26,6.165457779258271
candlestick,hanging_man,short,470,2013-04-26,6.165457779258271
candlestick,tweezer_bottom,long,1526,2017-07-06,6.139709936137617
candlestick,hanging_man,short,3119,2023-11-02,6.129422845252437
candlestick,shooting_star,short,555,2013-08-27,-6.103424178414983
candlestick,hammer,long,1171,2016-02-08,6.091880855755264
structure,hs_top,short,1268,2016-06-27,6.0912672813346695
structure,double_top,short,1268,2016-06-27,6.0912672813346695
structure,double_bottom,long,2300,2020-08-03,-6.077393927841724
candlestick,shooting_star,short,2419,2021-01-22,6.0632870693866
structure,double_bottom,long,3043,2023-07-18,-6.041893184993117
candlestick,tweezer_bottom,long,2297,2020-07-29,6.022742669784128
candlestick,inverted_hammer,long,693,2014-03-17,6.018399373046221
candlestick,tweezer_bottom,long,3265,2024-06-04,6.006198426819498
candlestick,bullish_engulfing,long,3265,2024-06-04,6.006198426819498
candlestick,bearish_harami,short,3428,2025-01-29,-5.99325843890437
candlestick,tweezer_top,short,691,2014-03-13,5.9910279607548285
candlestick,inverted_hammer,long,3298,2024-07-23,-5.957064097203476
candlestick,marubozu,long,2344,2020-10-05,5.93212065685176
candlestick,bearish_engulfing,short,2336,2020-09-23,5.91754852818369
candlestick,marubozu,short,2336,2020-09-23,5.91754852818369
candlestick,tweezer_bottom,long,2770,2022-06-14,5.877532633455735
candlestick,bullish_harami,long,2770,2022-06-14,5.877532633455735
candlestick,shooting_star,short,2314,2020-08-21,5.872685314021102
candlestick,bearish_harami,short,2314,2020-08-21,5.872685314021102
candlestick,three_white_soldiers,long,974,2015-04-28,-5.858423671795117
candlestick,marubozu,long,974,2015-04-28,-5.858423671795117
candlestick,bullish_harami,long,1716,2018-04-09,5.838937146377718
candlestick,inverted_hammer,long,1716,2018-04-09,5.838937146377718
candlestick,bearish_harami,short,3478,2025-04-10,-5.8292934654612
candlestick,bullish_engulfing,long,3477,2025-04-09,-5.815767887276039
candlestick,marubozu,long,3477,2025-04-09,-5.815767887276039
candlestick,tweezer_top,short,602,2013-11-01,5.7979213173836825
candlestick,tweezer_top,short,3268,2024-06-07,5.785062795937162
candlestick,bearish_engulfing,short,3268,2024-06-07,5.785062795937162
candlestick,bearish_harami,short,2813,2022-08-16,-5.780459637214994
candlestick,marubozu,long,2174,2020-02-03,5.769008646005204
candlestick,tweezer_bottom,long,2756,2022-05-24,5.762264747106814
candlestick,hammer,long,2756,2022-05-24,5.762264747106814
candlestick,inverted_hammer,long,116,2011-11-25,5.761323332651502
candlestick,tweezer_bottom,long,518,2013-07-05,5.729316389728484
candlestick,hammer,long,518,2013-07-05,5.729316389728484
candlestick,hammer,long,2746,2022-05-10,-5.721706185137408
candlestick,hanging_man,short,776,2014-07-15,5.700820083513562
structure,double_bottom,long,776,2014-07-15,5.700820083513562
candlestick,tweezer_bottom,long,1777,2018-07-05,5.683638780603137
candlestick,bullish_harami,long,1777,2018-07-05,5.683638780603137
candlestick,marubozu,long,1879,2018-11-28,-5.669549042511696
candlestick,bearish_engulfing,short,2168,2020-01-24,5.659241381867207
candlestick,tweezer_top,short,1281,2016-07-15,5.6424557472036385
candlestick,bullish_engulfing,long,557,2013-08-29,-5.633381319307679
candlestick,hanging_man,short,1083,2015-10-01,5.604124559056575
candlestick,bearish_harami,short,24,2011-07-18,5.603609486903853
candlestick,tweezer_top,short,24,2011-07-18,5.603609486903853
candlestick,bullish_harami,long,252,2012-06-12,5.599178348878214
candlestick,tweezer_bottom,long,252,2012-06-12,5.599178348878214
structure,double_bottom,long,2467,2021-04-01,5.595212385842413
structure,double_bottom,long,2467,2021-04-01,5.595212385842413
candlestick,bullish_harami,long,585,2013-10-09,5.594189571192033
candlestick,inverted_hammer,long,1410,2017-01-19,5.585874132990635
candlestick,tweezer_bottom,long,1410,2017-01-19,5.585874132990635
candlestick,bearish_engulfing,short,2693,2022-02-23,5.583910167884252
candlestick,inverted_hammer,long,2819,2022-08-24,-5.580338000508349
candlestick,tweezer_bottom,long,2819,2022-08-24,-5.580338000508349
candlestick,tweezer_bottom,long,2587,2021-09-22,-5.579735378713677
candlestick,bearish_engulfing,short,3161,2024-01-04,5.57971371502783
candlestick,bullish_engulfing,long,3479,2025-04-11,-5.568285288477327
candlestick,bearish_engulfing,short,1631,2017-12-04,5.550073875647647
structure,double_top,short,1631,2017-12-04,5.550073875647647
structure,double_top,short,3470,2025-03-31,-5.548900151047332
candlestick,marubozu,long,3452,2025-03-05,-5.548351855159379
candlestick,marubozu,short,1902,2019-01-03,5.544149323698051
candlestick,bearish_engulfing,short,2821,2022-08-26,-5.535453221158931
candlestick,shooting_star,short,1602,2017-10-23,5.518201665710774
candlestick,tweezer_top,short,2607,2021-10-20,5.5105566636100445
candlestick,bearish_harami,short,771,2014-07-08,5.505033793580498
candlestick,tweezer_top,short,771,2014-07-08,5.505033793580498
candlestick,tweezer_top,short,3006,2023-05-23,5.493870541816224
candlestick,tweezer_top,short,1603,2017-10-24,5.478061959661148
candlestick,shooting_star,short,7,2011-06-22,5.476675060290401
candlestick,tweezer_bottom,long,844,2014-10-20,5.467331550141285
candlestick,hanging_man,short,3548,2025-07-23,5.4618785754256605
candlestick,bearish_harami,short,323,2012-09-21,-5.450467245369726
candlestick,marubozu,short,3241,2024-04-30,5.447826446504486
structure,hs_bottom,long,2318,2020-08-27,-5.441787329602165
candlestick,bearish_harami,short,2711,2022-03-21,5.431875852747281
candlestick,hammer,long,3724,2026-04-06,5.425332601330504
candlestick,tweezer_bottom,long,2589,2021-09-24,-5.425094511719269
candlestick,bearish_engulfing,short,2842,2022-09-27,5.4100897119450995
candlestick,shooting_star,short,2881,2022-11-21,5.407971978042726
candlestick,bearish_engulfing,short,2647,2021-12-16,5.401667787084799
candlestick,tweezer_bottom,long,340,2012-10-16,-5.39165874848565
candlestick,tweezer_bottom,long,1853,2018-10-22,-5.381733142659939
structure,double_bottom,long,322,2012-09-20,-5.373610470779723
candlestick,bullish_engulfing,long,322,2012-09-20,-5.373610470779723
candlestick,tweezer_bottom,long,3442,2025-02-19,-5.362005647337689
candlestick,dark_cloud_cover,short,2699,2022-03-03,-5.356179164741185
candlestick,marubozu,short,357,2012-11-12,-5.3508159660629815
structure,hs_top,short,878,2014-12-08,-5.3249494232729635
candlestick,morning_star,long,833,2014-10-03,-5.293987022414843
candlestick,tweezer_bottom,long,833,2014-10-03,-5.293987022414843
candlestick,tweezer_top,short,1280,2016-07-14,5.266092162202853
candlestick,tweezer_bottom,long,2740,2022-05-02,-5.262418236181186
candlestick,bullish_engulfing,long,1191,2016-03-08,5.2274866766255
candlestick,tweezer_bottom,long,1191,2016-03-08,5.2274866766255
candlestick,tweezer_bottom,long,2704,2022-03-10,5.196259157597717
candlestick,dark_cloud_cover,short,1776,2018-07-03,5.189297558085456
candlestick,bullish_engulfing,long,1282,2016-07-18,5.189027584446837
candlestick,evening_star,short,2832,2022-09-13,-5.174811802317938
structure,hs_top,short,2832,2022-09-13,-5.174811802317938
candlestick,bearish_engulfing,short,2919,2023-01-18,5.169417144146865
candlestick,tweezer_bottom,long,345,2012-10-23,5.169343323987211
structure,double_top,short,1366,2016-11-14,5.161734437600261
candlestick,bearish_engulfing,short,1366,2016-11-14,5.161734437600261
candlestick,inverted_hammer,long,1347,2016-10-18,5.150886626019345
candlestick,bullish_harami,long,1677,2018-02-09,5.148560784548859
candlestick,bullish_engulfing,long,452,2013-04-02,5.1388940583042055
candlestick,bearish_harami,short,949,2015-03-23,-5.132992840900959
candlestick,marubozu,long,3426,2025-01-27,-5.106315023488619
candlestick,shooting_star,short,950,2015-03-24,-5.0815856122073155
candlestick,bullish_engulfing,long,950,2015-03-24,-5.0815856122073155
structure,double_bottom,long,1278,2016-07-12,5.0742356876441805
candlestick,hanging_man,short,12,2011-06-29,5.074157667745983
structure,double_top,short,2638,2021-12-03,5.074141244957669
structure,hs_top,short,2638,2021-12-03,5.074141244957669
structure,bear_flag,short,3695,2026-02-23,5.061511013419019
candlestick,hanging_man,short,2717,2022-03-29,-5.044229249987059
candlestick,bullish_engulfing,long,2559,2021-08-12,5.020526522735653
candlestick,tweezer_top,short,2931,2023-02-03,5.02032162349023
candlestick,bearish_engulfing,short,52,2011-08-25,5.006103205184138
candlestick,tweezer_top,short,1472,2017-04-19,4.9661680228666
candlestick,bearish_engulfing,short,1472,2017-04-19,4.9661680228666
candlestick,bearish_engulfing,short,2601,2021-10-12,4.961075709183573
candlestick,hanging_man,short,1037,2015-07-28,4.940453619162468
candlestick,bullish_harami,long,657,2014-01-23,4.9362138422304325
candlestick,tweezer_bottom,long,1379,2016-12-02,4.928266951806434
