event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_rise,rise,3762,2026-05-29,4.089701292483497,1.5663050228243562,6,MACD bullish cross; MACD histogram positive; elevated volume (2.3x); bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,-8.550995210345178
move,significant_rise,rise,2959,2023-03-16,4.143893935389173,1.6468165467099967,5,MACD histogram positive; elevated volume (1.9x); bullish EMA stack (9>20>50); above 200-EMA (uptrend); 4 up-bars in a row,1.5821849833633903
move,significant_drop,drop,1057,2015-08-25,-4.9330478956437895,1.5200796627316013,4,MACD histogram negative; elevated volume (2.0x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),7.141090443481401
move,significant_rise,rise,1674,2018-02-06,5.109911926107351,2.126803201122543,4,RSI reclaimed 50; elevated volume (2.0x); bullish EMA stack (9>20>50); above 200-EMA (uptrend),-0.5693685120283464
move,significant_drop,drop,1055,2015-08-21,-4.922736379235819,2.0596800306497576,4,MACD histogram negative; elevated volume (2.2x); below 200-EMA (downtrend); 3 down-bars in a row,1.0448125519572047
move,significant_rise,rise,972,2015-04-24,4.840120656719436,2.2275379229077434,4,MACD histogram positive; volume climax; above 200-EMA (uptrend); 3 up-bars in a row,0.772932431246794
move,significant_drop,drop,2868,2022-11-02,-4.07914248081729,1.062769973444663,4,MACD histogram negative; bearish EMA stack (9<20<50); below 200-EMA (downtrend); 3 down-bars in a row,10.395269872579062
move,significant_rise,rise,2211,2020-03-26,5.195422527608231,0.7728936360350414,4,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; above 200-EMA (uptrend),-1.460507828058832
move,significant_drop,drop,3554,2025-07-31,-3.913690044331644,2.3174044609905224,4,RSI>70 overbought rollover; rejection off upper BB; elevated volume (2.9x); 4 down-bars in a row,-2.1480828439843016
move,significant_drop,drop,2201,2020-03-12,-4.2945666635266955,0.7379001894527051,4,MACD histogram negative; elevated volume (1.6x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),-1.229678904860911
move,significant_drop,drop,2666,2022-01-13,-4.889697434407491,1.8177123388059333,3,MACD histogram negative; elevated volume (1.5x); bearish EMA stack (9<20<50),-2.7657457393033784
move,significant_rise,rise,2213,2020-03-30,5.110202808562058,0.7961110395568626,3,RSI reclaimed 50; MACD histogram positive; above 200-EMA (uptrend),2.034581447014727
move,significant_rise,rise,10,2011-06-27,4.003306805731775,1.9762184445756268,3,MACD histogram positive; bullish EMA stack (9>20>50); above 200-EMA (uptrend),4.484123518077199
move,significant_drop,drop,1855,2018-10-24,-5.617566425204068,1.869365072809801,3,MACD histogram negative; elevated volume (1.9x); bearish EMA stack (9<20<50),3.518372248688735
move,significant_rise,rise,2192,2020-02-28,6.298793133034492,1.7396547345540307,3,snap-back off lower BB; elevated volume (2.1x); above 200-EMA (uptrend),-7.030430081995862
move,significant_drop,drop,1708,2018-03-27,-5.761534737771915,1.8735293027877462,3,RSI lost 50; MACD histogram negative; elevated volume (1.7x),3.2524823885231804
move,significant_drop,drop,2207,2020-03-20,-5.924653353756422,0.7713964141468004,3,MACD histogram negative; bearish EMA stack (9<20<50); below 200-EMA (downtrend),16.658164257218626
move,significant_drop,drop,1631,2017-12-04,-3.9564041818698756,2.4972214002965885,3,RSI lost 50; MACD histogram negative; elevated volume (1.8x),5.550073875647647
move,significant_drop,drop,2821,2022-08-26,-3.937935632489084,1.7463230299602077,3,RSI lost 50; MACD histogram negative; below 200-EMA (downtrend),-5.535453221158931
move,significant_rise,rise,2887,2022-11-30,6.056445783698029,2.2023145624636573,2,MACD histogram positive; elevated volume (1.6x),-3.0336307563219704
move,significant_drop,drop,1154,2016-01-13,-4.014869661790212,1.6217864058956653,2,MACD histogram negative; elevated volume (1.7x),1.2587171447744114
move,significant_drop,drop,1676,2018-02-08,-5.239100430506727,1.8341718950617527,2,MACD histogram negative; elevated volume (1.5x),8.222559331980607
move,significant_rise,rise,1713,2018-04-04,5.099605503411951,1.5792869393404765,2,RSI reclaimed 50; above 200-EMA (uptrend),1.3538394619413614
move,significant_drop,drop,1858,2018-10-29,-3.940432996189043,1.1182146022848605,2,MACD histogram negative; bearish EMA stack (9<20<50),3.7265313466002765
move,significant_drop,drop,2788,2022-07-12,-4.5922997177801275,1.5376995343022817,2,RSI lost 50; below 200-EMA (downtrend),3.390227818348046
move,significant_rise,rise,3477,2025-04-09,10.451428635058752,2.9978273452592292,2,RSI reclaimed 50; elevated volume (1.9x),-5.815767887276039
move,significant_drop,drop,1845,2018-10-10,-4.566697500193581,2.1904390173862804,2,MACD histogram negative; elevated volume (2.2x),2.2042165195646244
move,significant_drop,drop,70,2011-09-21,-3.918667267428619,1.4430091544119898,1,RSI lost 50,-2.0777184029789573
move,significant_rise,rise,79,2011-10-04,4.279839292921507,1.3953053333283774,1,above 200-EMA (uptrend),6.393050205721172
move,significant_rise,rise,2193,2020-03-02,4.524829615878372,1.255732042259146,1,above 200-EMA (uptrend),-6.869607950925316
move,significant_rise,rise,2865,2022-10-28,4.256537035981645,1.1829806219289674,1,MACD histogram positive,-3.3916988873575686
move,significant_drop,drop,2323,2020-09-03,-5.22091900276591,1.9654728509009731,1,elevated volume (1.9x),-5.4716977554834205
move,significant_drop,drop,2194,2020-03-03,-5.345229218526136,1.314123854233846,1,MACD histogram negative,-6.613573635230617
move,significant_rise,rise,2202,2020-03-13,7.681357173596398,1.3337565824445021,1,above 200-EMA (uptrend),-14.386454599314849
move,significant_rise,rise,2204,2020-03-17,4.6928623744419635,0.6638897265108077,0,,0.2387874921452168
move,significant_rise,rise,1897,2018-12-26,5.696865885764371,1.4316513831207838,0,,1.3623734883085747
move,significant_rise,rise,2694,2022-02-24,8.102449737995219,2.4135620727576623,0,,-1.6056251213985109
move,significant_rise,rise,2854,2022-10-13,6.545371385103785,2.036206589887929,0,,3.3640665297258128
