feature,spearman_ic,p,n
dist_ema9,-0.104,0.0,3776
ema9_slope,-0.1039,0.0,3775
dist_lo_20,-0.0945,0.0,3757
dist_ema20,-0.0911,0.0,3776
williams_r,-0.0907,0.0,3763
stoch_k,-0.0907,0.0,3763
bb_pct,-0.0872,0.0,3757
macd_hist,-0.0771,0.0,3776
dist_ema50,-0.0769,0.0,3776
roc_10,-0.0748,0.0,3766
rsi,-0.0737,1e-05,3774
consec_dir,-0.0701,2e-05,3776
mfi,-0.0698,2e-05,3763
dist_ema200,-0.0684,3e-05,3776
candle_ret,-0.0649,7e-05,3776
rsi_slope,-0.0643,8e-05,3772
cc_ret,-0.0631,0.0001,3775
body_dir,-0.0596,0.00025,3776
dist_hi_20,-0.0582,0.00036,3757
ema_stack_bull,-0.0384,0.01829,3776
above_ema200,-0.0328,0.04396,3776
bb_break_up,-0.0316,0.05219,3776
vol_climax,-0.0292,0.07231,3776
bb_width,-0.0261,0.1096,3757
lower_wick,-0.0233,0.15157,3776
macd_bull_cross,-0.0172,0.29087,3776
rsi_overbought,-0.0154,0.34286,3776
gap_pct,-0.0085,0.60358,3775
vol_ratio,-0.0072,0.65724,3776
vol_z,-0.0056,0.73091,3757
range_pct,0.0043,0.79113,3776
body_pct,0.0053,0.7441,3776
atr_pct,0.0124,0.44552,3776
macd_bear_cross,0.0139,0.39212,3776
upper_wick,0.0226,0.16565,3776
ema_stack_bear,0.0417,0.01033,3776
bb_squeeze,0.0566,0.0005,3776
bb_break_dn,0.0656,5e-05,3776
rsi_oversold,0.0761,0.0,3776
