setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
tweezer_bottom,long,14564,50.6,-0.0018,0.0012,0.5,51.3,-0.0052,0.0039,0.84,52.6,0.0009,0.0192,2.9,52.7,-0.0048,0.032,2.46,0.05713057415990146
hammer,long,1811,51.8,0.0053,0.0084,1.17,52.8,0.0112,0.0203,1.51,53.1,0.015,0.0333,1.72,54.1,0.042,0.0787,2.49,0.3389573106970847
inverted_hammer,long,1470,51.8,0.0112,0.0143,1.31,52.5,0.0097,0.0187,1.17,52.6,0.0178,0.0361,1.5,51.8,0.0279,0.0647,2.05,0.35897517329865586
bullish_harami,long,2457,50.9,-0.0005,0.0025,0.38,53.0,0.0003,0.0094,0.85,51.8,-0.0009,0.0174,1.06,53.6,-0.0245,0.0123,0.28,0.0
morning_star,long,510,50.0,0.0064,0.0094,0.7,49.0,-0.0143,-0.0052,-0.22,49.2,0.018,0.0362,1.05,51.4,0.0034,0.0402,0.88,0.19999663837174864
bullish_engulfing,long,3763,49.5,0.0008,0.0039,0.77,50.2,-0.0093,-0.0002,-0.02,51.9,-0.0059,0.0124,0.9,51.2,-0.0196,0.0171,0.57,0.0
piercing,long,426,47.7,-0.0129,-0.0098,-0.74,50.0,-0.0038,0.0053,0.23,53.3,-0.0008,0.0174,0.62,52.3,0.0009,0.0377,0.85,0.0
bearish_harami,short,2639,49.2,-0.008,-0.011,-1.94,49.0,-0.0024,-0.0114,-1.11,48.5,0.034,0.0157,0.43,48.1,0.0388,0.002,0.04,0.8471110575951657
marubozu,long,3685,49.0,-0.015,-0.012,-2.01,51.3,-0.0042,0.0049,0.46,52.3,-0.0168,0.0015,0.05,53.4,-0.0114,0.0254,0.63,0.0
double_bottom,long,3412,49.8,-0.0095,-0.0065,-0.79,51.3,0.0118,0.0208,1.76,51.1,-0.0182,0.0001,0.0,51.3,0.0153,0.0521,1.53,0.0
marubozu,short,3101,45.3,-0.0197,-0.0227,-4.02,46.7,0.0019,-0.0072,-0.24,46.1,0.0156,-0.0027,-0.08,46.9,0.0345,-0.0023,-0.07,0.4004759191843625
shooting_star,short,1815,48.9,-0.0024,-0.0054,-0.85,49.8,0.0102,0.0011,0.09,50.9,0.0145,-0.0037,-0.2,47.5,0.0073,-0.0295,-1.09,0.3144300894535223
dark_cloud_cover,short,402,46.0,-0.0038,-0.0068,-0.29,45.8,-0.0155,-0.0246,-0.84,44.5,-0.008,-0.0262,-0.64,46.0,0.0476,0.0108,0.22,0.0
three_white_soldiers,long,233,45.9,0.0088,0.0119,0.51,50.6,0.0192,0.0283,0.62,45.9,-0.0544,-0.0361,-0.7,48.5,-0.0623,-0.0255,-0.37,0.0
double_top,short,3144,48.7,0.0035,0.0005,0.06,48.0,-0.0078,-0.0169,-1.38,48.7,0.0014,-0.0169,-0.95,45.5,-0.0412,-0.078,-3.32,0.03822946898087914
hanging_man,short,2069,47.8,-0.011,-0.0141,-2.43,49.9,-0.0055,-0.0146,-1.11,49.8,-0.0036,-0.0219,-1.2,47.9,-0.0039,-0.0407,-1.68,0.0
tweezer_top,short,16508,47.8,0.0006,-0.0025,-0.4,48.4,0.0064,-0.0027,-0.26,48.0,0.0033,-0.015,-1.34,47.8,0.0255,-0.0113,-0.77,0.2035178037617348
evening_star,short,602,47.8,0.0095,0.0064,0.49,46.8,-0.0083,-0.0174,-0.76,46.7,-0.0486,-0.0668,-1.37,48.0,0.0017,-0.0351,-0.57,0.0
three_black_crows,short,201,37.8,-0.0593,-0.0624,-2.27,44.8,-0.0548,-0.0639,-1.59,42.3,-0.0651,-0.0834,-1.74,39.8,-0.0269,-0.0637,-0.82,0.0
bearish_engulfing,short,3722,47.7,0.0008,-0.0023,-0.48,48.0,-0.0133,-0.0224,-2.57,47.9,-0.0187,-0.037,-2.68,47.0,-0.0379,-0.0747,-3.82,0.0
