event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_rise,rise,56977,2025-12-08 17:55:00,1.424206046054793,4.661193113066514,9,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 3 up-bars in a row,0.01614031312207518
move,significant_drop,drop,40269,2025-01-29 18:00:00,-2.0829943043124506,3.5846249388216003,8,MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,1.130131294665115
move,significant_drop,drop,36939,2024-11-21 15:00:00,-1.001921493274779,0.9522420465630173,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (1.5x); lost VWAP; below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-1.566615832524602
move,significant_rise,rise,1621,2023-02-01 19:35:00,1.7401680505145924,3.060940421817711,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.2x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,2.783071885842737
move,significant_rise,rise,31317,2024-08-12 13:30:00,1.8527226558826284,3.3911535350624376,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,-0.5355493998153262
move,significant_rise,rise,62116,2026-03-16 19:05:00,2.167992156008274,6.606653466992344,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,-2.2312859884836866
move,significant_rise,rise,56239,2025-11-21 18:45:00,1.6124125342257334,2.6873736189910447,8,MACD bullish cross; MACD histogram positive; elevated volume (2.7x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 6 up-bars in a row,-0.4572672836145754
move,significant_rise,rise,62595,2026-03-25 13:30:00,0.9373169656188736,3.101100993173474,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,0.011190575674454119
move,significant_drop,drop,12444,2023-08-23 13:35:00,-1.253600418957831,2.7755418189730348,8,RSI lost 50; MACD histogram negative; elevated volume (2.0x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,2.334626051023677
move,significant_rise,rise,54828,2025-10-28 17:10:00,1.3782938119004011,3.5965577848971035,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,0.5815733088460291
