feature,spearman_ic,p,n
dist_hi_20,-0.019,0.0,67640
bb_squeeze,-0.0186,0.0,67659
candle_ret,-0.0185,0.0,67659
cc_ret,-0.0181,0.0,67658
rsi_slope,-0.0162,2e-05,67655
consec_dir,-0.016,3e-05,67659
mfi,-0.0143,0.00021,67621
ema9_slope,-0.0128,0.00086,67658
dist_ema9,-0.0128,0.00086,67659
body_dir,-0.0125,0.00114,67659
stoch_k,-0.0109,0.00469,67646
williams_r,-0.0109,0.00469,67646
bb_pct,-0.0089,0.02025,67640
upper_wick,-0.0084,0.02965,67612
dist_ema20,-0.0071,0.06351,67659
rsi,-0.006,0.12126,67657
macd_hist,-0.0057,0.13495,67659
ema_stack_bull,-0.0051,0.18747,67659
or_position,-0.0048,0.21342,67659
roc_10,-0.0046,0.22835,67649
vwap_dist,-0.0027,0.47681,67659
lower_wick,-0.0025,0.50939,67612
dist_lo_20,-0.0022,0.55908,67640
dist_ema50,-0.002,0.59989,67659
above_ema200,-0.001,0.78593,67659
above_vwap,0.0002,0.96728,67659
gap_pct,0.0005,0.9012,67658
macd_bull_cross,0.0006,0.87402,67659
bb_break_up,0.0022,0.56117,67659
macd_bear_cross,0.0024,0.52625,67659
dist_ema200,0.0028,0.46382,67659
bb_break_dn,0.0034,0.3817,67659
rsi_overbought,0.0044,0.25628,67659
tod_min,0.0061,0.10992,67659
rsi_oversold,0.0067,0.08316,67659
vol_ratio,0.0089,0.02117,67659
body_pct,0.0103,0.00719,67659
ema_stack_bear,0.0111,0.0039,67659
vol_climax,0.0114,0.00304,67659
range_pct,0.0133,0.00056,67612
vol_z,0.0134,0.00051,67640
atr_pct,0.014,0.00028,67659
bb_width,0.0211,0.0,67640
