setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
bullish_engulfing,long,129,53.5,-0.0878,0.1147,0.52,57.4,-0.0568,0.5451,1.71,62.0,-0.0774,0.9289,2.14,57.4,-0.0837,1.9404,2.67,0.0
inverted_hammer,long,54,57.4,0.4323,0.6348,1.84,68.5,0.9826,1.5845,2.33,66.7,0.6625,1.6688,1.9,68.5,0.7004,2.7245,2.46,3.2471966961423053
marubozu,long,87,52.9,-0.0397,0.1627,0.68,60.9,0.2577,0.8596,1.91,60.9,0.0414,1.0478,1.64,56.3,0.4809,2.505,2.63,0.23516747711390706
piercing,long,25,36.0,-0.6837,-0.4812,-0.81,60.0,0.1437,0.7456,0.82,68.0,0.6485,1.6548,1.56,68.0,0.6634,2.6875,2.06,2.2049000000000003
tweezer_bottom,long,110,50.9,0.1755,0.3779,1.63,60.0,-0.0568,0.5451,1.47,58.2,-0.1532,0.8532,1.55,58.2,-0.5555,1.4686,1.8,0.0
bullish_harami,long,129,50.4,-0.1884,0.0141,0.06,52.7,-0.2086,0.3933,0.89,60.5,-0.3479,0.6584,1.22,57.4,-0.5872,1.4369,2.05,0.0
double_bottom,long,90,53.3,0.2471,0.4496,1.85,47.8,0.1337,0.7356,1.69,46.7,-0.3119,0.6945,1.2,48.9,-1.1357,0.8884,1.03,0.0
bull_flag,long,67,53.7,-0.0519,0.1506,0.61,59.7,0.1149,0.7168,1.66,59.7,-0.5353,0.471,0.98,64.2,0.224,2.2481,2.57,0.0
morning_star,long,38,57.9,-0.2697,-0.0672,-0.15,55.3,-1.3077,-0.7058,-0.89,50.0,-0.5363,0.4701,0.42,50.0,-0.9641,1.06,0.59,0.0
hammer,long,58,41.4,-0.7083,-0.5058,-1.51,60.3,-0.2008,0.4011,0.66,55.2,-0.7867,0.2196,0.27,58.6,-0.983,1.0411,0.87,0.0
shooting_star,short,89,42.7,-0.1159,-0.3184,-1.11,47.2,0.3659,-0.236,-0.45,51.7,1.0462,0.0399,0.07,39.3,0.3466,-1.6775,-2.18,5.102702658204889
bearish_harami,short,160,43.1,0.1274,-0.075,-0.44,46.9,0.3033,-0.2986,-0.84,43.1,0.6559,-0.3505,-0.78,51.9,1.8419,-0.1822,-0.29,3.575813769432855
evening_star,short,44,36.4,-0.8201,-1.0226,-2.19,54.5,-0.0001,-0.602,-0.82,45.5,0.1799,-0.8265,-0.9,40.9,-0.4441,-2.4682,-1.71,0.5429613278042922
hanging_man,short,138,53.6,0.3049,0.1024,0.58,47.8,0.4912,-0.1107,-0.29,47.1,0.328,-0.6783,-1.43,37.7,-0.2093,-2.2334,-3.72,1.8148230811492343
marubozu,short,61,42.6,-0.6711,-0.8736,-2.35,44.3,-0.3414,-0.9433,-1.49,37.7,-0.6061,-1.6124,-1.93,41.0,-0.0727,-2.0969,-1.88,0.0
tweezer_top,short,240,49.2,0.2981,0.0957,0.68,46.7,0.2685,-0.3334,-1.17,45.8,0.2753,-0.731,-2.0,43.3,0.5987,-1.4254,-2.82,1.953337601466372
double_top,short,74,35.1,-0.7682,-0.9707,-3.32,37.8,-0.3989,-1.0008,-2.14,36.5,-0.1624,-1.1688,-2.08,35.1,-0.3804,-2.4045,-2.7,0.0
dark_cloud_cover,short,26,34.6,-0.6313,-0.8337,-1.75,38.5,-0.9438,-1.5457,-1.52,42.3,-1.6833,-2.6896,-2.36,42.3,0.788,-1.2361,-0.81,0.0
bearish_engulfing,short,162,40.1,-0.4394,-0.6418,-2.28,38.3,-0.7078,-1.3097,-3.29,38.9,-0.3794,-1.3857,-2.6,40.7,-0.2749,-2.299,-3.41,0.0
