event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,bearish_engulfing,short,1364,2016-11-10,37.7600783653766
candlestick,bearish_engulfing,short,1485,2017-05-08,33.122498658156076
candlestick,tweezer_top,short,1485,2017-05-08,33.122498658156076
candlestick,dark_cloud_cover,short,2207,2020-03-20,29.08383489879604
candlestick,tweezer_top,short,1362,2016-11-08,28.76615909018722
candlestick,bearish_harami,short,3004,2023-05-19,28.29772306596044
candlestick,bullish_harami,long,1869,2018-11-13,-27.39451159012646
structure,double_bottom,long,3002,2023-05-17,25.853271177539728
candlestick,evening_star,short,1237,2016-05-12,24.627500286712255
candlestick,bearish_engulfing,short,3309,2024-08-07,24.213927875342904
candlestick,marubozu,long,2820,2022-08-25,-23.81510505537359
candlestick,tweezer_bottom,long,1360,2016-11-04,23.782749122540586
candlestick,tweezer_top,short,1483,2017-05-04,23.14876529253695
candlestick,tweezer_bottom,long,1175,2016-02-12,22.813841509926295
candlestick,hammer,long,2199,2020-03-10,-22.315000221725263
candlestick,bearish_harami,short,2612,2021-10-27,21.880497054222495
candlestick,bearish_engulfing,short,2705,2022-03-11,20.9683203206417
candlestick,morning_star,long,1361,2016-11-07,20.934483094995034
candlestick,hammer,long,2742,2022-05-04,-20.453430075888726
candlestick,marubozu,long,2185,2020-02-19,-19.733076644324566
candlestick,inverted_hammer,long,1173,2016-02-10,19.70113766821378
candlestick,marubozu,long,2179,2020-02-10,19.67143877343641
structure,double_bottom,long,2179,2020-02-10,19.67143877343641
candlestick,bullish_engulfing,long,1233,2016-05-06,19.416922495943577
candlestick,hanging_man,short,2613,2021-10-28,19.289526590425236
candlestick,three_black_crows,short,1852,2018-10-19,-19.003358105478537
structure,bear_flag,short,1852,2018-10-19,-19.003358105478537
candlestick,bullish_harami,long,1849,2018-10-16,-18.882968570916933
candlestick,hanging_man,short,2615,2021-11-01,18.701358990534228
candlestick,bullish_harami,long,3310,2024-08-08,18.681528419839534
candlestick,bearish_engulfing,short,3425,2025-01-24,-18.20221030981484
candlestick,three_black_crows,short,2720,2022-04-01,-17.950734110015716
candlestick,tweezer_top,short,2178,2020-02-07,17.87829055350333
candlestick,tweezer_bottom,long,1172,2016-02-09,17.850134142017218
candlestick,hanging_man,short,1385,2016-12-12,17.39034075522408
candlestick,inverted_hammer,long,1876,2018-11-23,17.268963517813845
candlestick,marubozu,short,2821,2022-08-26,-17.18942212146667
structure,double_top,short,2821,2022-08-26,-17.18942212146667
candlestick,bullish_harami,long,1232,2016-05-05,17.186161686522723
candlestick,hanging_man,short,1389,2016-12-16,16.840951330224133
candlestick,three_black_crows,short,1524,2017-07-03,16.636760959708646
structure,double_bottom,long,1041,2015-08-03,16.609161454026637
candlestick,tweezer_top,short,2217,2020-04-03,16.41588941554088
candlestick,bearish_harami,short,2763,2022-06-03,-16.415593553772716
candlestick,bearish_harami,short,2766,2022-06-08,-16.339557957038224
candlestick,shooting_star,short,2766,2022-06-08,-16.339557957038224
candlestick,bullish_engulfing,long,59,2011-09-06,15.933235560005555
candlestick,tweezer_top,short,2764,2022-06-06,-15.703177716448948
candlestick,bullish_harami,long,2443,2021-02-26,-15.467206872323844
structure,double_top,short,3160,2024-01-03,15.247321395921452
candlestick,bearish_engulfing,short,2243,2020-05-12,14.963159630356923
candlestick,bearish_harami,short,1733,2018-05-02,14.944102743814202
candlestick,piercing,long,3475,2025-04-07,14.91191893651053
candlestick,marubozu,short,1649,2017-12-29,14.697673419140692
candlestick,marubozu,short,2449,2021-03-08,14.646453013572106
candlestick,shooting_star,short,2849,2022-10-06,-14.493525219673757
candlestick,inverted_hammer,long,35,2011-08-02,-14.42441465718691
candlestick,tweezer_top,short,1839,2018-10-02,-14.238342540178456
candlestick,bearish_harami,short,1839,2018-10-02,-14.238342540178456
