feature,spearman_ic,p,n
bb_squeeze,-0.0632,0.0001,3776
mfi,-0.053,0.00113,3762
ema_stack_bull,-0.047,0.00386,3776
bb_pct,-0.0313,0.05512,3757
dist_hi_20,-0.0274,0.09267,3757
rsi,-0.0266,0.10174,3774
stoch_k,-0.0248,0.12765,3763
williams_r,-0.0248,0.12765,3763
cc_ret,-0.0227,0.16306,3775
candle_ret,-0.0191,0.23997,3776
ema9_slope,-0.0167,0.30626,3775
dist_ema9,-0.0165,0.31079,3776
macd_bull_cross,-0.015,0.35612,3776
roc_10,-0.0142,0.38421,3766
rsi_slope,-0.0115,0.47886,3772
upper_wick,-0.0113,0.48622,3776
gap_pct,-0.011,0.50087,3775
body_dir,-0.0106,0.51542,3776
consec_dir,-0.0097,0.5512,3776
lower_wick,-0.0073,0.6524,3776
dist_ema20,-0.0066,0.68462,3776
bb_break_up,-0.005,0.75844,3776
dist_ema50,-0.0036,0.82478,3776
vol_z,-0.003,0.85359,3757
macd_hist,0.0007,0.96804,3776
dist_lo_20,0.0045,0.78061,3757
vol_ratio,0.0109,0.50502,3776
macd_bear_cross,0.0111,0.49711,3776
above_ema200,0.015,0.35642,3776
rsi_overbought,0.0152,0.35097,3776
ema_stack_bear,0.0205,0.20742,3776
range_pct,0.0206,0.20533,3776
vol_climax,0.0213,0.19099,3776
body_pct,0.025,0.12528,3776
dist_ema200,0.0272,0.09456,3776
bb_width,0.0397,0.01497,3757
atr_pct,0.0401,0.01369,3776
bb_break_dn,0.0479,0.00325,3776
rsi_oversold,0.0634,0.0001,3776
