setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
double_bottom,long,5042,50.0,0.0093,0.01,1.54,50.6,0.0329,0.0347,3.08,50.4,0.0558,0.0594,3.84,49.6,0.0687,0.0758,3.53,1.996945240883205
double_top,short,5055,48.4,0.0039,0.0033,0.49,48.4,0.0424,0.0406,2.29,49.6,0.0771,0.0736,3.49,50.2,0.0813,0.0742,2.92,2.7189212844767687
shooting_star,short,2750,51.9,0.0043,0.0037,0.53,51.8,0.0079,0.0061,0.54,51.3,0.0283,0.0247,1.48,52.1,0.0391,0.032,1.36,0.7613250988424721
piercing,long,765,50.2,0.0125,0.0131,1.07,52.5,0.0265,0.0283,1.05,53.1,0.048,0.0516,1.48,51.1,0.0292,0.0363,0.78,0.7049632473824434
inverted_hammer,long,2688,53.1,0.0021,0.0027,0.33,52.5,0.0092,0.011,0.85,52.6,0.023,0.0265,1.38,51.6,0.0378,0.0449,1.67,0.6272320077547063
three_black_crows,short,459,47.5,-0.0152,-0.0158,-0.9,53.6,0.0259,0.024,0.84,54.9,0.0615,0.0579,1.18,53.4,0.0686,0.0615,0.94,0.7233588562413193
hs_bottom,long,184,59.8,0.0694,0.07,2.29,56.0,0.06,0.0618,1.25,56.0,0.0684,0.0719,1.02,48.9,0.1273,0.1344,1.21,0.5195807353472606
three_white_soldiers,long,461,47.9,-0.0056,-0.005,-0.38,52.5,-0.0136,-0.0118,-0.33,50.3,0.0244,0.028,0.62,46.9,-0.0391,-0.032,-0.52,0.2635167794062458
marubozu,long,6233,48.7,-0.0009,-0.0003,-0.07,49.4,0.0027,0.0045,0.54,49.8,0.002,0.0055,0.35,50.0,0.0119,0.019,0.95,0.07863355344889357
bearish_engulfing,short,5430,47.4,0.0033,0.0026,0.2,47.7,-0.0033,-0.0051,-0.33,48.0,0.0034,-0.0002,-0.01,48.7,-0.0046,-0.0117,-0.51,0.12025968701106783
hammer,long,2984,50.6,0.0094,0.01,1.15,51.5,-0.0014,0.0005,0.04,52.1,-0.0046,-0.001,-0.06,50.5,-0.0645,-0.0574,-1.41,0.0
hs_top,short,157,45.9,-0.0178,-0.0185,-0.56,47.8,-0.0038,-0.0056,-0.11,51.0,-0.0538,-0.0574,-0.7,47.8,-0.0132,-0.0203,-0.18,0.0
bullish_engulfing,long,5485,49.1,-0.007,-0.0064,-1.32,49.7,-0.0227,-0.0209,-2.27,49.8,-0.0193,-0.0158,-0.9,49.0,-0.0205,-0.0134,-0.61,0.0
marubozu,short,6158,46.7,-0.0073,-0.0079,-1.79,48.3,-0.0046,-0.0064,-0.81,48.5,-0.0076,-0.0112,-0.95,48.6,-0.0086,-0.0157,-0.78,0.0
dark_cloud_cover,short,791,50.2,-0.0134,-0.014,-1.12,51.5,-0.0309,-0.0328,-1.38,49.7,-0.0397,-0.0433,-1.2,48.9,0.0153,0.0082,0.08,0.0
bullish_harami,long,3990,51.2,-0.005,-0.0044,-0.64,51.3,-0.0147,-0.0129,-1.19,50.7,-0.0312,-0.0277,-1.21,49.4,-0.0401,-0.033,-1.2,0.0
evening_star,short,1038,49.1,-0.012,-0.0126,-1.03,49.2,-0.0077,-0.0095,-0.47,48.6,-0.035,-0.0386,-1.28,47.4,-0.0436,-0.0507,-1.15,0.0
morning_star,long,934,48.7,-0.0095,-0.0088,-0.74,47.4,-0.0193,-0.0175,-0.79,48.9,-0.1107,-0.1072,-1.37,46.4,-0.1105,-0.1034,-1.23,0.0
hanging_man,short,2995,51.1,0.0085,0.0079,1.14,50.2,-0.0006,-0.0024,-0.2,49.6,-0.0235,-0.027,-1.59,48.7,-0.0169,-0.024,-0.96,0.0
bearish_harami,short,3936,50.6,0.0044,0.0038,0.52,50.8,-0.0032,-0.005,-0.43,49.8,-0.029,-0.0325,-2.15,49.8,-0.0332,-0.0403,-1.8,0.0
tweezer_top,short,24073,49.0,-0.0013,-0.0019,-0.77,49.2,-0.012,-0.0139,-3.35,49.5,-0.012,-0.0155,-2.7,49.1,-0.018,-0.0251,-2.99,0.0
tweezer_bottom,long,23319,49.7,-0.0102,-0.0095,-4.07,50.4,-0.0227,-0.0209,-4.06,50.2,-0.0296,-0.0261,-3.27,49.8,-0.0396,-0.0325,-2.86,0.0
