event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_drop,drop,47921,2023-06-14 18:00:00,-1.337324573339045,3.9427096380768427,9,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-0.32310177705977117
move,significant_drop,drop,59261,2024-01-16 14:30:00,-1.282706697030251,3.1003588701673044,9,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,3.1731086107057145
move,significant_drop,drop,19751,2022-01-05 14:30:00,-1.2302514560736693,2.5962433731459886,9,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,2.8769166938851303
move,significant_drop,drop,38352,2022-12-16 14:35:00,-1.1973392461197254,2.285469201706766,9,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.3x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,-0.993844575532195
move,significant_drop,drop,94062,2025-10-29 18:35:00,-1.3872631898382923,4.088244870949048,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.2x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,1.4485426649668034
move,significant_rise,rise,28465,2022-06-15 18:35:00,1.5972232435691929,1.7975749989273437,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.0x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,0.5804947958134876
move,significant_drop,drop,35737,2022-10-28 13:45:00,-2.2583078219974158,3.5870594840755934,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.4x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); 3 down-bars in a row,-0.6718111665910205
move,significant_drop,drop,78281,2025-01-07 15:00:00,-1.3387144403976763,1.7423504585817446,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.2x); lost VWAP; below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,-1.8282949216801458
move,significant_drop,drop,36982,2022-11-21 14:30:00,-1.3315124615909886,2.3176191077445263,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.28835063437139563
move,significant_rise,rise,47163,2023-05-31 19:50:00,1.5534465534465602,4.0374005834187106,8,MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 4 up-bars in a row,-1.160788942993465
move,significant_drop,drop,56333,2023-11-17 14:30:00,-1.179260536811475,2.8504324633176035,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); 3 down-bars in a row,0.12216937911776306
move,significant_drop,drop,33682,2022-09-21 18:00:00,-1.1909397715472532,4.061046233163545,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,1.8752668396334788
move,significant_rise,rise,46147,2023-05-11 19:40:00,1.2675392052823993,5.012415514719936,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,3.021482214589275
move,significant_drop,drop,70144,2024-08-06 13:40:00,-1.4684923139570494,1.9915677790299455,8,MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,1.8726591760299627
move,significant_rise,rise,37491,2022-11-30 20:50:00,1.3563760146635264,2.8132735875795736,8,MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 3 up-bars in a row,0.7595329130929002
