feature,spearman_ic,p,n
ema_stack_bear,-0.0106,0.00052,106793
rsi_slope,-0.009,0.00319,106790
macd_bull_cross,-0.0073,0.01695,106793
body_dir,-0.0069,0.0251,106793
consec_dir,-0.0066,0.02988,106793
candle_ret,-0.0062,0.04121,106793
macd_bear_cross,-0.0062,0.04313,106793
cc_ret,-0.0061,0.04565,106792
upper_wick,-0.0054,0.07834,106687
macd_hist,-0.0043,0.15529,106793
rsi_oversold,-0.0031,0.30365,106793
mfi,-0.0019,0.53404,106755
bb_squeeze,-0.0018,0.55772,106793
bb_break_dn,-0.0012,0.6878,106793
lower_wick,-0.0003,0.91653,106687
atr_pct,0.0004,0.88602,106793
gap_pct,0.0006,0.84878,106792
dist_ema9,0.0014,0.63691,106793
ema9_slope,0.0014,0.63681,106792
tod_min,0.0018,0.54895,106793
range_pct,0.0035,0.25416,106687
stoch_k,0.0037,0.22096,106780
williams_r,0.0037,0.22096,106780
roc_10,0.004,0.19095,106783
vol_climax,0.0042,0.16592,106793
dist_hi_20,0.0042,0.16699,106774
bb_pct,0.0048,0.11452,106774
body_pct,0.0058,0.05669,106793
bb_width,0.006,0.0517,106774
dist_ema20,0.0078,0.01119,106793
vol_ratio,0.0081,0.00835,106793
vol_z,0.0082,0.0076,106774
ema_stack_bull,0.0083,0.00648,106793
dist_lo_20,0.0092,0.00265,106774
bb_break_up,0.0108,0.0004,106793
rsi,0.0122,7e-05,106792
above_ema200,0.0124,5e-05,106793
dist_ema200,0.0127,3e-05,106793
dist_ema50,0.0132,2e-05,106793
or_position,0.0133,1e-05,106793
above_vwap,0.0199,0.0,106793
vwap_dist,0.0203,0.0,106793
rsi_overbought,0.0209,0.0,106793
