setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
double_bottom,long,54,48.1,0.136,0.3398,0.97,63.0,0.8323,1.4456,2.41,63.0,0.9203,1.9554,2.61,53.7,0.4976,2.5976,1.86,4.260561625435549
bull_flag,long,51,62.7,0.6838,0.8876,1.74,56.9,1.2832,1.8965,1.43,58.8,0.9948,2.0299,1.61,54.9,1.64,3.74,2.12,4.1773242844200835
tweezer_top,short,130,49.2,0.2974,0.0936,0.35,53.8,1.0731,0.4598,1.02,57.7,1.9649,0.9297,1.53,49.2,2.099,-0.001,-0.0,12.926708097325001
bullish_engulfing,long,140,46.4,0.0364,0.2402,0.79,50.7,-0.0118,0.6015,1.4,52.9,-0.2554,0.7797,1.45,58.6,-0.0847,2.0153,2.35,0.0
hammer,long,91,50.5,0.0613,0.2651,0.78,52.7,-0.1545,0.4588,0.72,56.0,-0.086,0.9491,1.07,57.1,0.2157,2.3157,1.85,0.0
inverted_hammer,long,52,42.3,-0.4975,-0.2937,-0.7,44.2,-0.922,-0.3087,-0.34,55.8,-0.2401,0.795,0.68,50.0,-1.5776,0.5224,0.33,0.0
bullish_harami,long,140,48.6,-0.0309,0.1729,0.52,50.0,-0.635,-0.0217,-0.04,53.6,-0.5855,0.4496,0.68,57.1,-0.2782,1.8218,1.81,0.0
tweezer_bottom,long,76,40.8,-0.4501,-0.2463,-0.73,48.7,-0.6461,-0.0328,-0.05,50.0,-0.7632,0.272,0.33,53.9,0.0693,2.1694,1.88,0.0
morning_star,long,33,60.6,0.3974,0.6012,1.28,45.5,-0.3564,0.2569,0.26,57.6,-0.7981,0.237,0.15,51.5,-1.1465,0.9535,0.42,0.0
marubozu,long,74,51.4,0.5784,0.7822,1.89,52.7,-1.0766,-0.4633,-0.75,52.7,-1.2927,-0.2575,-0.33,47.3,-2.0609,0.0391,0.03,0.0
dark_cloud_cover,short,34,38.2,0.7622,0.5584,0.68,41.2,0.5227,-0.0906,-0.09,44.1,0.3194,-0.7157,-0.39,47.1,-2.3402,-4.4402,-1.39,0.8213210615291928
double_top,short,60,53.3,-0.02,-0.2238,-0.42,46.7,-0.1396,-0.7529,-0.94,50.0,0.475,-0.5602,-0.6,50.0,1.6947,-0.4054,-0.27,1.839667089448523
hanging_man,short,86,44.2,0.0885,-0.1153,-0.38,50.0,0.2708,-0.3425,-0.48,48.8,0.4352,-0.5999,-0.76,48.8,1.1461,-0.9539,-0.88,1.9695088393889881
bear_flag,short,27,40.7,-0.2441,-0.4479,-0.56,37.0,-1.1357,-1.749,-1.26,40.7,-0.7233,-1.7585,-1.14,33.3,-0.7697,-2.8697,-1.35,0.0
evening_star,short,37,59.5,0.254,0.0502,0.08,54.1,0.0985,-0.5148,-0.56,48.6,-0.4611,-1.4962,-1.3,54.1,1.979,-0.121,-0.07,0.0
shooting_star,short,100,50.0,0.2078,0.004,0.01,47.0,0.0371,-0.5762,-1.01,50.0,-0.1824,-1.2175,-1.71,50.0,0.5502,-1.5498,-1.21,0.0
marubozu,short,64,39.1,-0.8415,-1.0453,-2.0,45.3,-0.5262,-1.1395,-1.47,37.5,-1.5185,-2.5536,-2.24,40.6,-3.7437,-5.8437,-3.08,0.0
bearish_harami,short,155,42.6,-0.4462,-0.65,-2.33,45.2,-0.4287,-1.042,-2.48,45.8,-0.0521,-1.0873,-2.25,43.9,-0.2742,-2.3742,-2.93,0.0
bearish_engulfing,short,160,42.5,-0.5921,-0.7959,-2.66,41.2,-0.4617,-1.075,-2.17,41.9,-0.8121,-1.8473,-2.76,43.8,-0.3757,-2.4758,-2.75,0.0
