event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,marubozu,short,475,2013-05-03,60.95322929411871
candlestick,bearish_engulfing,short,477,2013-05-07,52.83732049833131
candlestick,dark_cloud_cover,short,2275,2020-06-26,44.81630595292152
candlestick,hammer,long,2199,2020-03-10,-44.025536890141204
candlestick,shooting_star,short,474,2013-05-02,41.859179996419094
candlestick,hammer,long,2218,2020-04-06,41.37416886020625
candlestick,hanging_man,short,2220,2020-04-08,37.360621305519764
structure,bear_flag,short,1794,2018-07-30,30.809519494680483
candlestick,marubozu,short,675,2014-02-19,30.417273640432324
candlestick,marubozu,short,473,2013-05-01,30.255263600195676
structure,bull_flag,long,2221,2020-04-09,30.254792812511326
candlestick,inverted_hammer,long,2198,2020-03-09,-29.243419411852727
structure,bull_flag,long,2277,2020-06-30,29.122717508852713
structure,double_bottom,long,2307,2020-08-12,28.75492613556902
structure,double_top,short,650,2014-01-13,28.1469815119687
candlestick,hammer,long,2373,2020-11-13,27.74785100414968
candlestick,evening_star,short,2102,2019-10-18,27.538441205056913
candlestick,bearish_engulfing,short,2899,2022-12-16,-27.37801931913276
candlestick,dark_cloud_cover,short,3278,2024-06-24,26.66228074683991
candlestick,bullish_harami,long,1853,2018-10-22,26.42268320194227
candlestick,hanging_man,short,2186,2020-02-20,-25.730203255066108
candlestick,bullish_harami,long,2195,2020-03-04,-25.210142992360478
candlestick,bearish_harami,short,673,2014-02-14,25.10719815813795
candlestick,morning_star,long,2921,2023-01-20,24.91381048519679
candlestick,tweezer_bottom,long,2707,2022-03-15,24.594403990420126
candlestick,bullish_engulfing,long,3449,2025-02-28,-24.17571657922732
candlestick,tweezer_top,short,3496,2025-05-07,24.111217800734643
candlestick,bearish_harami,short,2105,2019-10-23,23.653216780459395
candlestick,hammer,long,3359,2024-10-17,21.866088634713126
candlestick,bullish_engulfing,long,3442,2025-02-19,-21.802192668028233
candlestick,morning_star,long,3442,2025-02-19,-21.802192668028233
candlestick,bearish_engulfing,short,3580,2025-09-08,21.714781335470036
candlestick,marubozu,long,2604,2021-10-15,21.568621488648734
structure,bear_flag,short,1167,2016-02-02,-21.397307150960835
candlestick,marubozu,long,603,2013-11-04,-21.347027377637385
candlestick,bearish_engulfing,short,2005,2019-06-03,21.30525447831169
structure,hs_top,short,649,2014-01-10,21.24622554389521
candlestick,bullish_harami,long,2208,2020-03-23,20.65670518519143
structure,hs_bottom,long,2376,2020-11-18,20.368235242215246
structure,bear_flag,short,149,2012-01-13,20.31595071638966
structure,double_top,short,149,2012-01-13,20.31595071638966
candlestick,marubozu,short,149,2012-01-13,20.31595071638966
candlestick,evening_star,short,149,2012-01-13,20.31595071638966
candlestick,shooting_star,short,3582,2025-09-10,19.856808954209416
candlestick,bullish_harami,long,2371,2020-11-11,19.691706107671088
candlestick,tweezer_top,short,1890,2018-12-14,-19.228349153541355
candlestick,bearish_harami,short,2611,2021-10-26,19.189343445789277
candlestick,marubozu,long,2155,2020-01-06,19.13008276842904
candlestick,dark_cloud_cover,short,3450,2025-03-03,-18.995254953384173
candlestick,inverted_hammer,long,2372,2020-11-12,18.906654494024146
structure,bull_flag,long,2154,2020-01-03,18.475875146486878
candlestick,bearish_engulfing,short,1756,2018-06-05,18.428189581662487
candlestick,hammer,long,2448,2021-03-05,18.394513052216908
candlestick,tweezer_bottom,long,3362,2024-10-22,18.158455911641415
candlestick,hammer,long,3362,2024-10-22,18.158455911641415
structure,bull_flag,long,3393,2024-12-05,18.062741215159463
candlestick,bearish_engulfing,short,2647,2021-12-16,18.01881743954578
candlestick,marubozu,short,2647,2021-12-16,18.01881743954578
candlestick,bearish_engulfing,short,2315,2020-08-24,17.925236478278723
candlestick,bearish_harami,short,461,2013-04-15,17.80600036720862
structure,hs_top,short,509,2013-06-21,17.709688657912263
candlestick,tweezer_top,short,2187,2020-02-21,-17.46725351191367
candlestick,inverted_hammer,long,2207,2020-03-20,17.449067495794257
candlestick,bearish_engulfing,short,2181,2020-02-12,17.426261422520753
candlestick,tweezer_bottom,long,2843,2022-09-28,-17.261385322678777
candlestick,bullish_engulfing,long,678,2014-02-24,17.08705672712388
candlestick,tweezer_top,short,2619,2021-11-05,-17.077305119788154
structure,bull_flag,long,2172,2020-01-30,16.738186655965677
candlestick,shooting_star,short,1759,2018-06-08,16.738019613038684
candlestick,bearish_engulfing,short,2669,2022-01-19,-16.72776465765585
candlestick,bearish_engulfing,short,2981,2023-04-18,-16.580759569962265
candlestick,hammer,long,2916,2023-01-12,16.340241858480038
candlestick,tweezer_top,short,3103,2023-10-11,-16.304799124030943
candlestick,bullish_engulfing,long,2912,2023-01-06,16.30108644307983
candlestick,tweezer_top,short,124,2011-12-07,-16.291305552092126
candlestick,bearish_harami,short,2257,2020-06-02,16.2768302841849
candlestick,dark_cloud_cover,short,470,2013-04-26,16.21095883674817
candlestick,piercing,long,2928,2023-01-31,16.204821537707495
candlestick,tweezer_bottom,long,33,2011-07-29,-16.080939425050683
candlestick,bearish_harami,short,269,2012-07-06,16.03741163741173
candlestick,bullish_engulfing,long,3015,2023-06-06,16.031815723523508
candlestick,hanging_man,short,95,2011-10-26,16.011461732628124
structure,bear_flag,short,2881,2022-11-21,15.98260714329864
candlestick,bearish_harami,short,2866,2022-10-31,-15.926866178994306
candlestick,bullish_engulfing,long,1704,2018-03-21,-15.922655753930146
candlestick,tweezer_top,short,1226,2016-04-27,-15.882613077355584
candlestick,tweezer_bottom,long,1521,2017-06-28,-15.628704498489416
candlestick,bullish_harami,long,1521,2017-06-28,-15.628704498489416
candlestick,hammer,long,3169,2024-01-17,-15.272557505388004
candlestick,tweezer_bottom,long,3169,2024-01-17,-15.272557505388004
candlestick,tweezer_top,short,648,2014-01-09,15.237580497181543
candlestick,bearish_engulfing,short,648,2014-01-09,15.237580497181543
candlestick,bearish_engulfing,short,1793,2018-07-27,15.07840327233707
candlestick,inverted_hammer,long,2670,2022-01-20,-15.048127973681128
candlestick,bullish_harami,long,2670,2022-01-20,-15.048127973681128
structure,double_bottom,long,319,2012-09-17,-14.996913892998693
candlestick,bearish_harami,short,514,2013-06-28,14.9869603727911
candlestick,bearish_engulfing,short,254,2012-06-14,14.971115976830479
candlestick,tweezer_top,short,254,2012-06-14,14.971115976830479
candlestick,marubozu,short,1520,2017-06-27,-14.774956082348064
candlestick,bearish_harami,short,2178,2020-02-07,14.748615727223473
candlestick,shooting_star,short,460,2013-04-12,14.719985992433168
structure,bull_flag,long,3498,2025-05-09,14.69522736444204
structure,hs_bottom,long,1854,2018-10-23,14.68009047423494
structure,double_bottom,long,1854,2018-10-23,14.68009047423494
candlestick,bearish_engulfing,short,1839,2018-10-02,-14.663478628153712
candlestick,bullish_engulfing,long,2789,2022-07-13,14.624819749755593
candlestick,bullish_harami,long,2882,2022-11-22,14.590072833752215
candlestick,shooting_star,short,2139,2019-12-11,14.556288337262949
structure,double_top,short,2896,2022-12-13,-14.52624421704208
candlestick,bearish_engulfing,short,2383,2020-11-30,14.496124049763331
candlestick,bearish_harami,short,463,2013-04-17,14.411451142170574
candlestick,hammer,long,3431,2025-02-03,-14.381774846000287
candlestick,bullish_engulfing,long,2434,2021-02-12,-14.370436988954822
candlestick,bearish_engulfing,short,3745,2026-05-05,14.356523254869785
candlestick,bullish_harami,long,3304,2024-07-31,-14.318959769714393
candlestick,hammer,long,77,2011-09-30,14.309161292290245
candlestick,bullish_harami,long,77,2011-09-30,14.309161292290245
candlestick,hammer,long,1164,2016-01-28,-14.285712131167273
candlestick,bullish_harami,long,1164,2016-01-28,-14.285712131167273
candlestick,bearish_engulfing,short,2754,2022-05-20,14.212979182337149
candlestick,inverted_hammer,long,2492,2021-05-07,-14.209437037905461
candlestick,bullish_harami,long,2492,2021-05-07,-14.209437037905461
candlestick,bullish_engulfing,long,3432,2025-02-04,-14.201571327341552
candlestick,marubozu,short,1909,2019-01-14,-13.99820518719552
candlestick,tweezer_top,short,1888,2018-12-12,-13.971632794189986
candlestick,tweezer_bottom,long,32,2011-07-28,-13.951009679819595
candlestick,bullish_harami,long,252,2012-06-12,13.890788795683095
candlestick,bearish_engulfing,short,3303,2024-07-30,-13.862187264044639
