event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_rise,rise,651,2014-01-14,14.782915559505103,3.0486690614746808,6,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; bullish EMA stack (9>20>50); above 200-EMA (uptrend),12.544185126477014
move,significant_drop,drop,149,2012-01-13,-19.753522572241476,2.9431750909090617,5,MACD bearish cross; MACD histogram negative; volume climax (distribution); bearish EMA stack (9<20<50); below 200-EMA (downtrend),20.31595071638966
move,significant_drop,drop,3516,2025-06-05,-11.718186353591705,1.7577352004334525,5,RSI lost 50; MACD histogram negative; elevated volume (2.5x); below 200-EMA (downtrend); 7 down-bars in a row,14.264131931975923
move,significant_rise,rise,2174,2020-02-03,15.780255905040317,3.736891065465375,5,MACD histogram positive; elevated volume (2.2x); bullish EMA stack (9>20>50); above 200-EMA (uptrend); 4 up-bars in a row,-0.720515617957482
move,significant_rise,rise,2107,2019-10-25,10.214299964213188,2.6598599904484352,5,MACD histogram positive; volume climax; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 4 up-bars in a row,-3.2487122868434186
move,significant_rise,rise,480,2013-05-10,10.208184107765891,1.6765372192834764,4,MACD histogram positive; volume climax; bullish EMA stack (9>20>50); above 200-EMA (uptrend),17.170406710880954
move,significant_drop,drop,2736,2022-04-26,-11.95563219976547,1.8526781524788218,4,RSI lost 50; MACD histogram negative; elevated volume (1.9x); below 200-EMA (downtrend),8.694459034326684
move,significant_drop,drop,3455,2025-03-10,-12.033737307981934,1.278013669119878,4,MACD histogram negative; elevated volume (1.9x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),1.4224639878143988
move,significant_drop,drop,525,2013-07-16,-13.644284547168589,2.331849853952772,4,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution),11.600175649231502
move,significant_rise,rise,526,2013-07-17,12.889611098147903,2.1684368806997276,4,RSI reclaimed 50; elevated volume (2.5x); bullish EMA stack (9>20>50); above 200-EMA (uptrend),3.176698784273535
move,significant_rise,rise,1800,2018-08-07,10.391461064617731,2.2681369559170763,4,MACD histogram positive; volume climax; bullish EMA stack (9>20>50); above 200-EMA (uptrend),-10.770085294016333
move,significant_rise,rise,2284,2020-07-10,10.648284853613177,2.2836969137533742,4,MACD histogram positive; elevated volume (1.8x); bullish EMA stack (9>20>50); above 200-EMA (uptrend),6.367134960782696
