feature,spearman_ic,p,n
above_ema200,-0.0285,0.07955,3776
consec_dir,-0.0163,0.31622,3776
ema_stack_bear,-0.0155,0.34088,3776
dist_ema200,-0.0117,0.47212,3776
body_dir,-0.0097,0.54942,3776
candle_ret,-0.0097,0.55104,3776
bb_squeeze,-0.0071,0.66469,3776
macd_bear_cross,-0.0053,0.74692,3776
rsi_slope,-0.0046,0.77612,3772
macd_bull_cross,0.0009,0.95734,3776
upper_wick,0.0048,0.7704,3776
bb_break_dn,0.0055,0.73316,3776
cc_ret,0.0063,0.69748,3775
vol_climax,0.0068,0.67481,3776
vol_ratio,0.0071,0.66235,3776
ema_stack_bull,0.0073,0.65479,3776
dist_hi_20,0.0093,0.568,3757
lower_wick,0.0094,0.56423,3776
body_pct,0.0165,0.30993,3776
vol_z,0.0167,0.30515,3757
dist_ema50,0.0171,0.29235,3776
stoch_k,0.0191,0.24195,3763
williams_r,0.0191,0.24195,3763
gap_pct,0.0214,0.1893,3775
ema9_slope,0.0239,0.14192,3775
dist_ema9,0.024,0.14047,3776
rsi_oversold,0.027,0.0974,3776
dist_ema20,0.0326,0.04507,3776
range_pct,0.0341,0.036,3776
mfi,0.0347,0.03334,3761
rsi,0.0351,0.03087,3774
roc_10,0.0365,0.02511,3766
atr_pct,0.0396,0.01504,3776
bb_pct,0.0522,0.00137,3757
rsi_overbought,0.0541,0.00088,3776
macd_hist,0.0571,0.00044,3776
dist_lo_20,0.0611,0.00018,3757
bb_break_up,0.0928,0.0,3776
bb_width,0.0968,0.0,3757
