setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
piercing,long,809,53.3,0.0042,0.0045,0.99,53.3,0.0165,0.0174,1.69,52.5,0.0296,0.0315,2.23,53.5,0.0314,0.0352,2.0,0.44200305926543093
hammer,long,2766,47.3,-0.0028,-0.0025,-0.53,50.8,0.0057,0.0066,0.99,50.7,0.0144,0.0163,1.93,50.3,0.0096,0.0134,1.21,0.38396933295543284
morning_star,long,898,49.4,0.0006,0.0009,0.19,51.7,0.0144,0.0153,1.52,52.0,0.0227,0.0245,1.85,54.1,0.0388,0.0426,2.37,0.35372631449752223
dark_cloud_cover,short,820,47.4,-0.0097,-0.0101,-2.13,47.8,0.0738,0.0729,0.9,44.1,0.0643,0.0624,0.76,46.1,0.0613,0.0576,0.69,0.8120008588331665
double_bottom,long,5524,48.2,-0.0039,-0.0036,-0.87,48.0,0.0009,0.0018,0.37,49.7,0.0027,0.0046,0.73,51.5,-0.005,-0.0013,-0.09,0.09973486125543066
bullish_engulfing,long,5111,49.4,0.0012,0.0015,0.57,49.5,-0.0012,-0.0003,-0.08,50.0,0.0022,0.0041,0.71,50.5,0.0036,0.0073,0.94,0.07864038402754657
bullish_harami,long,4056,47.8,-0.0001,0.0002,0.08,51.0,0.0042,0.0051,1.42,51.0,-0.0008,0.0011,0.18,51.4,0.0104,0.0141,1.76,0.0
tweezer_top,short,25434,46.7,-0.0032,-0.0035,-4.23,47.3,-0.0012,-0.0022,-0.73,47.1,0.0028,0.001,0.17,47.4,0.0101,0.0063,0.83,0.21032275985484783
three_black_crows,short,362,44.2,-0.0147,-0.015,-1.66,42.0,-0.0135,-0.0144,-1.07,45.6,0.0031,0.0012,0.07,45.9,-0.0474,-0.0512,-1.77,0.02689557427384661
marubozu,short,11162,46.7,-0.0034,-0.0037,-3.44,47.1,-0.0064,-0.0073,-3.65,46.7,0.0022,0.0003,0.03,47.6,0.0048,0.0011,0.11,0.10854518682613248
three_white_soldiers,long,364,51.1,-0.0007,-0.0004,-0.06,47.3,0.0046,0.0056,0.47,47.0,-0.0028,-0.0009,-0.06,52.5,0.0245,0.0283,1.3,0.0
marubozu,long,11749,47.5,-0.0032,-0.0029,-2.79,47.9,-0.0027,-0.0017,-0.96,48.9,-0.0024,-0.0006,-0.22,50.8,0.0018,0.0055,1.42,0.0
evening_star,short,919,46.6,-0.0011,-0.0014,-0.31,47.3,-0.0009,-0.0018,-0.24,47.0,-0.0015,-0.0034,-0.33,45.4,0.0467,0.043,0.58,0.0
inverted_hammer,long,2747,49.7,-0.0169,-0.0166,-0.68,51.4,-0.0169,-0.016,-0.65,50.9,-0.014,-0.0121,-0.48,52.0,-0.0123,-0.0085,-0.33,0.0
tweezer_bottom,long,23901,48.2,-0.0005,-0.0002,-0.14,49.0,-0.0058,-0.0049,-1.47,50.2,-0.0044,-0.0025,-0.67,51.1,-0.0032,0.0005,0.12,0.0
double_top,short,5208,47.5,-0.0018,-0.0021,-0.67,48.2,-0.0035,-0.0045,-0.98,47.7,-0.0032,-0.0051,-0.76,47.1,-0.0104,-0.0141,-1.6,0.0
shooting_star,short,2940,48.0,-0.0045,-0.0049,-1.47,49.8,0.0018,0.0009,0.2,48.2,-0.0051,-0.007,-1.14,48.2,0.0016,-0.0021,-0.22,0.0
bearish_harami,short,4307,47.6,-0.0016,-0.0019,-1.06,48.9,-0.0007,-0.0017,-0.52,48.3,-0.0051,-0.007,-1.47,47.9,-0.0066,-0.0104,-1.39,0.0
hanging_man,short,3035,47.5,-0.0044,-0.0047,-2.12,47.9,-0.0062,-0.0071,-1.81,47.1,-0.0101,-0.012,-2.12,47.0,-0.0076,-0.0113,-1.32,0.0
bearish_engulfing,short,5076,47.1,-0.0011,-0.0014,-0.65,47.6,-0.0034,-0.0044,-1.13,46.9,-0.0112,-0.013,-2.41,46.8,-0.0152,-0.019,-2.48,0.0
