event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_rise,rise,50584,2023-08-16 13:30:00,0.5124999999999957,3.0718842756961666,9,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.6x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 3 up-bars in a row,-0.9265016788956477
move,significant_drop,drop,11952,2021-08-16 13:35:00,-0.4637971304637926,3.5774890591631063,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,1.304012604337765
move,significant_drop,drop,99120,2026-02-19 20:30:00,-0.7090503505417468,2.8128633449749985,8,MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,-1.9898900746208696
move,significant_drop,drop,17497,2021-11-26 17:50:00,-0.6397028477094558,2.907194198338203,8,MACD bearish cross; MACD histogram negative; elevated volume (2.6x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-0.7476635514018581
move,significant_rise,rise,40312,2023-02-01 19:35:00,0.6807470762785787,4.135587814302742,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.3x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,0.7385575589459069
move,significant_drop,drop,60965,2024-02-29 20:55:00,-0.5094243504839483,4.413656960686406,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,-0.22188086704216173
move,significant_rise,rise,43129,2023-03-27 13:30:00,0.6055938670493791,2.929716935609057,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.9x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,0.13221990257480706
move,significant_drop,drop,82297,2025-04-08 19:05:00,-0.6991321118611359,1.5490548722764914,8,MACD bearish cross; MACD histogram negative; elevated volume (2.2x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-1.2867200776887622
move,significant_rise,rise,103573,2026-05-13 13:35:00,1.127440595940603,3.6659427663960416,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.7x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 6 up-bars in a row,0.4147469076581111
move,significant_rise,rise,28316,2022-06-22 13:30:00,0.8354492587435467,4.565428461419282,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.3x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,-1.267159450897573
move,significant_drop,drop,33456,2022-09-26 13:35:00,-1.033551870420365,3.1889415967834345,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.5x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,1.7925337074273333
move,significant_rise,rise,9459,2021-06-30 13:30:00,1.2252252252252172,5.487595299290966,7,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend),0.6158775364898605
move,significant_drop,drop,17072,2021-11-18 14:50:00,-0.4721967721474294,2.683103666153007,7,MACD histogram negative; elevated volume (1.6x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,0.1557852995326433
move,significant_rise,rise,97098,2026-01-13 14:30:00,1.111111111111101,3.7158888878064196,7,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.7x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend),-0.0041942790034354945
move,significant_drop,drop,16916,2021-11-16 14:50:00,-0.7377783906777861,2.3359705345736415,7,MACD histogram negative; elevated volume (2.4x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-0.0208391219783281
move,significant_rise,rise,17380,2021-11-24 14:30:00,0.741350906095541,4.903305489695206,7,MACD bullish cross; MACD histogram positive; elevated volume (1.5x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,-0.02725538293812486
