feature,spearman_ic,p,n
ema_stack_bear,-0.0135,1e-05,105568
candle_ret,-0.0131,2e-05,105568
cc_ret,-0.0104,0.00069,105567
consec_dir,-0.0099,0.00129,105568
body_dir,-0.0098,0.00145,105568
rsi_slope,-0.0084,0.00629,105557
bb_squeeze,-0.0077,0.01233,105568
macd_bull_cross,-0.0044,0.15453,105568
macd_hist,-0.0031,0.30984,105568
dist_ema9,-0.0024,0.437,105568
ema9_slope,-0.0024,0.4372,105567
mfi,-0.0009,0.76226,105518
or_position,-0.0008,0.79335,105568
bb_break_up,0.0005,0.86201,105568
atr_pct,0.0005,0.86863,105568
macd_bear_cross,0.0008,0.80467,105568
dist_hi_20,0.001,0.74179,105549
bb_pct,0.0018,0.5621,105549
ema_stack_bull,0.0023,0.44571,105568
dist_ema20,0.0024,0.42957,105568
body_pct,0.0025,0.42572,105568
roc_10,0.0028,0.36719,105558
rsi,0.0029,0.33832,105559
bb_break_dn,0.0032,0.30494,105568
williams_r,0.0033,0.28476,105555
stoch_k,0.0033,0.28476,105555
rsi_overbought,0.0048,0.12039,105568
bb_width,0.0054,0.07684,105549
upper_wick,0.006,0.055,103932
dist_lo_20,0.0061,0.04864,105549
above_vwap,0.0062,0.04281,105568
dist_ema200,0.0067,0.02981,105568
gap_pct,0.007,0.02254,105567
above_ema200,0.0077,0.01241,105568
rsi_oversold,0.0078,0.0112,105568
lower_wick,0.008,0.00962,103932
range_pct,0.0085,0.0064,103932
tod_min,0.0089,0.00402,105568
dist_ema50,0.0093,0.00261,105568
vwap_dist,0.0097,0.00162,105568
vol_z,0.0116,0.00016,105549
vol_ratio,0.0143,0.0,105568
vol_climax,0.0151,0.0,105568
