setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
bullish_harami,long,127,61.4,0.2041,0.2622,2.51,65.4,0.4223,0.5972,3.39,66.1,0.587,0.8768,3.96,67.7,0.6337,1.212,3.27,4.372616821792528
tweezer_bottom,long,301,52.8,0.0063,0.0644,0.89,59.5,0.0189,0.1938,1.43,57.5,0.1286,0.4184,2.5,61.1,0.1487,0.7269,2.84,1.2828978020579034
inverted_hammer,long,64,46.9,-0.0149,0.0432,0.19,54.7,0.2404,0.4153,1.1,54.7,0.6217,0.9115,2.39,62.5,0.8971,1.4753,3.24,2.7205592000000003
hammer,long,76,52.6,0.2278,0.286,2.09,60.5,0.131,0.3059,0.9,61.8,0.3264,0.6162,1.55,60.5,0.1648,0.7431,1.55,1.7585123443521915
bullish_engulfing,long,168,53.6,0.0564,0.1146,1.14,58.3,0.1523,0.3273,1.81,56.0,0.0591,0.3489,1.48,60.7,-0.0319,0.5463,1.69,0.4289731883090131
hs_top,short,29,69.0,0.7191,0.6609,2.8,58.6,0.6453,0.4704,1.47,55.2,0.5966,0.3068,0.79,44.8,0.8007,0.2224,0.37,1.7734597068129179
morning_star,long,32,56.2,0.0578,0.116,0.53,65.6,0.3796,0.5545,1.37,53.1,-0.0416,0.2482,0.49,46.9,-0.4774,0.1008,0.13,0.0
dark_cloud_cover,short,29,48.3,-0.0882,-0.1463,-0.93,55.2,0.2093,0.0343,0.08,48.3,0.4465,0.1567,0.27,31.0,-0.499,-1.0772,-1.22,1.1613619497242236
bull_flag,long,26,53.8,0.1099,0.1681,0.71,69.2,0.0418,0.2167,0.65,57.7,-0.2413,0.0484,0.12,57.7,0.0088,0.587,0.92,0.0
hanging_man,short,87,44.8,0.0574,-0.0007,-0.01,42.5,0.1082,-0.0667,-0.34,42.5,0.3175,0.0277,0.11,51.7,0.1903,-0.3879,-1.16,1.258613210976172
piercing,long,30,46.7,0.0232,0.0813,0.41,46.7,-0.1335,0.0415,0.1,43.3,-0.3208,-0.031,-0.08,53.3,0.0301,0.6084,0.83,0.0
double_bottom,long,137,53.3,0.0312,0.0894,0.85,55.5,-0.0888,0.0861,0.42,56.9,-0.3231,-0.0333,-0.13,61.3,-0.0596,0.5186,1.54,0.0
marubozu,long,57,56.1,-0.1575,-0.0994,-0.58,52.6,-0.422,-0.2471,-0.8,43.9,-0.4214,-0.1317,-0.44,59.6,-0.4261,0.1522,0.33,0.0
double_top,short,124,55.6,0.0505,-0.0077,-0.05,51.6,-0.006,-0.1809,-0.8,52.4,0.0389,-0.2509,-0.84,46.0,0.2581,-0.3202,-1.03,0.22698216333236404
shooting_star,short,112,52.7,0.1564,0.0983,0.96,47.3,0.1653,-0.0096,-0.05,42.9,0.0759,-0.2139,-0.87,42.9,0.1545,-0.4237,-1.33,0.344594292058821
bearish_engulfing,short,153,49.0,0.1109,0.0527,0.6,47.1,0.1113,-0.0636,-0.47,50.3,-0.0815,-0.3712,-2.11,44.4,0.1138,-0.4645,-1.72,0.0
evening_star,short,44,45.5,0.0314,-0.0268,-0.15,45.5,-0.2033,-0.3782,-1.71,38.6,-0.4113,-0.701,-2.14,38.6,0.105,-0.4732,-0.81,0.0
bearish_harami,short,157,45.2,-0.0122,-0.0704,-0.71,43.3,-0.0111,-0.1861,-1.24,45.9,-0.1436,-0.4334,-2.21,43.9,0.1396,-0.4387,-1.56,0.0
marubozu,short,42,31.0,-0.4877,-0.5459,-3.35,23.8,-0.954,-1.1289,-4.01,47.6,-0.6222,-0.912,-2.33,38.1,-0.6797,-1.258,-2.03,0.0
tweezer_top,short,419,42.7,-0.0761,-0.1343,-2.67,42.7,-0.0728,-0.2478,-2.65,45.6,-0.1494,-0.4392,-3.73,42.0,0.1107,-0.4675,-2.88,0.0
