event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,tweezer_bottom,long,2749,2022-05-13,-17.190131783687566
candlestick,hammer,long,2749,2022-05-13,-17.190131783687566
structure,bear_flag,short,3474,2025-04-04,13.87186029193278
structure,double_top,short,3474,2025-04-04,13.87186029193278
candlestick,tweezer_bottom,long,2745,2022-05-09,-13.191465223379497
candlestick,tweezer_bottom,long,1682,2018-02-16,-12.655087214509333
candlestick,tweezer_top,short,2315,2020-08-24,12.381020184142425
candlestick,shooting_star,short,1051,2015-08-17,-12.251425001131915
candlestick,bullish_engulfing,long,3452,2025-03-05,-11.960828251111202
candlestick,tweezer_top,short,1089,2015-10-09,-11.75588305095478
candlestick,morning_star,long,3679,2026-01-29,11.728122463312497
candlestick,bullish_engulfing,long,3679,2026-01-29,11.728122463312497
candlestick,tweezer_bottom,long,1050,2015-08-14,-11.646861389092633
candlestick,bullish_harami,long,1050,2015-08-14,-11.646861389092633
structure,double_bottom,long,3755,2026-05-19,-11.400891035984252
structure,double_bottom,long,3754,2026-05-18,-11.099441899532762
candlestick,tweezer_bottom,long,2317,2020-08-26,10.589138707299178
candlestick,hammer,long,3313,2024-08-13,10.435932624369606
structure,double_bottom,long,2205,2020-03-18,-10.409530058432273
candlestick,bullish_engulfing,long,2436,2021-02-17,-10.36005197110491
candlestick,bullish_engulfing,long,3314,2024-08-14,10.078645208060445
candlestick,dark_cloud_cover,short,3753,2026-05-15,-9.798400572416451
candlestick,tweezer_top,short,2876,2022-11-14,9.610514704611534
structure,double_top,short,2876,2022-11-14,9.610514704611534
candlestick,inverted_hammer,long,2201,2020-03-12,9.533879570102512
structure,double_top,short,2201,2020-03-12,9.533879570102512
candlestick,hanging_man,short,3677,2026-01-27,9.457839342987404
candlestick,tweezer_top,short,1868,2018-11-12,-9.34822111964359
candlestick,three_white_soldiers,long,3752,2026-05-14,-9.20278533363883
candlestick,tweezer_bottom,long,2278,2020-07-01,9.182054853618126
candlestick,hammer,long,2278,2020-07-01,9.182054853618126
candlestick,tweezer_bottom,long,1590,2017-10-05,9.079462509573673
candlestick,tweezer_top,short,3678,2026-01-28,8.895944731689372
candlestick,inverted_hammer,long,1589,2017-10-04,8.863325577328688
candlestick,bullish_engulfing,long,233,2012-05-15,8.812134092750558
candlestick,tweezer_bottom,long,233,2012-05-15,8.812134092750558
candlestick,bullish_harami,long,2211,2020-03-26,8.796215342335907
candlestick,bearish_engulfing,short,2279,2020-07-02,8.648597846790484
candlestick,bearish_harami,short,1086,2015-10-06,-8.602313630143264
candlestick,tweezer_top,short,3381,2024-11-18,8.598948109048072
candlestick,tweezer_top,short,3676,2026-01-26,8.560013385812985
candlestick,tweezer_bottom,long,3310,2024-08-08,8.557482962974323
candlestick,hammer,long,1591,2017-10-06,8.531650520597555
candlestick,bullish_engulfing,long,3438,2025-02-12,-8.52234512019923
candlestick,tweezer_top,short,2219,2020-04-07,8.476104607196728
candlestick,bearish_harami,short,2219,2020-04-07,8.476104607196728
candlestick,bearish_harami,short,1235,2016-05-10,-8.198870663298154
candlestick,tweezer_top,short,1235,2016-05-10,-8.198870663298154
candlestick,bullish_engulfing,long,1679,2018-02-13,-8.130325744095463
candlestick,bullish_harami,long,1678,2018-02-12,-8.066302616955051
candlestick,three_white_soldiers,long,2217,2020-04-03,7.967857696343082
candlestick,bullish_harami,long,2754,2022-05-20,7.9110740308884875
candlestick,shooting_star,short,3250,2024-05-13,7.846385847441535
candlestick,bearish_engulfing,short,3250,2024-05-13,7.846385847441535
candlestick,bearish_harami,short,1049,2015-08-13,-7.724309593230862
candlestick,tweezer_top,short,1049,2015-08-13,-7.724309593230862
candlestick,bearish_engulfing,short,3631,2025-11-18,7.604299369647515
candlestick,bearish_harami,short,860,2014-11-11,7.568664190130966
structure,double_bottom,long,213,2012-04-17,-7.289472267729972
candlestick,bearish_harami,short,2214,2020-03-31,7.234646288219284
candlestick,inverted_hammer,long,33,2011-07-29,-7.190281097816483
candlestick,tweezer_top,short,1804,2018-08-13,7.184302035175519
candlestick,inverted_hammer,long,1895,2018-12-21,7.127280092146416
candlestick,tweezer_top,short,3379,2024-11-14,7.067599306770118
structure,double_bottom,long,3126,2023-11-13,-7.049138751559332
structure,double_top,short,1238,2016-05-13,7.021868188880023
candlestick,marubozu,short,41,2011-08-10,6.982018639850472
candlestick,bearish_harami,short,1927,2019-02-08,6.926129933423596
candlestick,tweezer_top,short,1927,2019-02-08,6.926129933423596
candlestick,tweezer_top,short,2855,2022-10-14,6.884924797407632
candlestick,bullish_engulfing,long,3470,2025-03-31,-6.834491328657435
structure,double_top,short,1114,2015-11-13,6.806090398585816
candlestick,tweezer_top,short,3634,2025-11-21,6.731868579404851
candlestick,dark_cloud_cover,short,3634,2025-11-21,6.731868579404851
candlestick,piercing,long,2215,2020-04-01,6.71105672365485
structure,double_top,short,1052,2015-08-18,-6.692570152299648
structure,double_top,short,1052,2015-08-18,-6.692570152299648
structure,double_top,short,1052,2015-08-18,-6.692570152299648
candlestick,tweezer_bottom,long,2277,2020-06-30,6.65386332211536
candlestick,inverted_hammer,long,2856,2022-10-17,6.622511191027038
candlestick,bullish_harami,long,2856,2022-10-17,6.622511191027038
candlestick,tweezer_top,short,857,2014-11-06,6.6186885506059845
candlestick,tweezer_bottom,long,44,2011-08-15,6.462591809757885
candlestick,hammer,long,44,2011-08-15,6.462591809757885
