event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_drop,drop,1339,2016-10-06,-3.223099916648304,2.098604089288243,6,MACD bearish cross; MACD histogram negative; elevated volume (2.4x); bearish EMA stack (9<20<50); below 200-EMA (downtrend); 3 down-bars in a row,-1.3119951187716345
move,significant_drop,drop,1092,2015-10-14,-9.878393851493621,4.14913912029477,6,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); bearish EMA stack (9<20<50); below 200-EMA (downtrend),-1.8823938950355845
move,significant_drop,drop,2805,2022-08-04,-3.902963351494235,1.4272859619439973,6,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.0x); below 200-EMA (downtrend); 3 down-bars in a row,5.295852147838309
move,significant_rise,rise,1620,2017-11-16,4.730872248047559,2.54518452206164,5,MACD bullish cross; MACD histogram positive; volume climax; bullish EMA stack (9>20>50); above 200-EMA (uptrend),-3.011443286901019
move,significant_rise,rise,2205,2020-03-18,6.591309475817788,1.2581244316761793,5,MACD bullish cross; MACD histogram positive; elevated volume (2.1x); above 200-EMA (uptrend); 4 up-bars in a row,-10.409530058432273
move,significant_drop,drop,2752,2022-05-18,-4.3739707200008,1.1336670904032398,5,MACD histogram negative; volume climax (distribution); bearish EMA stack (9<20<50); below 200-EMA (downtrend); 3 down-bars in a row,2.9159485093470363
move,significant_rise,rise,3477,2025-04-09,7.52429677822203,1.9895912724576337,5,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.7x); above 200-EMA (uptrend),4.040181705614187
move,significant_rise,rise,3681,2026-02-02,3.815897538572176,1.9143513559135583,5,MACD bullish cross; MACD histogram positive; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,2.1280021292935793
move,significant_drop,drop,39,2011-08-08,-3.7007784348243735,2.055796821882462,4,MACD histogram negative; elevated volume (2.4x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),6.132460912415973
move,significant_drop,drop,41,2011-08-10,-3.218702511706058,1.4332170476905965,4,MACD histogram negative; elevated volume (1.8x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),6.982018639850472
move,significant_drop,drop,1057,2015-08-25,-3.590533384704976,1.497023536827987,4,MACD histogram negative; elevated volume (1.5x); bearish EMA stack (9<20<50); below 200-EMA (downtrend),2.1236136053750596
move,significant_drop,drop,1673,2018-02-05,-3.2011581332185237,1.5474072466670548,4,RSI lost 50; MACD histogram negative; elevated volume (1.5x); 5 down-bars in a row,0.8891952639367172
move,significant_rise,rise,2204,2020-03-17,5.7550781698343,1.1689838309480294,4,RSI reclaimed 50; elevated volume (1.6x); above 200-EMA (uptrend); 3 up-bars in a row,-8.267650875176493
move,significant_rise,rise,2318,2020-08-27,4.234052110430075,2.080364160668163,4,RSI reclaimed 50; volume climax; bullish EMA stack (9>20>50); above 200-EMA (uptrend),4.537809185444133
move,significant_drop,drop,2821,2022-08-26,-3.3134896762282975,1.4705239887407837,4,RSI lost 50; MACD bearish cross; MACD histogram negative; below 200-EMA (downtrend),0.5623083810402366
move,significant_rise,rise,2321,2020-09-01,4.525498117884522,1.8639205889604784,4,MACD histogram positive; elevated volume (2.8x); bullish EMA stack (9>20>50); above 200-EMA (uptrend),-7.304019637407068
move,significant_drop,drop,3476,2025-04-08,-4.729176040483693,1.308479202018359,4,MACD bearish cross; MACD histogram negative; bearish EMA stack (9<20<50); below 200-EMA (downtrend),11.492849273332594
move,significant_drop,drop,3065,2023-08-17,-3.238030859360997,2.197028989170498,4,RSI lost 50; MACD histogram negative; volume climax (distribution); 4 down-bars in a row,1.3681014965746376
