feature,spearman_ic,p,n
above_ema200,-0.0637,9e-05,3776
dist_ema200,-0.0464,0.00438,3776
dist_ema50,-0.0426,0.00881,3776
rsi,-0.0366,0.02442,3774
dist_ema20,-0.0351,0.03084,3776
dist_hi_20,-0.0337,0.0388,3757
dist_ema9,-0.0314,0.05334,3776
ema9_slope,-0.0314,0.05353,3775
vol_climax,-0.0295,0.06973,3776
mfi,-0.029,0.07509,3763
ema_stack_bull,-0.0273,0.09304,3776
cc_ret,-0.0261,0.10845,3775
candle_ret,-0.0257,0.11481,3776
dist_lo_20,-0.0245,0.13318,3757
bb_pct,-0.0212,0.19404,3757
consec_dir,-0.0158,0.33185,3776
body_dir,-0.0151,0.3548,3776
stoch_k,-0.0142,0.3843,3763
williams_r,-0.0142,0.3843,3763
body_pct,-0.0136,0.40392,3776
vol_ratio,-0.0134,0.409,3776
lower_wick,-0.0121,0.45564,3776
bb_squeeze,-0.0118,0.4673,3776
rsi_slope,-0.0117,0.4724,3772
roc_10,-0.0099,0.54375,3766
vol_z,-0.0065,0.68898,3757
macd_hist,-0.0025,0.88004,3776
rsi_overbought,-0.0008,0.96026,3776
gap_pct,0.0003,0.98671,3775
macd_bull_cross,0.0016,0.92101,3776
bb_width,0.0027,0.86858,3757
bb_break_up,0.0139,0.39159,3776
macd_bear_cross,0.0147,0.36543,3776
bb_break_dn,0.0224,0.16957,3776
range_pct,0.0251,0.1234,3776
ema_stack_bear,0.0301,0.06476,3776
rsi_oversold,0.0334,0.04037,3776
upper_wick,0.0461,0.00457,3776
atr_pct,0.0579,0.00037,3776
