setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win6,edge6,ret6,t6,win12,edge12,ret12,t12,score
tweezer_bottom,long,24102,49.5,-0.0012,0.0002,0.12,49.9,0.0013,0.0053,2.42,50.9,0.0042,0.0122,3.85,51.2,0.001,0.0169,3.77,0.331889577151317
double_bottom,long,5491,48.6,0.002,0.0033,0.95,49.3,0.005,0.009,1.59,50.2,0.0107,0.0187,2.38,51.5,0.0114,0.0273,2.58,0.39802762635068434
inverted_hammer,long,2814,49.1,0.0011,0.0024,0.69,49.1,0.0022,0.0062,0.88,50.9,0.0068,0.0148,1.56,50.7,0.0071,0.023,1.66,0.18360679156327522
bullish_engulfing,long,5574,48.6,-0.002,-0.0007,-0.24,49.8,-0.0036,0.0004,0.09,50.8,0.0023,0.0103,1.55,51.0,-0.0045,0.0114,1.21,0.08723183944776128
marubozu,long,8830,48.0,-0.0039,-0.0025,-1.38,49.4,-0.0023,0.0017,0.55,51.3,-0.001,0.007,1.53,51.6,0.0043,0.0202,3.0,0.0
hammer,long,2989,49.2,-0.002,-0.0006,-0.16,49.8,-0.0066,-0.0026,-0.39,50.8,0.0043,0.0122,1.29,52.2,0.0068,0.0227,1.64,0.11942496574435346
shooting_star,short,3056,46.7,0.0004,-0.0009,-0.25,48.5,0.003,-0.001,-0.17,49.8,0.0177,0.0097,1.12,50.3,0.0328,0.0169,1.36,0.4872807826879283
bullish_harami,long,4118,49.9,-0.0014,-0.0001,-0.03,49.6,-0.003,0.001,0.19,51.6,-0.0006,0.0074,0.98,52.2,0.01,0.0259,2.37,0.0
morning_star,long,878,47.4,-0.0007,0.0006,0.08,50.8,-0.0004,0.0036,0.31,50.5,0.0043,0.0122,0.77,49.9,-0.005,0.0109,0.46,0.06434385716989618
hanging_man,short,3201,48.2,0.001,-0.0004,-0.11,48.7,0.0118,0.0078,1.21,47.9,0.0148,0.0068,0.75,47.2,0.0098,-0.0061,-0.49,0.40108836682786
piercing,long,801,50.8,0.0047,0.006,1.08,46.6,-0.0119,-0.0079,-0.62,53.3,0.0026,0.0106,0.6,51.8,0.0006,0.0165,0.62,0.03922083315841211
three_black_crows,short,362,47.2,-0.0089,-0.0103,-0.9,43.9,-0.0099,-0.0139,-0.83,48.3,0.0155,0.0076,0.28,47.0,0.0154,-0.0005,-0.01,0.1424403769108324
double_top,short,5182,48.3,-0.0004,-0.0017,-0.47,48.0,0.0056,0.0016,0.23,48.6,0.0057,-0.0022,-0.26,46.8,-0.0061,-0.0221,-1.95,0.19941592128834645
evening_star,short,828,47.5,-0.0075,-0.0089,-1.25,48.2,-0.0039,-0.0079,-0.67,47.3,0.0023,-0.0056,-0.34,47.3,0.0131,-0.0028,-0.12,0.031304310685271446
three_white_soldiers,long,420,47.9,-0.005,-0.0036,-0.48,47.6,-0.0137,-0.0097,-0.61,49.0,-0.0228,-0.0149,-0.59,52.9,-0.0197,-0.0038,-0.1,0.0
bearish_harami,short,4347,47.8,-0.0023,-0.0036,-1.21,48.0,-0.0017,-0.0057,-1.16,49.2,0.0032,-0.0048,-0.68,48.4,0.0081,-0.0078,-0.78,0.10380299904106817
dark_cloud_cover,short,903,46.4,-0.0018,-0.0032,-0.56,48.1,0.0022,-0.0018,-0.2,46.1,-0.0037,-0.0117,-0.88,44.5,0.004,-0.0119,-0.51,0.0
bearish_engulfing,short,5597,48.0,-0.0007,-0.002,-0.72,48.5,0.0002,-0.0038,-0.76,48.8,0.0017,-0.0063,-0.89,48.7,-0.0011,-0.017,-1.74,0.06206494813918721
tweezer_top,short,25537,47.3,-0.0022,-0.0035,-2.99,47.9,-0.0007,-0.0047,-2.2,48.0,0.0009,-0.007,-2.31,48.0,0.0035,-0.0124,-2.88,0.06903489760983209
marubozu,short,8393,46.8,-0.0041,-0.0055,-2.82,47.1,-0.0062,-0.0102,-2.94,47.0,-0.0054,-0.0134,-2.76,46.8,-0.0121,-0.028,-4.06,0.0
