event_type,name,direction,loc,ts,candle_ret_pct,atr_mult,confluence,explained_by,outcome_fwd6_pct
move,significant_drop,drop,83893,2025-04-30 15:45:00,-0.767190755824969,2.381425735885671,8,MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,0.1622601889853982
move,significant_rise,rise,7162,2021-05-18 13:35:00,1.0305095748133808,3.6513172913477656,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.6x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,-1.6143281664123403
move,significant_drop,drop,54380,2023-10-19 13:30:00,-1.1666075230660022,4.76826998588821,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.2x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.6552668192630529
move,significant_drop,drop,59920,2024-02-01 17:40:00,-0.5809450038729612,3.2717782593830527,8,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.1x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,-0.38955979742891084
move,significant_rise,rise,59336,2024-01-23 14:30:00,0.6608156943727419,5.2541671947936885,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.9x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 3 up-bars in a row,0.32823879372244064
move,significant_drop,drop,82616,2025-04-04 19:50:00,-0.7739346455188251,1.8668161022720848,8,MACD bearish cross; MACD histogram negative; elevated volume (2.1x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,-3.013962445835335
move,significant_rise,rise,79343,2025-02-04 14:35:00,0.6264609630668552,3.279135445868557,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.9x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); 5 up-bars in a row,1.505296413306068
move,significant_rise,rise,30353,2022-07-27 18:35:00,0.7191060958070646,3.0106510732672755,8,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; volume climax; reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,0.318541300527232
move,significant_drop,drop,40318,2023-01-31 14:30:00,-1.2330235882773368,3.464987731757566,8,RSI lost 50; MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,2.7546589469875045
move,significant_drop,drop,28938,2022-06-30 17:40:00,-0.6345325416230081,1.9448071045315707,8,MACD bearish cross; MACD histogram negative; elevated volume (1.6x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,0.2636358310387185
move,significant_drop,drop,28340,2022-06-17 19:50:00,-0.5756389592447617,1.4506789135414955,8,MACD bearish cross; MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,4.851783232978228
move,significant_drop,drop,26122,2022-05-09 17:00:00,-0.6766215585627605,1.5753354866137765,8,MACD bearish cross; MACD histogram negative; elevated volume (2.5x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,-0.17618040873855495
move,significant_drop,drop,105669,2026-06-11 19:30:00,-0.6053052000314133,2.2434982497103486,8,MACD bearish cross; MACD histogram negative; elevated volume (2.3x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 6 down-bars in a row,-0.10206096704790885
move,significant_drop,drop,32179,2022-08-30 14:45:00,-0.5647961034250496,1.3172131234734268,8,MACD bearish cross; MACD histogram negative; elevated volume (2.6x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,0.8441896821261097
move,significant_rise,rise,98967,2026-02-09 14:30:00,0.7169179229480692,3.8337658531603616,7,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.7x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend),-0.15965939329429263
move,significant_rise,rise,102555,2026-04-16 13:30:00,0.9061698245172914,3.6642040138464185,7,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.9x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend),0.5732879508603971
move,significant_drop,drop,1093,2021-01-25 14:35:00,-0.6658075601374619,2.1067787805881486,7,MACD histogram negative; elevated volume (2.3x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,0.7567567567567599
move,significant_drop,drop,92019,2025-09-30 13:30:00,-0.5646228495809446,2.7756834181547125,7,RSI lost 50; MACD bearish cross; MACD histogram negative; lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range,0.38151007009139104
move,significant_drop,drop,93823,2025-10-31 14:20:00,-0.5676068112817444,1.155763848449583,7,MACD histogram negative; elevated volume (2.0x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 5 down-bars in a row,0.6106735109301814
move,significant_drop,drop,80790,2025-03-03 18:10:00,-1.0987015345500717,4.964526090137618,7,MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,-0.6977598237238387
move,significant_drop,drop,83894,2025-04-30 15:50:00,-0.596459416901274,1.7282255308601469,7,MACD histogram negative; volume climax (distribution); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 4 down-bars in a row,0.5952380952380997
move,significant_rise,rise,77860,2025-01-06 14:30:00,0.7578558225508254,4.206174745397157,7,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (2.0x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend),-0.07338103100348403
move,significant_drop,drop,75273,2024-11-13 14:50:00,-0.5889478300822842,2.609381364793399,7,MACD histogram negative; elevated volume (1.9x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend); breakdown below opening range; 3 down-bars in a row,0.36134453781513176
move,significant_drop,drop,5757,2021-04-22 13:30:00,-0.7158196134574188,3.459688301051287,7,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (2.1x); lost VWAP; below 200-EMA (downtrend); 3 down-bars in a row,-0.5407354001441911
move,significant_rise,rise,82822,2025-04-09 17:30:00,1.1101499423298606,1.3103458766675737,7,MACD histogram positive; elevated volume (2.0x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range; 4 up-bars in a row,0.9981462997290854
move,significant_rise,rise,88509,2025-07-28 13:30:00,0.7349625755252932,4.468385656031393,7,RSI reclaimed 50; MACD bullish cross; MACD histogram positive; elevated volume (1.6x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend),-0.0671411306566428
move,significant_rise,rise,98768,2026-02-04 17:25:00,0.6036629037208959,2.5764910793754354,7,MACD bullish cross; MACD histogram positive; elevated volume (2.8x); reclaimed/above VWAP; bullish EMA stack (9>20>50); above 200-EMA (uptrend); breakout above opening range,-0.29832531019051983
move,significant_drop,drop,58556,2024-01-08 14:30:00,-0.6905116741182388,2.2483689758069763,7,RSI lost 50; MACD bearish cross; MACD histogram negative; elevated volume (1.9x); lost VWAP; bearish EMA stack (9<20<50); below 200-EMA (downtrend),-0.9004051823320409
