feature,spearman_ic,p,n
or_position,-0.0174,0.0,106033
dist_hi_20,-0.0173,0.0,106014
bb_squeeze,-0.0159,0.0,106033
mfi,-0.0143,0.0,105978
bb_pct,-0.0121,8e-05,106014
williams_r,-0.0112,0.00027,106020
stoch_k,-0.0112,0.00027,106020
rsi,-0.0104,0.00074,106032
roc_10,-0.0103,0.00077,106023
consec_dir,-0.0099,0.00133,106033
vwap_dist,-0.0093,0.0025,106033
dist_ema20,-0.0092,0.00275,106033
dist_ema9,-0.0091,0.00298,106033
ema9_slope,-0.0091,0.00298,106032
candle_ret,-0.0091,0.00304,106033
body_dir,-0.008,0.00935,106033
ema_stack_bull,-0.0078,0.01061,106033
cc_ret,-0.0076,0.01321,106032
macd_hist,-0.0076,0.0129,106033
dist_ema50,-0.0059,0.05577,106033
rsi_slope,-0.0052,0.08748,106030
upper_wick,-0.0014,0.64099,105790
above_vwap,-0.0013,0.66215,106033
lower_wick,-0.001,0.73374,105790
dist_ema200,-0.0003,0.91996,106033
dist_lo_20,-0.0003,0.92188,106014
gap_pct,0.0007,0.82688,106032
macd_bear_cross,0.001,0.74835,106033
bb_break_up,0.0011,0.70813,106033
macd_bull_cross,0.0027,0.37054,106033
above_ema200,0.003,0.32313,106033
rsi_overbought,0.0047,0.12829,106033
ema_stack_bear,0.0067,0.02857,106033
bb_break_dn,0.0076,0.01295,106033
vol_z,0.0081,0.00802,106014
tod_min,0.0094,0.00231,106033
vol_ratio,0.0097,0.00163,106033
body_pct,0.0121,8e-05,106033
atr_pct,0.0124,5e-05,106033
rsi_oversold,0.0132,2e-05,106033
vol_climax,0.0181,0.0,106033
range_pct,0.0187,0.0,105790
bb_width,0.0191,0.0,106014
