setup,dir,n,win1,edge1,ret1,t1,win3,edge3,ret3,t3,win5,edge5,ret5,t5,win10,edge10,ret10,t10,score
bullish_engulfing,long,122,41.8,-0.0277,0.0,0.0,54.9,0.2538,0.3362,1.57,58.2,0.3575,0.4928,1.92,58.2,0.5884,0.863,2.31,2.298153040041068
hs_bottom,long,32,53.1,0.1343,0.162,0.71,53.1,-0.1799,-0.0975,-0.18,59.4,0.4763,0.6116,1.08,65.6,0.8635,1.1381,1.38,1.6004496493457332
inverted_hammer,long,89,44.9,-0.2166,-0.1889,-0.98,49.4,-0.0734,0.009,0.03,56.2,0.1999,0.3353,0.83,60.7,1.1029,1.3774,2.59,1.0598492895035407
hanging_man,short,117,49.6,0.0332,0.0055,0.03,45.3,0.1741,0.0917,0.34,48.7,0.3598,0.2245,0.76,50.4,0.2837,0.0092,0.02,1.8953222067603495
bullish_harami,long,107,48.6,-0.194,-0.1663,-1.1,58.9,0.0223,0.1047,0.38,54.2,0.1358,0.2711,0.73,53.3,0.2154,0.4899,0.86,0.7613615585427992
marubozu,long,68,38.2,-0.2855,-0.2577,-1.4,50.0,-0.1079,-0.0255,-0.08,52.9,0.1001,0.2355,0.69,51.5,0.182,0.4565,0.79,0.43666079976553884
morning_star,long,35,54.3,0.0187,0.0464,0.2,54.3,0.3862,0.4686,1.26,54.3,0.0996,0.2349,0.58,57.1,-0.0278,0.2467,0.41,0.31995815969341984
bull_flag,long,27,51.9,-0.0591,-0.0313,-0.1,51.9,-0.175,-0.0925,-0.15,48.1,0.2573,0.3927,0.5,55.6,-0.6299,-0.3553,-0.35,0.6430825788323223
piercing,long,32,62.5,0.5423,0.57,1.87,56.2,0.1845,0.2669,0.44,56.2,0.1754,0.3107,0.42,68.8,0.3711,0.6456,0.49,0.5576232762728616
tweezer_bottom,long,211,48.3,0.0124,0.0402,0.43,53.1,-0.1023,-0.0198,-0.11,48.8,-0.2276,-0.0923,-0.38,47.4,-0.3852,-0.1107,-0.32,0.0
double_bottom,long,134,52.2,0.0911,0.1189,1.03,51.5,-0.0476,0.0348,0.16,48.5,-0.2546,-0.1192,-0.45,52.2,0.1618,0.4363,1.32,0.0
evening_star,short,48,37.5,-0.2033,-0.231,-1.12,41.7,-0.2123,-0.2947,-0.8,47.9,-0.1011,-0.2364,-0.46,45.8,-0.285,-0.5595,-0.84,0.0
marubozu,short,48,45.8,0.2121,0.1844,0.64,47.9,-0.0779,-0.1603,-0.4,47.9,-0.1702,-0.3056,-0.58,45.8,0.8594,0.5848,0.77,0.0
tweezer_top,short,292,47.3,-0.0389,-0.0666,-0.86,45.5,0.0703,-0.0121,-0.1,46.9,0.041,-0.0944,-0.63,49.7,0.1057,-0.1688,-0.73,0.3285852960374216
hammer,long,81,50.6,-0.1025,-0.0748,-0.38,51.9,-0.3145,-0.2321,-0.55,51.9,-0.567,-0.4316,-0.81,49.4,-0.7615,-0.487,-0.64,0.0
dark_cloud_cover,short,36,41.7,-0.2038,-0.2315,-0.78,41.7,-0.19,-0.2724,-0.72,38.9,-0.521,-0.6564,-1.17,41.7,-0.263,-0.5375,-0.73,0.0
bearish_harami,short,159,49.7,-0.0551,-0.0828,-0.73,39.0,-0.3663,-0.4487,-2.3,45.3,-0.1534,-0.2887,-1.34,45.3,-0.1089,-0.3834,-1.17,0.0
double_top,short,136,50.7,0.1815,0.1538,1.22,52.2,0.1093,0.0269,0.12,44.1,-0.299,-0.4344,-1.74,40.4,-0.164,-0.4385,-1.18,0.0
bearish_engulfing,short,124,47.6,-0.0113,-0.039,-0.3,38.7,-0.3325,-0.415,-1.76,40.3,-0.5636,-0.699,-2.3,47.6,-0.7439,-1.0184,-1.91,0.0
shooting_star,short,78,43.6,-0.2324,-0.2602,-1.94,28.2,-0.6763,-0.7587,-3.48,32.1,-0.9906,-1.126,-3.79,35.9,-0.7692,-1.0437,-2.13,0.0
