event_type,name,direction,loc,ts,outcome_fwd6_pct
candlestick,tweezer_bottom,long,2195,2020-03-04,-29.07286988956444
candlestick,bullish_harami,long,2195,2020-03-04,-29.07286988956444
candlestick,hammer,long,2195,2020-03-04,-29.07286988956444
structure,bear_flag,short,2197,2020-03-06,-27.67875304749846
candlestick,hammer,long,2196,2020-03-05,-23.927362866545128
candlestick,piercing,long,2192,2020-02-28,-18.623635832259215
candlestick,bearish_engulfing,short,2194,2020-03-03,-18.16764100084273
candlestick,inverted_hammer,long,2200,2020-03-11,-17.984753023792788
candlestick,marubozu,short,2254,2020-05-28,17.850800959365852
candlestick,evening_star,short,2424,2021-01-29,16.190897182934556
candlestick,hanging_man,short,3472,2025-04-02,-15.791689688146967
candlestick,tweezer_bottom,long,2406,2021-01-04,15.373496549675265
candlestick,bearish_engulfing,short,2207,2020-03-20,14.538784598364481
candlestick,piercing,long,1670,2018-01-31,-12.863691826305699
candlestick,bullish_engulfing,long,1051,2015-08-17,-12.771357099555322
candlestick,inverted_hammer,long,1050,2015-08-14,-12.302194122717973
candlestick,marubozu,long,2658,2022-01-03,12.291465920777492
structure,double_bottom,long,2658,2022-01-03,12.291465920777492
structure,hs_bottom,long,2658,2022-01-03,12.291465920777492
candlestick,tweezer_bottom,long,2696,2022-02-28,11.93573173795121
candlestick,bullish_harami,long,2695,2022-02-25,11.921899852626437
candlestick,tweezer_bottom,long,2657,2021-12-31,11.897373357378166
candlestick,piercing,long,2657,2021-12-31,11.897373357378166
candlestick,bullish_harami,long,1889,2018-12-13,-11.509483273559173
candlestick,tweezer_bottom,long,1889,2018-12-13,-11.509483273559173
candlestick,bearish_harami,short,3468,2025-03-27,-11.493768022656887
candlestick,tweezer_top,short,3468,2025-03-27,-11.493768022656887
structure,bear_flag,short,2184,2020-02-18,-11.472950273944058
candlestick,inverted_hammer,long,2736,2022-04-26,11.43516335888054
structure,double_bottom,long,2407,2021-01-05,11.310340618265085
candlestick,hanging_man,short,3471,2025-04-01,-11.122309947867727
candlestick,piercing,long,2672,2022-01-24,11.04547439813574
structure,bear_flag,short,2694,2022-02-24,10.936666164079483
candlestick,bearish_engulfing,short,2694,2022-02-24,10.936666164079483
candlestick,hanging_man,short,2795,2022-07-21,10.46153880931713
candlestick,bearish_harami,short,3094,2023-09-28,-10.295474115745073
candlestick,tweezer_top,short,3094,2023-09-28,-10.295474115745073
candlestick,bullish_engulfing,long,2385,2020-12-02,10.190285014437874
