feature,spearman_ic,p,n
bb_squeeze,-0.0515,0.00155,3776
dist_hi_20,-0.0469,0.004,3757
lower_wick,-0.0345,0.0338,3776
consec_dir,-0.0313,0.05424,3776
ema9_slope,-0.0278,0.0882,3775
dist_ema9,-0.0278,0.08804,3776
dist_ema50,-0.0272,0.09501,3776
body_dir,-0.0271,0.0963,3776
bb_break_up,-0.0265,0.10409,3776
dist_ema20,-0.0254,0.11829,3776
rsi,-0.0239,0.14203,3774
stoch_k,-0.023,0.15919,3763
williams_r,-0.023,0.15919,3763
dist_ema200,-0.0229,0.1596,3776
candle_ret,-0.0228,0.16137,3776
bb_pct,-0.0216,0.18567,3757
above_ema200,-0.0212,0.19366,3776
macd_bull_cross,-0.0209,0.19985,3776
rsi_slope,-0.0208,0.2021,3772
cc_ret,-0.0195,0.22991,3775
roc_10,-0.0159,0.3305,3766
vol_z,-0.0036,0.82605,3757
macd_hist,0.0012,0.94085,3776
gap_pct,0.0017,0.91755,3775
vol_ratio,0.0037,0.822,3776
ema_stack_bull,0.0048,0.7672,3776
mfi,0.0048,0.77055,3763
macd_bear_cross,0.0084,0.60372,3776
rsi_overbought,0.0155,0.34169,3776
rsi_oversold,0.0162,0.32031,3776
body_pct,0.0169,0.30055,3776
bb_break_dn,0.0211,0.19536,3776
vol_climax,0.0233,0.15299,3776
ema_stack_bear,0.0243,0.13557,3776
dist_lo_20,0.0327,0.04523,3757
upper_wick,0.0585,0.00032,3776
bb_width,0.0738,1e-05,3757
range_pct,0.0757,0.0,3776
atr_pct,0.1001,0.0,3776
