fold,train_end,val_start,val_end,n_train,n_val,rw_rank_ic,rw_mean_ic,rw_clf_auc,rw_clf_brier,rw_n_trees_reg,rw_n_trees_clf,v1_rank_ic,v1_mean_ic,v1_clf_auc,v1_clf_brier
1,2014-07-01,2014-07-02,2015-07-31,126618,47145,0.1577375966798137,-0.006171085756983896,0.5818541387486046,0.2506142728982049,41,53,0.17504471993542342,0.012092013572632343,0.5887036064840739,0.24901325197910112
2,2015-07-01,2015-07-02,2016-07-31,170119,47503,0.1104683521410108,0.007701569112525033,0.5506601323900142,0.28278600420030764,34,68,0.09579321166106305,0.0005319820793641618,0.5479607841488889,0.27337581390978455
3,2016-07-01,2016-07-02,2017-07-31,214287,47466,0.04557623936584956,0.021240486474388233,0.520760368080114,0.2459096411898602,1,1,0.0372112812195856,0.004427074020827288,0.5160346344115264,0.24604299760343643
4,2017-07-01,2017-07-02,2018-07-31,258228,48020,0.055334856087919146,0.004115509558152502,0.5295737718492386,0.24238368723795184,8,13,0.07412652208396509,0.006096962222682444,0.5316899600199535,0.24320662033188645
5,2018-07-01,2018-07-02,2019-07-31,302510,48710,0.017185979407809655,0.008449016973235645,0.5123278032523563,0.24637136324541623,20,26,0.05781641382858004,0.027868846764017633,0.515303161654424,0.2464369675087908
6,2019-07-01,2019-07-02,2020-07-31,347399,49758,0.045714713573107926,0.017330899009493212,0.5167343413204074,0.2461456272884945,38,5,0.058257249282705405,0.04836855140335593,0.5159451852592076,0.24632070145003887
7,2020-07-01,2020-07-02,2021-07-31,393295,50336,0.01246781630889623,0.011405606386538618,0.4991037743837719,0.2424053200357659,1,1,0.0818960383704886,0.0022290831091402656,0.5342289229617593,0.24305248175128985
8,2021-07-01,2021-07-02,2022-07-31,439887,51069,0.011647394857089276,-0.005731798376755925,0.493126503502311,0.25599147137336753,22,37,0.0033478527965873574,-0.011870387031822386,0.508046750130275,0.259523687953108
9,2022-07-01,2022-07-02,2023-07-31,487326,51441,-0.012066341134984358,0.008088954716704842,0.4982187339422026,0.2498009412506866,1,1,0.07721690072509192,0.020755142853768425,0.507348805645709,0.24881992939767025
10,2023-07-01,2023-07-02,2024-07-31,534942,52117,0.01580682853907443,0.019084054317506646,0.5026157730454301,0.2484880593576139,1,3,-0.002980564034601956,0.002342277722941947,0.5099977103935529,0.24831004854127953
11,2024-07-01,2024-07-02,2025-06-14,583038,137481,0.12330284008817916,0.04038038373147606,0.4678158890633095,0.25189859602278175,9,4,0.12595675422441735,0.033613240846534956,0.5023083249797841,0.2531024279869374
