regime,mean_ic,t_stat,n_days,n_rows,fold,arm
bear_high_vol,0.2460132452867274,4.274663176344816,5,171,1,regime_weighted
bear_low_vol,0.07435662306143823,1.53110491968696,5,689,1,regime_weighted
bull_high_vol,0.02670239020213067,1.3265626997012994,161,4015,1,regime_weighted
bull_low_vol,-0.02011219204188341,-2.2390075834298555,193,29317,1,regime_weighted
range_high_vol,0.06439145358860576,2.2718753905619873,51,1480,1,regime_weighted
range_low_vol,0.004234888198551821,0.30850852807424806,75,11473,1,regime_weighted
bear_high_vol,0.13249869548314414,3.894522280347085,5,171,1,v1
bear_low_vol,0.11604238698608763,2.4822506467864716,5,689,1,v1
bull_high_vol,-0.00469604427418001,-0.24011309682118512,161,4015,1,v1
bull_low_vol,0.007254948681233918,0.694182251535534,193,29317,1,v1
range_high_vol,0.05723191168339636,2.037758923438739,51,1480,1,v1
range_low_vol,0.040094607020467216,3.3807163796499657,75,11473,1,v1
bear_high_vol,0.008209718577010949,0.34094982369265947,79,6248,2,regime_weighted
bear_low_vol,0.017479663083134502,0.6908955310797001,79,7544,2,regime_weighted
bull_high_vol,0.03501278813701829,1.8641106323579217,142,4635,2,regime_weighted
bull_low_vol,-0.0031651058888200376,-0.32902443411445265,142,20184,2,regime_weighted
range_high_vol,0.07418362528219888,2.5376227166527126,46,2150,2,regime_weighted
range_low_vol,0.031589931907431944,1.3539850093597425,51,6742,2,regime_weighted
bear_high_vol,0.029684155344068156,1.3457800630614427,79,6248,2,v1
bear_low_vol,0.02133389841089182,0.7686022755056358,79,7544,2,v1
bull_high_vol,0.04505061803532197,2.3050218651710974,142,4635,2,v1
bull_low_vol,-0.019571371283055795,-2.3168006104440084,142,20184,2,v1
range_high_vol,0.06898293121499922,2.157242104784807,46,2150,2,v1
range_low_vol,0.024369187654648884,1.1273940796934279,51,6742,2,v1
bull_high_vol,6.081608693361536e-05,0.003157581690766502,199,4718,3,regime_weighted
bull_low_vol,0.011470310517071857,1.4106415305396278,227,35048,3,regime_weighted
range_high_vol,0.11142720752291282,2.501328506579085,39,662,3,regime_weighted
