arm,regime,mean_ic_w,n_days,n_rows
regime_weighted,bear_high_vol,0.010261985156230656,377.0,39822.0
regime_weighted,bear_low_vol,0.023286261435276092,337.0,28054.0
regime_weighted,bull_high_vol,0.005592020136194124,1915.0,76222.0
regime_weighted,bull_low_vol,0.0062883302643339314,1813.0,287058.0
regime_weighted,range_high_vol,0.013564031169925921,610.0,95438.0
regime_weighted,range_low_vol,0.021352357634488617,622.0,104452.0
v1,bear_high_vol,0.014274351908734915,377.0,39822.0
v1,bear_low_vol,-0.005049981864067032,338.0,28054.0
v1,bull_high_vol,0.01516173127326029,1915.0,76222.0
v1,bull_low_vol,0.01308849891775196,2010.0,287058.0
v1,range_high_vol,0.026861074928369342,610.0,95438.0
v1,range_low_vol,0.027638264373246443,641.0,104452.0
